form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,carry_forward
a3,F,0a. A3 Participant Family History - Form date,FRMDATEA3,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,no
a3,F,0b. A3 Participant Family History - Examiner's initials,INITIALSA3,No,text,,String,,no
a3,F,0c. A3 Participant Family History - Language,LANGA3,Always,Integers 1-2,"1, English|2, Spanish",Integer,,no
a3,F,0d. A3 Participant Family History - In-person or remote?,MODEA3,Always,Integers 1-2,"1, In-person|2, Remote",Integer,,no
a3,F,"0d1. If 'A3 Participant Family History'  form was completed remotely, specify reason",RMREASA3,Conditional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modea3]='2',no
a3,F,0d1a. What modality was used to collect this remote 'A3 Participant Family History'  form?,RMMODEA3,Conditional,Integers 1-2,"1, Telephone|2, Video",Integer,[modea3]='2',no
a3,F,"1. Since the last UDS visit, is new information available concerning the status of the participant's biological mother or father?",NWINFPAR,Always,Integers 0-1,"0, No|1, Yes",Integer,,no
a3,F,1a1. Mother — Birth year,MOMYOB,Conditional,"1850 to current year minus 20, 6666, 9999","1850 to current year minus 5, 6666= Provided at previous visit, 9999 = Unknown",Integer,[nwinfpar]='1',yes
a3,F,1a2. Mother — Age at death,MOMDAGE,Conditional,"0-110, 666, 888, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|888, 888 = NA|999, 999 = Uknown",Integer,[nwinfpar]='1',yes
a3,F,1a3. Mother — Primary dx,MOMETPR,Conditional,"00-12, 66, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|66, Provided at previous visit|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",String,[nwinfpar]='1',yes
a3,F,1a4. Mother — Secondary dx,MOMETSEC,Conditional,"00-12, 66, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|66, Provided at previous visit|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",String,[mometpr] ne '00' and [mometpr] ne '99',yes
a3,F,1a5. Mother — Method of evaluation,MOMMEVAL,Conditional,"Integers 1-4, 6","1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)|6, Provided at previous visit",Integer,[mometpr] ne '00' and [mometpr] ne '99',yes
a3,F,1a6. Mother — Age of onset of primary dx,MOMAGEO,Conditional,"0-110, 666, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|999, 999 = Uknown",Integer,[mometpr] ne '00' and [mometpr] ne '99',yes
a3,F,1b1. Father — Birth year,DADYOB,Conditional,"1850 to current year minus 20, 6666, 9999","1850 to current year minus 5, 6666= Provided at previous visit, 9999 = Unknown",Integer,[nwinfpar]='1',yes
a3,F,1b2. Father — Age at death,DADDAGE,Conditional,"0-110, 666, 888, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|888, 888 = NA|999, 999 = Uknown",Integer,[nwinfpar]='1',yes
a3,F,1b3. Father — Primary dx,DADETPR,Conditional,"00-12, 66, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|66, Provided at previous visit|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",String,[nwinfpar]='1',yes
a3,F,1b4. Father — Secondary dx,DADETSEC,Conditional,"00-12, 66, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|66, Provided at previous visit|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",String,[dadetpr] ne '00' and [dadetpr] ne '99',yes
a3,F,1b5. Father — Method of evaluation,DADMEVAL,Conditional,"Integers 1-4, 6","1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)|6, Provided at previous visit",Integer,[dadetpr] ne '00' and [dadetpr] ne '99',yes
a3,F,1b6. Father — Age of onset of primary dx,DADAGEO,Conditional,"0-110, 666, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|999, 999 = Uknown",Integer,[dadetpr] ne '00' and [dadetpr] ne '99',yes
a3,F,"2. Since the last UDS visit, is new information available concerning the status of the participant's full siblings?",NWINFSIB,Always,Integers 0-1,"0, No|1, Yes",Integer,,no
a3,F,2.1. How many full siblings does the participant have?,SIBS,Conditional,"0 – 20, 66, 77","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|66, Provided at previous visit|77, Adopted/Unknown",Integer,[nwinfsib]='1',yes
a3,F,2a1. Sibling 1 — Birth year,SIB1YOB,Conditional,"1850 to current year, 6666, 9999","1850 to current year minus 5, 6666= Provided at previous visit, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77,yes
a3,F,2a2. Sibling 1 — Age at death,SIB1AGD,Conditional,"0-110, 666, 888, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77,yes
a3,F,2a3. Sibling 1 — Primary dx,SIB1ETPR,Conditional,"00-12, 66, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|66, Provided at previous visit|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",String,[sibs]>0 and [sibs]<77,yes
a3,F,2a4. Sibling 1 — Secondary dx,SIB1ETSEC,Conditional,"00-12, 66, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|66, Provided at previous visit|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",String,([sibs]>0 and [sibs]<77) and [sib1etpr] ne '00' and [sib1etpr] ne '99',yes
a3,F,2a5. Sibling 1 — Method of evaluation,SIB1MEVAL,Conditional,"Integers 1-4, 6","1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)|6, Provided at previous visit",Integer,([sibs]>0 and [sibs]<77) and [sib1etpr] ne '00' and [sib1etpr] ne '99',yes
a3,F,2a6. Sibling 1 — Age of onset of primary dx,SIB1AGO,Conditional,"0-110, 666, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) and [sib1etpr] ne '00' and [sib1etpr] ne '99',yes
a3,F,2b1. Sibling 2 — Birth year,SIB2YOB,Conditional,"1850 to current year, 6666, 9999","1850 to current year minus 5, 6666= Provided at previous visit, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77,yes
a3,F,2b2. Sibling 2 — Age at death,SIB2AGD,Conditional,"0-110, 666, 888, 999","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|666, 666 = Provided at previous visit|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77,yes
