Conformity_missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form,Packet,Q#,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
A3,I,1,AFFFAMM,AFFFAMM must be present,AFFFAMM cannot be blank,Q1. AFFFAMM (Affected first-degree relatives?) cannot be blank,IF AFFFAMM=blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,1,AFFFAMM,AFFFAMM conforms,"AFFFAMM must be an integer between 0 and 1, or =9 (Unkown)","Q1. AFFFAMM (Affected first-degree relatives?) must be an integer between 0 and 1, or =9 (Unkown)",IF AFFFAMM <0 or (AFFFAMM>1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a1,MOMYOB,MOMYOB must be present,MOMYOB cannot be blank,Q2a1. MOMYOB (Mom birth year) cannot be blank,IF MOMYOB=blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a1,MOMYOB,MOMYOB conforms,"MOMYOB must be a year between 1850 and the current year minus 15, or =9999 (Unknown)","Q2a1. MOMYOB (Mom birth year) must be a year between 1850 and the current year minus 15, or =9999 (Unknown)",IF MOMYOB <1850 or (MOMYOB> (current year-15) and ne 9999),n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a2,MOMDAGE,MOMDAGE must be present,MOMDAGE cannot be blank,Q2a2. MOMDAGE (Mom death age) cannot be blank,IF MOMDAGE=blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a2,MOMDAGE,MOMDAGE conforms,"MOMDAGE must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q2a2. MOMDAGE (Mom death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF  MOMDAGE<0 or (MOMDAGE>110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a3,MOMNPSYC,MOMNPSYC must be present,MOMNPSYC cannot be blank,Q2a3. MOMNPSYC (Mom neurological/psychological condition) cannot be blank,IF MOMNPSYC=blank,n/a,n/a,Error,,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a3,MOMNPSYC,MOMNPSYC conforms,"MOMNPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q2a3. MOMNPSYC (Mom neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF  MOMNPSYC<0 or (MOMNPSYC>5 and ne 9),n/a,n/a,Error,,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a4,MOMETPR,MOMETPR conditionally present,if MOMNPSYC is in (1-5) then MOMETPR must be present,If Q2a3. MOMNPSYC (Mom neurological/psychological condition) is in (1-5) then Q2a4. MOMETPR (Mom primay dx) must be present,IF MOMNPSYC in (1-5) and MOMETPR=blank,n/a,n/a,Error,,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a4,MOMETPR,MOMETPR conditionally blank,If MOMNPSYC is 0 (No neurological illness) or 9 (Unknown) then MOMETPR must be blank,If Q2a3. MOMNPSYC (Mom neurological/psychological condition) is 8 (N/A) or 9 (Unknown) then Q2a4. MOMETPR (Mom primay dx) must be blank,"IF MOMNPSYC in (8,9) then MOMETPR must be blank",n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a4,MOMETPR,MOMETPR conforms,"MOMETPR must be a code between 01 and 09, or =99 (Unknown)","Q2a4. MOMETPR (Mom primay dx) must be a code between 01 and 09, or =99 (Unknown)",IF  MOMETPR<01 or (MOMETPR>09 and ne 99),n/a,n/a,Error,,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a5,MOMMEVAL,MOMMEVAL conditionally present,if MOMNPSYC is in (1-5) then MOMMEVAL must be present,If Q2a3. MOMNPSYC (Mom neurological/psychological condition) is in (1-5) then Q2a5. MOMMEVAL (Mom method of evaluation) must be present,IF MOMNPSYC in (1-5) and MOMMEVAL=blank,n/a,n/a,Error,,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a5,MOMMEVAL,MOMMEVAL conditionally blank,If MOMNPSYC is 0 (No neurological illness) or 9 (Unknown) then MOMEVAL must be blank,If Q2a3. MOMNPSYC (Mom neurological/psychological condition) is 8 (N/A) or 9 (Unknown) then Q2a5. MOMMEVAL (Mom method of evaluation) must be blank,"IF MOMNPSYC in (8,9) then MOMEVAL must be blank",n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a5,MOMMEVAL,MOMMEVAL conforms,MOMMEVAL must be an integer between 1 and 4,Q2a5. MOMMEVAL (Mom method of evaluation) must be an integer between 1 and 4,IF MOMMEVAL<1 or MOMMEVAL >4,n/a,n/a,Error,,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A3,I,2a6,MOMAGEO,MOMAGEO conditionally present,if MOMNPSYC is in (1-5) then MOMAGEO must be present,If Q2a3. MOMNPSYC (Mom neurological/psychological condition) is in (1-5) then Q2a6. MOMAGEO (Mom age of onset) must be present,IF MOMNPSYC in (1-5) and MOMAGEO=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
