error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a3-ivp-p-1001,1001,Error,a3,I,MOMAGEO,Plausibility,MOMAGEO cannot be > than MOMDAGE,"If MOMAGEO is in (0-110) and MOMDAGE is in (0-110), then MOMAGEO must be <=MOMDAGE","If Q1a6. MOMAGEO (Mom age of onset of primary dx) is in (0-110) and Q1a2. MOMDAGE (Mom death age) is in (0-110), then Q1a6. MOMAGEO (Mom age of onset of primary dx) must be <=Q1a2. MOMDAGE (Mom death age)",If MOMAGEO is in (0-110) and MOMDAGE is in (0-110) and MOMAGEO > MOMDAGE,,"MOMAGEO, MOMDAGE",No,No,
a3-ivp-p-1002,1002,Error,a3,I,DADAGEO,Plausibility,DADAGEO cannot be > than DADDAGE,"If DADAGEO is in (0-110) and DADDAGE is in (0-110), then DADAGEO must be <=DADDAGE","If Q1b6. DADAGEO (Dad age of onset of primary dx) is in (0-110) and Q1b2. DADDAGE (Dad death age) is in (0-110), then Q1b6. DADAGEO (Dad age of onset of primary dx) must be <=Q1b2. DADDAGE (Dad death age)",If DADAGEO is in (0-110) and DADDAGE is in (0-110) and DADAGEO > DADDAGE,,"DADAGEO, DADDAGE",No,No,
a3-ivp-p-1003,1003,Error,a3,I,SIB1AGO,Plausibility,SIB1AGO cannot be > than SIB1AGD,"If SIB1AGO is in (0-110) and SIB1AGD is in (0-110), then SIB1AGO must be <= SIB1AGD","If Q2a6. SIB1AGO (Sibling 1 age of onset of primary dx) is in (0-110) and Q2a2. SIB1AGD (Sibling 1 death age) is in (0-110), then Q2a6. SIB1AGO (Sibling 1 age of onset of primary dx) must be <= Q2a2. SIB1AGD (Sibling 1 death age)",If SIB1AGO is in (0-110) and SIB1AGD is in (0-110) and SIB1AGO > SIB1AGD,,"SIB1AGO, SIB1AGD",No,No,
a3-ivp-p-1004,1004,Error,a3,I,SIB2AGO,Plausibility,SIB2AGO cannot be > than SIB2AGD,"If SIB2AGO is in (0-110) and SIB2AGD is in (0-110), then SIB2AGO must be <= SIB2AGD","If Q2b6. SIB2AGO (Sibling 2 age of onset of primary dx) is in (0-110) and Q2b2. SIB2AGD (Sibling 2 death age) is in (0-110), then Q2b6. SIB2AGO (Sibling 2 age of onset of primary dx) must be <= Q2b2. SIB2AGD (Sibling 2 death age)",If SIB2AGO is in (0-110) and SIB2AGD is in (0-110) and SIB2AGO > SIB2AGD,,"SIB2AGO, SIB2AGD",No,No,
a3-ivp-p-1005,1005,Error,a3,I,SIB3AGO,Plausibility,SIB3AGO cannot be > than SIB3AGD,"If SIB3AGO is in (0-110) and SIB3AGD is in (0-110), then SIB3AGO must be <= SIB3AGD","If Q2c6. SIB3AGO (Sibling 3 age of onset of primary dx) is in (0-110) and Q2c2. SIB3AGD (Sibling 3 death age) is in (0-110), then Q2c6. SIB3AGO (Sibling 3 age of onset of primary dx) must be <= Q2c2. SIB3AGD (Sibling 3 death age)",If SIB3AGO is in (0-110) and SIB3AGD is in (0-110) and SIB3AGO > SIB3AGD,,"SIB3AGO, SIB3AGD",No,No,
a3-ivp-p-1006,1006,Error,a3,I,SIB4AGO,Plausibility,SIB4AGO cannot be > than SIB4AGD,"If SIB4AGO is in (0-110) and SIB4AGD is in (0-110), then SIB4AGO must be <= SIB4AGD","If Q2d6. SIB4AGO (Sibling 4 age of onset of primary dx) is in (0-110) and Q2d2. SIB4AGD (Sibling 4 death age) is in (0-110), then Q2d6. SIB4AGO (Sibling 4 age of onset of primary dx) must be <= Q2d2. SIB4AGD (Sibling 4 death age)",If SIB4AGO is in (0-110) and SIB4AGD is in (0-110) and SIB4AGO > SIB4AGD,,"SIB4AGO, SIB4AGD",No,No,
a3-ivp-p-1007,1007,Error,a3,I,SIB5AGO,Plausibility,SIB5AGO cannot be > than SIB5AGD,"If SIB5AGO is in (0-110) and SIB5AGD is in (0-110), then SIB5AGO must be <= SIB5AGD","If Q2e6. SIB5AGO (Sibling 5 age of onset of primary dx) is in (0-110) and Q2e2. SIB5AGD (Sibling 5 death age) is in (0-110), then Q2e6. SIB5AGO (Sibling 5 age of onset of primary dx) must be <= Q2e2. SIB5AGD (Sibling 5 death age)",If SIB5AGO is in (0-110) and SIB5AGD is in (0-110) and SIB5AGO > SIB5AGD,,"SIB5AGO, SIB5AGD",No,No,
a3-ivp-p-1008,1008,Error,a3,I,SIB6AGO,Plausibility,SIB6AGO cannot be > than SIB6AGD,"If SIB6AGO is in (0-110) and SIB6AGD is in (0-110), then SIB6AGO must be <= SIB6AGD","If Q2f6. SIB6AGO (Sibling 6 age of onset of primary dx) is in (0-110) and Q2f2. SIB6AGD (Sibling 6 death age) is in (0-110), then Q2f6. SIB6AGO (Sibling 6 age of onset of primary dx) must be <= Q2f2. SIB6AGD (Sibling 6 death age)",If SIB6AGO is in (0-110) and SIB6AGD is in (0-110) and SIB6AGO > SIB6AGD,,"SIB6AGO, SIB6AGD",No,No,
a3-ivp-p-1009,1009,Error,a3,I,SIB7AGO,Plausibility,SIB7AGO cannot be > than SIB7AGD,"If SIB7AGO is in (0-110) and SIB7AGD is in (0-110), then SIB7AGO must be <= SIB7AGD","If Q2g6. SIB7AGO (Sibling 7 age of onset of primary dx) is in (0-110) and Q2g2. SIB7AGD (Sibling 7 death age) is in (0-110), then Q2g6. SIB7AGO (Sibling 7 age of onset of primary dx) must be <= Q2g2. SIB7AGD (Sibling 7 death age)",If SIB7AGO is in (0-110) and SIB7AGD is in (0-110) and SIB7AGO > SIB7AGD,,"SIB7AGO, SIB7AGD",No,No,
a3-ivp-p-1010,1010,Error,a3,I,SIB8AGO,Plausibility,SIB8AGO cannot be > than SIB8AGD,"If SIB8AGO is in (0-110) and SIB8AGD is in (0-110), then SIB8AGO must be <= SIB8AGD","If Q2h6. SIB8AGO (Sibling 8 age of onset of primary dx) is in (0-110) and Q2h2. SIB8AGD (Sibling 8 death age) is in (0-110), then Q2h6. SIB8AGO (Sibling 8 age of onset of primary dx) must be <= Q2h2. SIB8AGD (Sibling 8 death age)",If SIB8AGO is in (0-110) and SIB8AGD is in (0-110) and SIB8AGO > SIB8AGD,,"SIB8AGO, SIB8AGD",No,No,
