"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
a3_header,a3_participant_family_history,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 144.531px;"" border=""1""> <tbody> <tr style=""height: 24.1761px;""> <td style=""width: 25.0515%; height: 24.1761px;""><span style=""font-weight: normal;"">Form date:</span></td> <td style=""width: 25.0515%; height: 24.1761px;""><span style=""font-weight: normal;"">{frmdatea3:icons}</span></td> <td style=""width: 25.0515%; height: 24.1761px;""><span style=""font-weight: normal;"">Examiner's initials:</span></td> <td style=""width: 25.0515%; height: 24.1761px;""><span style=""font-weight: normal;"">{initialsa3:icons}</span></td> </tr> <tr style=""height: 57.0597px;""> <td style=""width: 25.0515%; height: 57.0597px;""><span style=""font-weight: normal;"">Language: </span></td> <td style=""height: 57.0597px; width: 75.1544%;"" colspan=""3""><span style=""font-weight: normal;"">{langa3:icons}</span></td> </tr> <tr style=""height: 63.2955px;""> <td style=""width: 25.0515%; height: 63.2955px;""><span style=""font-weight: normal;"">Mode: </span></td> <td style=""width: 25.0515%; height: 63.2955px;""><span style=""font-weight: normal;"">{modea3:icons}</span></td> <td style=""width: 25.0515%; height: 63.2955px;""> <p><span style=""font-weight: normal;"">{rmreasa3_desc}</span><br /><span style=""font-weight: normal;"">{rmreasa3:icons}</span></p> </td> <td style=""width: 25.0515%; height: 63.2955px;""> <p><span style=""font-weight: normal;"">{rmmodea3_desc}</span><br /><span style=""font-weight: normal;"">{rmmodea3:icons}</span></p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
frmdatea3,a3_participant_family_history,,text,"0a. A3 Participant Family History - Form date",,,date_mdy,,,,,y,,,,,
initialsa3,a3_participant_family_history,,text,"0b. A3 Participant Family History - Examiner's initials",,,,,,,,,,,,,
langa3,a3_participant_family_history,,radio,"0c. A3 Participant Family History - Language","1, English | 2, Spanish",,,,,,,y,,,,,
modea3,a3_participant_family_history,,radio,"0d. A3 Participant Family History - In-person or remote?","1, In-person | 2, Remote",,,,,,,y,,,,,
rmreasa3_desc,a3_participant_family_history,,descriptive,"Select the reason why this form was completed remotely:",,,,,,,[modea3]='2',,,,,,
rmreasa3,a3_participant_family_history,,radio,"0d1. If 'A3 Participant Family History'  form was completed remotely, specify reason","1, Too cognitively impaired | 2, Too physically impaired | 3, Homebound or nursing home | 4, Refused in-person visit | 5, Other",,,,,,[modea3]='2',y,,,,,
rmmodea3_desc,a3_participant_family_history,,descriptive,"Select the modality used to collect this form remotely:",,,,,,,[modea3]='2',,,,,,
rmmodea3,a3_participant_family_history,,radio,"0d1a. What modality was used to collect this remote 'A3 Participant Family History'  form?","1, Telephone | 2, Video",,,,,,[modea3]='2',y,,,,,
ivp_a3_instruct,a3_participant_family_history,,descriptive,"<div class=""rich-text-field-label""><p>INSTRUCTIONS: <span style=""font-weight: normal;"">This form is to be completed by a clinician with experience in evaluating participants with neurological and psychiatric  diagnoses. Estimates are allowed if exact birth year or age at death is unknown. For additional clarification and examples, see the</span> UDS  Coding Guidebook<span style=""font-weight: normal;""> for </span>Form A3<span style=""font-weight: normal;"">.</span></p></div>",,,,,,,,,,,,,
