error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a4-ivp-m-001,1,Error,a4,I,FRMDATEA4,Missingness,FRMDATEA4 must be present,FRMDATEA4 cannot be blank,Q0a. FRMDATEA4 (A4 form date) cannot be blank ,If FRMDATEA4 = blank,,,Yes,No,
a4-ivp-c-002,2,Error,a4,I,FRMDATEA4,Conformity,FRMDATEA4 conforms,FRMDATEA4 must be a date,Q0a. FRMDATEA4 (A4 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEA4 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a4-ivp-m-003,3,Error,a4,I,LANGA4,Missingness,LANGA4 must be present,LANGA4 cannot be blank,Q0c. LANGA4 (Language of A4 administration) cannot be blank,If LANGA4 = blank,,,Yes,Yes,
a4-ivp-c-004,4,Error,a4,I,LANGA4,Conformity,LANGA4 conforms,LANGA4 must be an integer between 1-2,Q0c. LANGA4 (Language of A4 administration) must be an integer between 1-2,If LANGA4 < 1 or LANGA4 > 2,,,Yes,Yes,
a4-ivp-m-005,5,Error,a4,I,MODEA4,Missingness,MODEA4 must be present,MODEA4 cannot be blank,Q0d. MODEA4 (A4 in person or remote) cannot be blank,If MODEA4 = blank,,,Yes,No,
a4-ivp-c-006,6,Error,a4,I,MODEA4,Conformity,MODEA4 conforms,MODEA4 must be an integer between 1-2,Q0d. MODEA4 (A4 in person or remote) must be an integer between 1-2,If MODEA4 < 1 or MODEA4 > 2,,,Yes,No,
a4-ivp-m-007,7,Error,a4,I,RMREASA4,Missingness,RMREASA4 conditionally present,"If MODEA4 = 2, RMREASA4 cannot be blank",If Q0d. MODEA4 (A4 in person or remote) = 2 (Remote) then Q0d1. RMREASA4 (Reason for remote A4) cannot be blank,If MODEA4 = 2 and RMREASA4 = blank,,"MODEA4, RMREASA4",Yes,No,
a4-ivp-m-008,8,Error,a4,I,RMREASA4,Missingness,RMREASA4 conditionally blank,"If MODEA4 = 1, RMREASA4 must be blank",If Q0d. MODEA4 (A4 in person or remote) = 1 (In-person) then Q0d1. RMREASA4 (Reason for remote A4) must be blank,If MODEA4 = 1 and RMREASA4 not = blank,,"MODEA4, RMREASA4",Yes,No,
a4-ivp-c-009,9,Error,a4,I,RMREASA4,Conformity,RMREASA4 conforms,RMREASA4 must be an integer between 1-5,Q0d1. RMREASA4 (Reason for remote A4) must be an integer between 1 and 5,If RMREASA4 < 1 or RMREASA4 > 5,,,Yes,No,
a4-ivp-m-010,10,Error,a4,I,RMMODEA4,Missingness,RMMODEA4 conditionally present,"If MODEA4 = 2, RMMODEA4 cannot be blank",If Q0d. MODEA4 (A4 in person or remote) = 2 (Remote) then Q0d1a. RMMODEA4 (Mode of remote A4 administration) cannot be blank,If MODEA4 = 2 and RMMODEA4 = blank,,"MODEA4, RMMODEA4",Yes,No,
