Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
A4a,IVP,TRTBIOMARK,TRTBIOMARK must be present,TRTBIOMARK cannot be blank,Q1. TRTBIOMARK (treatment affecting biomarkers) cannot be blank,If TRTBIOMARK=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTBIOMARK,TRTBIOMARK conforms,"TRTBIOMARK must be 0, 1, or 9","Q1. TRTBIOMARK (treatment affecting biomarkers) must be 0, 1, or 9","If TRTBIOMARK  is not  0,1,9",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB1,TARGETAB1 conforms,TARGETAB1 must be blank or 1,Q2a1a. TARGETAB1 (primary amyloid beta 1) must be blank or 1,If TARGETAB1 is not blank and TARGETAB1 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB1,TARGETAB1 conditionally blank,If TRTBIOMARK is 0 then TARGETAB1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a1a. TARGETAB1 (primary amyloid beta 1) must be blank,If TRTBIOMARK=0 and TARGETAB1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETTAU1,TARGETTAU1 conforms,TARGETTAU1 must be blank or 1,Q2a1b. TARGETTAU1 (primary tau 1) must be blank or 1,If TARGETTAU1 is not  blank and TARGETTAU1 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU1,TARGETTAU1 conditionally blank,If TRTBIOMARK is 0 then TARGETTAU1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a1b. TARGETTAU1 (primary tau 1) must be blank,If TRTBIOMARK=0 and TARGETTAU1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETINF1,TARGETINF1 conforms,TARGETINF1 must be blank or 1,Q2a1c. TARGETINF1 (primary inflammation 1) must be blank or 1,If TARGETINF1 is not  blank and TARGETINF1 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF1,TARGETINF1 conditionally blank,If TRTBIOMARK is 0 then TARGETINF1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a1c. TARGETINF1 (primary inflammation 1) must be blank,If TRTBIOMARK=0 and TARGETINF1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETSYN1,TARGETSYN1 conforms,TARGETSYN1 must be blank or 1,Q2a1d. TARGETSYN1 (primary synaptic plasticity 1) must be blank or 1,If TARGETSYN1 is not  blank and TARGETSYN1 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN1,TARGETSYN1 conditionally blank,If TRTBIOMARK is 0 then TARGETSYN1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a1d. TARGETSYN1 (primary synaptic plasticity 1) must be blank,If TRTBIOMARK=0 and TARGETSYN1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTH1,TARGETOTH1 conforms,TARGETOTH1 must be blank or 1,Q2a1e. TARGETOTH1 (primary other 1) must be blank or 1,If TARGETOTH1 is not blank and TARGETOTH1 is not  1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH1,TARGETOTH1 conditionally blank,If TRTBIOMARK is 0 then TARGETOTH1 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2a1e. TARGETOTH1 (primary other 1) must be blank,If TRTBIOMARK=0 and TARGETOTH1 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX1,TARGETOTX1 conditionally present,If TARGETOTH1 is 1 then TARGETOTX1 cannot be blank,If Q2a1e. TARGETOTH1 (primary other 1) is 1 then Q2a1e1. TARGETOTX1 (primary other specify 1) cannot be blank,If TARGETOTH1=1 and TARGETOTX1=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX1,TARGETOTX1 conditionally blank,If TARGETOTH1 is blank then TARGETOTX1 must be blank,If Q2a1e. TARGETOTH1 (primary other 1) is blank then Q2a1e1. TARGETOTX1 (primary other specify 1) must be blank,If TARGETOTH1=blank and TARGETOTX1 is not  blank,,,Error,Yes,Missingness,,
