error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a4a-ivp-m-001,1,Error,a4a,I,FRMDATEA1,Missingness,FRMDATEA4A must be present,FRMDATEA4A cannot be blank,Q0a. FRMDATEA4A (A4a form date) cannot be blank,If FRMDATEA4A=blank,,,Yes,No,
a4a-ivp-c-002,2,Error,a4a,I,FRMDATEA4a,Conformity,FRMDATEA4A conforms,FRMDATEA4A must be in mm/dd/yyyy or yyyy/mm/dd format,Q0a. FRMDATEA4A (A4a form date) must be in mm/dd/yyyy or yyyy/mm/dd format,If FRMDATEA4A is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a4a-ivp-m-003,3,Error,a4a,I,LANGA4a,Missingness,LANGA4A must be present,LANGA4A cannot be blank,Q0c. LANGA4A (Language of A4a administration) cannot be blank,If LANGA4A=blank,,,Yes,Yes,
a4a-ivp-c-004,4,Error,a4a,I,LANGA4a,Conformity,LANGA4A conforms,LANGA4A must be an intgeger between 1-2,Q0c. LANGA4A (Language of A4a administration) must be an intgeger between 1-2,If LANGA4A<1 or LANGA4A>2,,,Yes,Yes,
a4a-ivp-m-005,5,Error,a4a,I,MODEA4a,Missingness,MODEA4A must be present,MODEA4A cannot be blank,Q0d. MODEA4A (A4a in person or remote) cannot be blank,If MODEA4A=blank,,,Yes,No,
a4a-ivp-c-006,6,Error,a4a,I,MODEA4a,Conformity,MODEA4A conforms,MODEA4A must be an intgeger between 1-2,Q0d. MODEA4A (A4a in person or remote) must be an intgeger between 1-2,If MODEA4A < 1 or MODEA4A > 2,,,Yes,No,
a4a-ivp-m-007,7,Error,a4a,I,RMREASA4a,Missingness,RMREASA4a conditionally present,"If MODEA4A= 2, RMREASA4a cannot be blank",If Q0d. MODEA4A (A4a in person or remote) = 2 (Remote) then Q0d1. RMREASA4A (Reason for remote A4a) cannot be blank,If MODEA4A = 2 and RMREASA4A = blank,,"MODEA4A, RMREASA4A",Yes,No,
a4a-ivp-m-008,8,Error,a4a,I,RMREASA4a,Missingness,RMREASA4a conditionally absent,"If MODEA4A = 1, RMREASA4a must be blank",If Q0d. MODEA4A (A4A in person or remote) = 1 (In-person) then Q0d1. RMREASA4A (Reason for remote A4A) must be blank,If MODEA4A= 1 and RMREASA4A not = blank,,"MODEA4A, RMREASA4A",Yes,No,
a4a-ivp-c-009,9,Error,a4a,I,RMREASA4a,Conformity,RMREASA4a conforms,RMREASA4A must be an intgeger between 1-5,Q0d1. RMREASA4A (Reason for remote A4A) must be an integer between 1-5,If RMREASA4A < 1 or RMREASA4A > 5,,,Yes,No,
a4a-ivp-m-010,10,Error,a4a,I,RMMODEA4a,Missingness,RMMODEA4A conditionally present,"If MODEA4A = 2, RMMODEA4A cannot be blank",If Q0d. MODEA4A (A4A in person or remote) = 2 (Remote) then Q0d1a. RMMODEA4A (Mode of remote A4A administration) cannot be blank,If MODEA4A = 2 and RMMODEA4A = blank,,"MODEARA, RMMODEARA",Yes,No,
