form_name,packet,question,var_name,missingness,conformity,resonse_labels,data_type,branching_logic
a4a,I,0a. A4a AD-Specific Drug Treatment - Form date,FRMDATEA4A,Condtional,mm/dd/yyyy,,Date,
a4a,I,0b. A4a AD-Specific Drug Treatment - Examiner's initials,INITIALSA4A,No,text,,String,
a4a,I,0c. A4a AD-Specific Drug Treatment - Language,LANGA4A,Condtional,Integers 1-2,"1, English|2, Spanish",Integer,
a4a,I,"0d. A4a AD-Specific Drug Treatment - In-person, remote, or not completed?",MODEA4A,Always,Integers 1-3,"1, In-person|2, Remote|3, Not completed",Integer,
a4a,I,"0d1. If 'A4a AD-Specific Drug Treatment' form was completed remotely, specify reason",RMREASA4A,Condtional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modea4a]='2'
a4a,I,0d1a. What modality was used to collect this remote 'A4a AD-Specific Drug Treatment' form?,RMMODEA4A,Condtional,Integers 1-2,"1, Telephone|2, Video",Integer,[modea4a]='2'
a4a,I,"0d2. If 'A4a AD-Specific Drug Treatment'  not submitted, specify reason",A4ANOT,Condtional,Integers 95-98,"95, Physical problem|96, Cognitive/behavioral problem|97, Other|98, Verbal refusal",Integer,[modea4a]='3'
a4a,I,1. Has the participant ever been prescribed a treatment or been enrolled in a clinical trial of a treatment expected to modify ADRD biomarkers?,TRTBIOMARK,Always,"Integers 0-1, 9","0, No|1, Yes|9, Unknown",Integer,
a4a,I,2a1a. Primary Drug Target - Amyloid Beta (1),TARGETAB1,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2a1b. Primary Drug Target - Tau (1),TARGETTAU1,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2a1c. Primary Drug Target - Inflammation (1),TARGETINF1,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2a1d. Primary Drug Target - Synaptic plasticity/neuroprotection (1),TARGETSYN1,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2a1e. Primary Drug Target - Other target(s) (1),TARGETOTH1,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2a1e1. Primary Drug Target - Other target(s), specify (1)",TARGETOTX1,Conditional (e.g. skip pattern),text,,String,[targetoth1]='1'
a4a,I,2a2a. Specific treatment and/or trial (1),TRTTRIAL1,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2a2b. Specific treatment and/or trial - NCT identifier (1),NCTNUM1,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2a3a. Start date (month) (1),STARTMO1,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2a3b. Start date (year) (1),STARTYEAR1,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2a4a. End date (month) (1),ENDMO1,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2a4b. End date (year) (1),ENDYEAR1,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2a5. How was the treatment provided? (1),CARETRIAL1,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2a6. If clinical trial, in which group was the participant? (1)",TRIALGRP1,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2b1a. Primary Drug Target - Amyloid Beta (2),TARGETAB2,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2b1b. Primary Drug Target - Tau (2),TARGETTAU2,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2b1c. Primary Drug Target - Inflammation (2),TARGETINF2,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2b1d. Primary Drug Target - Synaptic plasticity/neuroprotection (2),TARGETSYN2,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2b1e. Primary Drug Target - Other target(s) (2),TARGETOTH2,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2b1e1. Primary Drug Target - Other target(s), specify (2)",TARGETOTX2,Conditional (e.g. skip pattern),text,,String,[targetoth2]='1'
a4a,I,2b2a. Specific treatment and/or trial (2),TRTTRIAL2,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2b2b. Specific treatment and/or trial - NCT identifier (2),NCTNUM2,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2b3a. Start date (month) (2),STARTMO2,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2b3b. Start date (year) (2),STARTYEAR2,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2b4a. End date (month) (2),ENDMO2,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2b4b. End date (year) (2),ENDYEAR2,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2b5. How was the treatment provided? (2),CARETRIAL2,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2b6. If clinical trial, in which group was the participant? (2)",TRIALGRP2,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2c1a. Primary Drug Target - Amyloid Beta (3),TARGETAB3,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2c1b. Primary Drug Target - Tau (3),TARGETTAU3,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2c1c. Primary Drug Target - Inflammation (3),TARGETINF3,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2c1d. Primary Drug Target - Synaptic plasticity/neuroprotection (3),TARGETSYN3,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2c1e. Primary Drug Target - Other target(s) (3),TARGETOTH3,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2c1e1. Primary Drug Target - Other target(s), specify (3)",TARGETOTX3,Conditional (e.g. skip pattern),text,,String,[targetoth3]='1'
a4a,I,2c2a. Specific treatment and/or trial (3),TRTTRIAL3,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2c2b. Specific treatment and/or trial - NCT identifier (3),NCTNUM3,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2c3a. Start date (month) (3),STARTMO3,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2c3b. Start date (year) (3),STARTYEAR3,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
a4a,I,2c4a. End date (month) (3),ENDMO3,Conditional (e.g. skip pattern),"Integers 1-12, 88","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|88, 88 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2c4b. End date (year) (3),ENDYEAR3,Conditional (e.g. skip pattern),"1990-present, 8888","1990 to current year, 8888 = Ongoing",Integer,[trtbiomark]='1'
a4a,I,2c5. How was the treatment provided? (3),CARETRIAL3,Conditional (e.g. skip pattern),Integers 1-3,"1, Clinical care|2, Clinical trial|3, Clinical care and clinical trial",Integer,[trtbiomark]='1'
a4a,I,"2c6. If clinical trial, in which group was the participant? (3)",TRIALGRP3,Conditional (e.g. skip pattern),"Integers 1-2, 9","1, Active treatment|2, Placebo|9, Unknown",Integer,[trtbiomark]='1'
a4a,I,2d1a. Primary Drug Target - Amyloid Beta (4),TARGETAB4,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2d1b. Primary Drug Target - Tau (4),TARGETTAU4,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2d1c. Primary Drug Target - Inflammation (4),TARGETINF4,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2d1d. Primary Drug Target - Synaptic plasticity/neuroprotection (4),TARGETSYN4,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,2d1e. Primary Drug Target - Other target(s) (4),TARGETOTH4,Conditional (e.g. skip pattern),1 or blank,,Integer,
a4a,I,"2d1e1. Primary Drug Target - Other target(s), specify (4)",TARGETOTX4,Conditional (e.g. skip pattern),text,,String,[targetoth4]='1'
a4a,I,2d2a. Specific treatment and/or trial (4),TRTTRIAL4,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2d2b. Specific treatment and/or trial - NCT identifier (4),NCTNUM4,Conditional (e.g. skip pattern),text,,String,[trtbiomark]='1'
a4a,I,2d3a. Start date (month) (4),STARTMO4,Conditional (e.g. skip pattern),Integers 1-12,"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12",Integer,[trtbiomark]='1'
a4a,I,2d3b. Start date (year) (4),STARTYEAR4,Conditional (e.g. skip pattern),1990-present,1990 to current year,Integer,[trtbiomark]='1'
