error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a4a-fvp-m-001,001,Error,a4a,F,FRMDATEA4A,Missingness,FRMDATEA4A must be present,FRMDATEA4A cannot be blank,Q0a. FRMDATEA4A (A4A form date) cannot be blank,If FRMDATEA4A=blank,,,Yes,No,
a4a-fvp-c-002,002,Error,a4a,F,FRMDATEA4A,Conformity,FRMDATEA4A conforms,FRMDATEA4A must be in mm/dd/yyyy or yyyy/mm/dd-dd format,Q0a. FRMDATEA4A (A4A form date) must be in mm/dd/yyyy or yyyy/mm/dd format,If FRMDATEA4A is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a4a-fvp-m-003,003,Error,a4a,F,LANGA4A,Missingness,LANGA4A must be present,LANGA4A cannot be blank,Q0c. LANGA4A (Language of A4A administration) cannot be blank,If LANGA4A=blank,,,Yes,Yes,
a4a-fvp-c-004,004,Error,a4a,F,LANGA4A,Conformity,LANGA4A conforms,LANGA4A must be an integer between 1-2,Q0c. LANGA4A (Language of A4A administration) must be an integer between 1-2,If LANGA4A<1 or LANGA4A>2,,,Yes,Yes,
a4a-fvp-m-005,005,Error,a4a,F,MODEA4A,Missingness,MODEA4A must be present,MODEA4A cannot be blank,Q0d. MODEA4A (A4A in person or remote) cannot be blank,If MODEA4A=blank,,,Yes,No,
a4a-fvp-c-006,006,Error,a4a,F,MODEA4A,Conformity,MODEA4A conforms,MODEA4A must be an integer between 1-2,Q0d. MODEA4A (A4A in person or remote) must be an integer between 1-2,If MODEA4A < 1 or MODEA4A > 2,,,Yes,No,
a4a-fvp-m-007,007,Error,a4a,F,RMREASA4A,Missingness,RMREASA4A conditionally present,"If MODEA4A= 2, RMREASA4A cannot be blank",If Q0d. MODEA4A (A4A in person or remote) = 2 (Remote) then Q0d1. RMREASA4A (Reason for remote A4A) cannot be blank,If MODEA4A = 2 and RMREASA4A = blank,,"MODEA4A, RMREASA4A",Yes,No,
a4a-fvp-m-008,008,Error,a4a,F,RMREASA4A,Missingness,RMREASA4A conditionally absent,"If MODEA4A = 1, RMREASA4A must be blank",If Q0d. MODEA4A (A4A in person or remote) = 1 (In-person) then Q0d1. RMREASA4A (Reason for remote A4A) must be blank,If MODEA4A= 1 and RMREASA4A not = blank,,"MODEA4A, RMREASA4A",Yes,No,
a4a-fvp-c-009,009,Error,a4a,F,RMREASA4A,Conformity,RMREASA4A conforms,RMREASA4A must be an integer between 1-5,Q0d1. RMREASA4A (Reason for remote A4A) must be an integer between 1-5,If RMREASA4A < 1 or RMREASA4A > 5,,,Yes,No,
a4a-fvp-m-010,010,Error,a4a,F,RMMODEA4A,Missingness,RMMODEA4A conditionally present,"If MODEA4A = 2, RMMODEA4A cannot be blank",If Q0d. MODEA4A (A4A in person or remote) = 2 (Remote) then Q0d1a. RMMODEA4A (Mode of remote A4A administration) cannot be blank,If MODEA4A = 2 and RMMODEA4A = blank,,"MODEA4A, RMMODEA4A",Yes,No,
