"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
a4a_header,a4a_adrd_specific_treatments,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.051%; height: 174.56px;"" border=""1""> <tbody> <tr style=""height: 63.0966px; border-style: none;""> <td style=""height: 126.207px; width: 17.9566%;"" rowspan=""2""><span style=""font-weight: normal;"">Mode:</span><br /><br /></td> <td style=""height: 126.207px; width: 20.3602%;"" rowspan=""2""><span style=""font-weight: normal;"">{modea4a:icons}</span></td> <td style=""width: 30.6808%; height: 63.0966px; border-style: none;""> <p><span style=""font-weight: normal;"">{rmreasa4a_desc}</span><br /><span style=""font-weight: normal;"">{a4anot_desc}</span></p> </td> <td style=""width: 30.9654%; height: 63.0966px; text-align: left; border-style: none;""><span style=""font-weight: normal;"">{rmmodea4a_desc}</span></td> </tr> <tr style=""height: 63.1108px; border-style: none;""> <td style=""width: 30.6808%; height: 63.1108px; border-style: none;""> <p><span style=""font-weight: normal;"">{rmreasa4a:icons}</span><br /><span style=""font-weight: normal;"">{a4anot:icons}</span></p> </td> <td style=""width: 30.9654%; text-align: left; height: 63.1108px; border-style: none;""><span style=""font-weight: normal;"">{rmmodea4a:icons}</span></td> </tr> <tr style=""height: 24.1761px;""> <td style=""width: 17.9566%; height: 24.1761px;""><span style=""font-weight: normal;"">Form Date: </span></td> <td style=""width: 20.3602%; height: 24.1761px;""><span style=""font-weight: normal;"">{frmdatea4a:icons}</span></td> <td style=""width: 30.6808%; height: 24.1761px;""><span style=""font-weight: normal;"">Examiner's initials:</span></td> <td style=""width: 30.9654%; height: 24.1761px;""><span style=""font-weight: normal;"">{initialsa4a:icons}</span></td> </tr> <tr style=""height: 24.1761px;""> <td style=""width: 17.9566%; height: 24.1761px;""><span style=""font-weight: normal;"">Language:</span></td> <td style=""height: 24.1761px; width: 82.0065%;"" colspan=""3""><span style=""font-weight: normal;"">{langa4a:icons}</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
frmdatea4a,a4a_adrd_specific_treatments,,text,"0a. A4a AD-Specific Drug Treatment - Form date",,mm/dd/yyyy,date_mdy,,,,[modea4a]<>'3',y,,,,,
initialsa4a,a4a_adrd_specific_treatments,,text,"0b. A4a AD-Specific Drug Treatment - Examiner's initials",,,,,,,[modea4a]<>'3',,,,,,
langa4a,a4a_adrd_specific_treatments,,radio,"0c. A4a AD-Specific Drug Treatment - Language","1, English | 2, Spanish",,,,,,[modea4a]<>'3',y,,,,,
modea4a,a4a_adrd_specific_treatments,,radio,"0d. A4a AD-Specific Drug Treatment - In-person, remote, or not completed?","1, In-person | 2, Remote | 3, Not completed",,,,,,,y,,,,,
rmreasa4a_desc,a4a_adrd_specific_treatments,,descriptive,"Select the reason why this form was completed remotely:",,,,,,,[modea4a]='2',,,,,,
rmreasa4a,a4a_adrd_specific_treatments,,radio,"0d1. If 'A4a AD-Specific Drug Treatment' form was completed remotely, specify reason","1, Too cognitively impaired | 2, Too physically impaired | 3, Homebound or nursing home | 4, Refused in-person visit | 5, Other",,,,,,[modea4a]='2',y,,,,,
rmmodea4a_desc,a4a_adrd_specific_treatments,,descriptive,"Select the modality used to collect this form remotely:",,,,,,,[modea4a]='2',,,,,,
rmmodea4a,a4a_adrd_specific_treatments,,radio,"0d1a. What modality was used to collect this remote 'A4a AD-Specific Drug Treatment' form?","1, Telephone | 2, Video",,,,,,[modea4a]='2',y,,,,,
a4anot_desc,a4a_adrd_specific_treatments,,descriptive,"Please specify the reason why this form was not completed:",,,,,,,[modea4a]='3',,,,,,
a4anot,a4a_adrd_specific_treatments,,radio,"0d2. If 'A4a AD-Specific Drug Treatment'  not submitted, specify reason","95, Physical problem | 96, Cognitive/behavioral problem | 97, Other | 98, Verbal refusal",,,,,,[modea4a]='3',y,,,,,
endfrma4a_desc,a4a_adrd_specific_treatments,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.051%;"" border=""1""> <tbody> <tr> <td style=""width: 99.821%; background-color: #e03e2d; border-color: #e03e2d;""><span style=""color: #ffffff;"">END FORM</span></td> </tr> </tbody> </table></div>",,,,,,,[modea4a]='3',,,,,,
