Conformity/missingness checks,,,,,,,,,,,,,
Form,Packet,Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts
A5/D2,FVP,TOBAC100,TOBAC100 must be present,TOBAC100 cannot be blank,Q1a. TOBAC100 (more than 100 cigarettes in their life) cannot be blank,IF TOBAC100=blank,n/a,n/a,Error,Yes,Missingness,Yes,
A5/D2,FVP,TOBAC100,TOBAC100 conforms,"TOBAC100 must be an integer between 0 and 1, or =9 (Unknown)","Q1a. TOBAC100 (more than 100 cigarettes in their life) must be an integer between 0 and 1, or =9 (Unknown)",IF TOBAC100 <0 or (TOBAC100>1 and not 9),n/a,n/a,Error,Yes,Conformity,Yes,
A5/D2,FVP,SMOKYRS,SMOKYRS conditionally present,If TOBAC100=1 then SMOKYRS must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1b. SMOKYRS (total years smoked) must be present,IF TOBAC100=1 and SMOKYRS=blank,n/a,n/a,Error,Yes,Missingness,Yes,
A5/D2,FVP,SMOKYRS,SMOKYRS conditionally blank,If TOBAC100 is 0 (No) or 9 (Unknown) then SMOKYRS must be blank,If Q1a. TOBAC100 (more than 100 cigarettes in their life) is 0 (No) or 9 (Unknown) then Q1b. SMOKYRS (total years smoked) must be blank,"IF TOBAC100 in (0, 9) then SMOKYRS must be blank",n/a,n/a,Error,Yes,Missingness,Yes,
A5/D2,FVP,SMOKYRS,SMOKYRS conforms,"SMOKYRS must be an integer between 0 and 87, or =99 (Unknown)","Q1b. SMOKYRS (total years smoked) must be an integer between 0 and 87, or =99 (Unknown)",IF SMOKYRS <0 or (SMOKYRS>87 and not 99),n/a,n/a,Error,Yes,Conformity,Yes,
A5/D2,FVP,PACKSPER,PACKSPER conditionally present,If TOBAC100=1 then PACKSPER must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1c. PACKSPER (average number of packs smoked per day) must be present,IF TOBAC100=1 and PACKSPER=blank,n/a,n/a,Error,Yes,Missingness,Yes,
A5/D2,FVP,PACKSPER,PACKSPER conditionally blank,If TOBAC100 is 0 (No) or 9 (Unknown) then PACKSPER must be blank,If Q1a. TOBAC100 (more than 100 cigarettes in their life) is 0 (No) or 9 (Unknown) then Q1c. PACKSPER (average number of packs smoked per day) must be blank,"IF TOBAC100 in (0, 9) then PACKSPER must be blank",n/a,n/a,Error,Yes,Missingness,Yes,
A5/D2,FVP,PACKSPER,PACKSPER conforms,"PACKSPER must be an integer between 1 and 5, or =9 (Unknown)","Q1c. PACKSPER (average number of packs smoked per day) must be an integer between 1 and 5, or =9 (Unknown)",IF PACKSPER <1 or (PACKSPER>5 and not 9),n/a,n/a,Error,Yes,Conformity,Yes,
A5/D2,FVP,TOBAC30,TOBAC30 conditionally present,If TOBAC100=1 then TOBAC30 must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1d. TOBAC30 (smoked within the last 30 days) must be present,IF TOBAC100=1 and TOBAC30=blank,n/a,n/a,Error,Yes,Missingness,Yes,
