error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a5d2-fvp-m-001,001,Error,a5d2,F,FRMDATEA5D2,Missingness,FRMDATEA5D2 must be present,FRMDATEA5D2 cannot be blank,Q0a. FRMDATEA5D2 (A5D2 form date) cannot be blank ,If FRMDATEA5D2 = blank,,,Yes,No,
a5d2-fvp-c-002,002,Error,a5d2,F,FRMDATEA5D2,Conformity,FRMDATEA5D2 conforms,FRMDATEA5D2 must be a date,Q0a. FRMDATEA5D2 (A5D2 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEA5D2 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a5d2-fvp-m-003,003,Error,a5d2,F,LANGA5D2,Missingness,LANGA5D2 must be present,LANGA5D2 cannot be blank,Q0c. LANGA5D2 (Language of A5D2 administration) cannot be blank,If LANGA5D2 = blank,,,Yes,Yes,
a5d2-fvp-c-004,004,Error,a5d2,F,LANGA5D2,Conformity,LANGA5D2 conforms,LANGA5D2 must be an integer between 1-2,Q0c. LANGA5D2 (Language of A5D2 administration) must be an integer between 1-2,If LANGA5D2 < 1 or LANGA5D2 > 2,,,Yes,Yes,
a5d2-fvp-m-005,005,Error,a5d2,F,MODEA5D2,Missingness,MODEA5D2 must be present,MODEA5D2 cannot be blank,Q0d. MODEA5D2 (A5D2 in person or remote) cannot be blank,If MODEA5D2 = blank,,,Yes,No,
a5d2-fvp-c-006,006,Error,a5d2,F,MODEA5D2,Conformity,MODEA5D2 conforms,MODEA5D2 must be an integer between 1-2,Q0d. MODEA5D2 (A5D2 in person or remote) must be an integer between 1-2,If MODEA5D2 < 1 or MODEA5D2 > 2,,,Yes,No,
a5d2-fvp-m-007,007,Error,a5d2,F,RMREASA5D2,Missingness,RMREASA5D2 conditionally present,"If MODEA5D2 = 2, RMREASA5D2 cannot be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 2 (Remote) then Q0d1. RMREASA5D2 (Reason for remote A5D2) cannot be blank,If MODEA5D2 = 2 and RMREASA5D2 = blank,,"MODEA5D2, RMREASA5D2",Yes,No,
a5d2-fvp-m-008,008,Error,a5d2,F,RMREASA5D2,Missingness,RMREASA5D2 conditionally blank,"If MODEA5D2 = 1, RMREASA5D2 must be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 1 (In-person) then Q0d1. RMREASA5D2 (Reason for remote A5D2) must be blank,If MODEA5D2 = 1 and RMREASA5D2 not = blank,,"MODEA5D2, RMREASA5D2",Yes,No,
a5d2-fvp-c-009,009,Error,a5d2,F,RMREASA5D2,Conformity,RMREASA5D2 conforms,RMREASA5D2 must be an integer between 1-5,Q0d1. RMREASA5D2 (Reason for remote A5D2) must be an integer between 1 and 5,If RMREASA5D2 < 1 or RMREASA5D2 > 5,,,Yes,No,
a5d2-fvp-m-010,010,Error,a5d2,F,RMMODEA5D2,Missingness,RMMODEA5D2 conditionally present,"If MODEA5D2 = 2, RMMODEA5D2 cannot be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 2 (Remote) then Q0d1a. RMMODEA5D2 (Mode of remote A5D2 administration) cannot be blank,If MODEA5D2 = 2 and RMMODEA5D2 = blank,,"MODEA5D2, RMMODEA5D2 ",Yes,No,
a5d2-fvp-m-011,011,Error,a5d2,F,RMMODEA5D2,Missingness,RMMODEA5D2 conditionally blank,"If MODEA5D2 = 1, RMMODEA5D2 must be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 1 (In-person) then Q0d1a. RMMODEA5D2 (Mode of remote A5D2 administration) must be blank,If MODEA5D2 = 1 and RMMODEA5D2 not = blank,,"MODEA5D2, RMMODEA5D2 ",Yes,No,
a5d2-fvp-c-012,012,Error,a5d2,F,RMMODEA5D2,Conformity,RMMODEA5D2 conforms,RMMODEA5D2 must be an integer between 1-2,Q0d1a. RMMODEA5D2 (Mode of remote A5D2 administration) must be an integer between 1-2,If RMMODEA5D2 < 1 or RMMODEA5D2 > 2,,,Yes,No,
a5d2-fvp-m-013,013,Error,a5d2,F,TOBAC100,Missingness,TOBAC100 must be present,TOBAC100 cannot be blank,Q1a. TOBAC100 (more than 100 cigarettes in their life) cannot be blank,IF TOBAC100=blank,, ,Yes,Yes,
a5d2-fvp-c-014,014,Error,a5d2,F,TOBAC100,Conformity,TOBAC100 conforms,"TOBAC100 must be an integer between 0 and 1, or =9 (Unknown)","Q1a. TOBAC100 (more than 100 cigarettes in their life) must be an integer between 0 and 1, or =9 (Unknown)",IF TOBAC100 <0 or (TOBAC100>1 and not 9),, ,Yes,Yes,
a5d2-fvp-m-015,015,Error,a5d2,F,SMOKYRS,Missingness,SMOKYRS conditionally present,If TOBAC100=1 then SMOKYRS must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1b. SMOKYRS (total years smoked) must be present,IF TOBAC100=1 and SMOKYRS=blank,,"TOBAC100, SMOKYRS",Yes,Yes,
a5d2-fvp-m-016,016,Error,a5d2,F,SMOKYRS,Missingness,SMOKYRS conditionally blank,If TOBAC100 is 0 (No) or 9 (Unknown) then SMOKYRS must be blank,If Q1a. TOBAC100 (more than 100 cigarettes in their life) is 0 (No) or 9 (Unknown) then Q1b. SMOKYRS (total years smoked) must be blank,"IF TOBAC100 in (0, 9) then SMOKYRS must be blank",,"TOBAC100, SMOKYRS",Yes,Yes,
a5d2-fvp-c-017,017,Error,a5d2,F,SMOKYRS,Conformity,SMOKYRS conforms,"SMOKYRS must be an integer between 0 and 87, or = 99 or 777","Q1b. SMOKYRS (total years smoked) must be an integer between 0 and 87, or = 777 (years provided at previous visit) or = 99 (Unknown)",IF SMOKYRS <0 or (SMOKYRS>87 and ne 777 or 99),, ,Yes,Yes,
a5d2-fvp-m-018,018,Error,a5d2,F,PACKSPER,Missingness,PACKSPER conditionally present,If TOBAC100=1 then PACKSPER must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1c. PACKSPER (average number of packs smoked per day) must be present,IF TOBAC100=1 and PACKSPER=blank,,"TOBAC100, PACKSPER",Yes,Yes,
a5d2-fvp-m-019,019,Error,a5d2,F,PACKSPER,Missingness,PACKSPER conditionally blank,If TOBAC100 is 0 (No) or 9 (Unknown) then PACKSPER must be blank,If Q1a. TOBAC100 (more than 100 cigarettes in their life) is 0 (No) or 9 (Unknown) then Q1c. PACKSPER (average number of packs smoked per day) must be blank,"IF TOBAC100 in (0, 9) then PACKSPER must be blank",,"TOBAC100, PACKSPER",Yes,Yes,
a5d2-fvp-c-020,020,Error,a5d2,F,PACKSPER,Conformity,PACKSPER conforms,"PACKSPER must be an integer between 1 and 5, or =9 (Unknown)","Q1c. PACKSPER (average number of packs smoked per day) must be an integer between 1 and 5, or =9 (Unknown)",IF PACKSPER <1 or (PACKSPER>5 and not 9),, ,Yes,Yes,
a5d2-fvp-m-021,021,Error,a5d2,F,TOBAC30,Missingness,TOBAC30 conditionally present,If TOBAC100=1 then TOBAC30 must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1d. TOBAC30 (smoked within the last 30 days) must be present,IF TOBAC100=1 and TOBAC30=blank,,"TOBAC100, TOBAC30",Yes,Yes,
a5d2-fvp-m-022,022,Error,a5d2,F,TOBAC30,Missingness,TOBAC30 conditionally blank,If TOBAC100 is 0 (No) or 9 (Unknown) then TOBAC30 must be blank,If Q1a. TOBAC100 (more than 100 cigarettes in their life) is 0 (No) or 9 (Unknown) then Q1d. TOBAC30 (smoked within the last 30 days) must be blank,"IF TOBAC100 in (0, 9) then TOBAC30 must be blank",,"TOBAC100, TOBAC30",Yes,Yes,
a5d2-fvp-c-023,023,Error,a5d2,F,TOBAC30,Conformity,TOBAC30 conforms,"TOBAC30 must be an integer between 0 and 1, or =9 (Unknown)","Q1d. TOBAC30 (smoked within the last 30 days) must be an integer between 0 and 1, or =9 (Unknown)",IF TOBAC30 <0 or (TOBAC30>1 and not 9),, ,Yes,Yes,
a5d2-fvp-m-024,024,Error,a5d2,F,QUITSMOK,Missingness,QUITSMOK conditionally present,If TOBAC100=1 then QUITSMOK must be present,If Q1a. TOBAC100 (more than 100 cigarettes in their life)=1 then Q1e. QUITSMOK (age quit smoking) must be present,IF TOBAC100=1 and QUITSMOK=blank,,"TOBAC100, QUITSMOK",Yes,Yes,
a5d2-fvp-m-025,025,Error,a5d2,F,QUITSMOK,Missingness,QUITSMOK conditionally blank,If TOBAC100 is 0 (No) or 9 (Unknown) then QUITSMOK must be blank,If Q1a. TOBAC100 (more than 100 cigarettes in their life) is 0 (No) or 9 (Unknown) then Q1e. QUITSMOK (age quit smoking) must be blank,"IF TOBAC100 in (0, 9) then QUITSMOK must be blank",,"TOBAC100, QUITSMOK",Yes,Yes,
a5d2-fvp-c-026,026,Error,a5d2,F,QUITSMOK,Conformity,QUITSMOK conforms,"QUITSMOK must be an integer between 8 and 110,  or = 777, 888 or 999","Q1e. QUITSMOK (age quit smoking) must be an integer between 8 and 110, 777 (age provided at previous visit), 888 (N/A), or 999 (Unknown)","IF QUITSMOK <8 or (QUITSMOK>110 and ne 777, 888 or 999)",, ,Yes,Yes,
a5d2-fvp-m-027,027,Error,a5d2,F,ALCFREQYR,Missingness,ALCFREQYR must be present,ALCFREQYR cannot be blank,Q1f. ALCFREQYR (frequency of alcoholic drinks in the last year) cannot be blank,IF ALCFREQYR=blank,, ,Yes,Yes,
a5d2-fvp-c-028,028,Error,a5d2,F,ALCFREQYR,Conformity,ALCFREQYR conforms,"ALCFREQYR must be an integer between 0 and 4, or =9 (Unknown)","Q1f. ALCFREQYR (frequency of alcoholic drinks in the last year) must be an integer between 0 and 4, or =9 (Unknown)",IF ALCFREQYR <0 or (ALCFREQYR>4 and not 9),, ,Yes,Yes,
a5d2-fvp-m-029,029,Error,a5d2,F,ALCDRINKS,Missingness,ALCDRINKS conditionally present,If ALCFREQYR in (1-4) then ALCDRINKS must be present,If Q1f. ALCFREQYR (frequency of alcoholic drinks in the last year) in (1-4) then Q1g. ALCDRINKS (number of standard alcoholic drinks typically consumed) must be present,IF ALCFREQYR in (1-4) and ALCDRINKS=blank,,"ALCFREQYR, ALCDRINKS",Yes,Yes,
a5d2-fvp-m-030,030,Error,a5d2,F,ALCDRINKS,Missingness,ALCDRINKS conditionally blank,If ALCFREQYR is 0 (Never) or 9 (Unknown) then ALCDRINKS must be blank,If Q1f. ALCFREQYR (frequency of alcoholic drinks in the last year) is 0 (Never) or 9 (Unknown) then Q1g. ALCDRINKS (number of standard alcoholic drinks typically consumed) must be blank,"IF ALCFREQYR in (0, 9) then ALCDRINKS must be blank",,"ALCFREQYR, ALCDRINKS",Yes,Yes,
a5d2-fvp-c-031,031,Error,a5d2,F,ALCDRINKS,Conformity,ALCDRINKS conforms,"ALCDRINKS must be an integer between 1 and 5, or =9 (Unknown)","Q1g. ALCDRINKS (number of standard alcoholic drinks typically consumed) must be an integer between 1 and 5, or =9 (Unknown)",IF ALCDRINKS <1 or (ALCDRINKS>5 and not 9),, ,Yes,Yes,
a5d2-fvp-m-032,032,Error,a5d2,F,ALCBINGE,Missingness,ALCBINGE conditionally present,If ALCFREQYR in (1-4) then ALCBINGE must be present,If Q1f. ALCFREQYR (frequency of alcoholic drinks in the last year) in (1-4) then Q1h. ALCBINGE (six or more drinks containing alcohol in one day) must be present,IF ALCFREQYR in (1-4) and ALCBINGE=blank,,"ALCFREQYR, ALCBINGE",Yes,Yes,
a5d2-fvp-m-033,033,Error,a5d2,F,ALCBINGE,Missingness,ALCBINGE conditionally blank,If ALCFREQYR is 0 (Never) or 9 (Unknown) then ALCBINGE must be blank,If Q1f. ALCFREQYR (frequency of alcoholic drinks in the last year) is 0 (Never) or 9 (Unknown) then Q1h. ALCBINGE (six or more drinks containing alcohol in one day) must be blank,"IF ALCFREQYR in (0, 9) then ALCBINGE must be blank",,"ALCFREQYR, ALCBINGE",Yes,Yes,
