error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a5d2-fvp-p-1001,1001,Alert,a5d2,F,ALCBINGE,Plausibility,ALCDRINKS compared to ALCBINGE,"if ALCDRINKS in (4, 5) then ALCBINGE should not = 0 ","If Q1g. ALCDRINKS (On a day when the participant drinks alcoholic beverages, how many standard drinks does the participant typically consume?) in (4, 5) (7-9 or 10+ drinks per day), then Q1h. ALCBINGE (In the past 12 months, how often did the participant have six or more drinks containing alcohol in one day?) should not = 0 (never)","If ALCDRINKS in (4, 5) and ALCBINGE = 0",,"ALCDRINKS, ALCBINGE",No,No,
a5d2-fvp-p-1002,1002,Alert,a5d2,F,SEIZURES,Plausibility,SEIZURES compared to EPILEP,If EPILEP =1 then SEIZURES should = 1,"If D1a Q20. EPILEP (Epilepsy) = 1 (present), then A5D2 Q4c. SEIZURES (Epilepsy and/or history of seizures) should = 1 (Recent/active)",If EPILEP =1 and SEIZURES not =1,"A5D2, D1a","SEIZURES, EPILEP",No,No,
a5d2-fvp-p-1003,1003,Alert,a5d2,F,HYDROCEPH,Plausibility,HYDROCEPH compared to HYCEPH,If HYCEPH =1 then HYDROCEPH should = 1,"If D1a Q21. HYCEPH (Normal-pressure hydrocephalus) = 1 (present), then A5D2 Q4f. HYDROCEPH (Normal-pressure hydrocephalus) should = 1 (Recent/active)",If HYCEPH =1 and HYDROCEPH not =1,"A5D2, D1a","HYDROCEPH, HYCEPH",No,Yes,
a5d2-fvp-p-1004,1004,Alert,a5d2,F,CANCERACTV,Plausibility,CANCERACTV compared to NEOP,If NEOP =1 then CANCERACTV should = 1,"If D1a Q22. NEOP (CNS Neoplasm) = 1 (present), then A5D2 Q5p. CANCERACTV (Cancer, primary or metastatic) should = 1 (Recent/active)",If NEOP =1 and CANCERACTV not =1,"A5D2, D1a","CANCERACTV, NEOP",No,Yes,
a5d2-fvp-p-1005,1005,Alert,a5d2,F,RBD,Plausibility,RBD compared to BEREM,If BEREM =1 then RBD should = 1,"If B9 Q12t BEREM (RBD) =1, then A5D2 Q5j. RBD (RBD) should = 1 (Recent/active)",If RBD = 1 and BEREM not =1,"A5D2, B9","RBD, BEREM",No,Yes,
a5d2-fvp-p-1006,1006,Alert,a5d2,F,RBD,Plausibility,RBD compared to BEREMCONF,If  BEREMCONF=1 then RBD should = 1,If B9 Q12t.2 BEREMCONF (RBD confirmed by polysomnography) = 1 (yes) then A5D2 Q5j. RBD (RBD) should = 1 (Recent/active),If BEREMCONF =1 and RBD not =1,"A5D2, B9","RBD, BEREMCONF",No,Yes,
a5d2-fvp-p-1007,1007,Alert,a5d2,F,APNEA,Plausibility,APNEA compared to APNEADX,If APNEADX =1 then APNEA should = 1,"If D1a Q25. APNEADX (Sleep apnea) = 1 (present), then A5D2 Q5i. APNEA (sleep apnea) should = 1 (Recent/active)",If APNEADX =1 and APNEA not =1,"A5D2, D1a","APNEA, APNEADX",No,No,
a5d2-fvp-p-1008,1008,Alert,a5d2,F,COVID19,Plausibility,COVID19 compared to POSTC19,If POSTC19 =1 then COVID19 should = 1,"If D1a Q POSTC19 (24. Post COVID-19 cognitive impairment) = 1 (present), then A5D2 Q5n. COVID19 (COVID-19 infection) should = 1 (Recent/active)",If POSTC19 =1 and COVID19 not =1,"A5D2, D1a","COVID19, POSTC19",No,No,
a5d2-fvp-p-1009,1009,Alert,a5d2,F,HIVDIAG,Plausibility,HIVDIAG compared to HIV,If HIV =1 then HIVDIAG should = 1,"If D1a Q HIV (23. Human Immunodeficiency Virus (HIV) infection) = 1 (present), then A5D2 Q5s. HIVDIAG (Human Immunodeficiency Virus (HIV)) should = 1 (Recent/active)",If HIV =1 and HIVDIAG not =1,"A5D2, D1a","HIVDIAG, HIV",No,Yes,
a5d2-fvp-p-1010,1010,Alert,a5d2,F,MAJORDEP,Plausibility,MAJORDEP compared to MAJDEPDX,If MAJDEPDX =1 then MAJORDEP should = 1,"If D1a Q MAJDEPDX (10. Major depressive disorder) = 1 (present), then A5D2 Q MAJORDEP (6a1. Major depressive disorder (DSM-5-TR criteria)) should = 1 (Recent/active)",If MAJDEPDX =1 and MAJORDEP not =1,"A5D2, D1a","MAJORDEP, MAJDEPDX",No,No,
