Form ,Version,Gate_question_variable,Variable,TT_code
A5/D2,v4,TOBAC100,SMOKYRS,"If TOBAC100 = 0, then SMOKYRS should equal 88; If TOBAC100 = 9, then SMOKYRS should equal 99"
A5/D2,v4,n/a,SMOKYRS,"If SMOKYRS = 777, carry forward value from previous visit."
A5/D2,v4,TOBAC100,PACKSPER,"If TOBAC100 = 0, then PACKSPER should equal 8; If TOBAC100 = 9, then PACKSPER should equal 9"
A5/D2,v4,TOBAC100,TOBAC30,"If TOBAC100 = 0, then TOBAC30 should equal 8; If TOBAC100 = 9, then TOBAC30 should equal 9"
A5/D2,v4,TOBAC100,QUITSMOK,"If TOBAC100 = 0, then QUITSMOK should equal 888; If TOBAC100 = 9, then QUITSMOK should equal 999"
A5/D2,v4,n/a,QUITSMOK,"If QUITSMOK = 777, carry forward value from previous visit."
A5/D2,v4,ALCFREQYR,ALCDRINKS,"If ALCFREQYR = 0, then ALCDRINKS should equal 8; If ALCFREQYR = 9, then ALCDRINKS should equal 9"
A5/D2,v4,ALCFREQYR,ALCBINGE,"If ALCFREQYR = 0, then ALCBINGE should equal 8; If ALCFREQYR = 9, then ALCBINGE should equal 9"
A5/D2,v4,HRTATTACK,HRTATTMULT,"If HRTATTACK = 0, then HRTATTMULT should equal 8; If HRTATTACK = 9, then HRTATTMULT should equal 9"
A5/D2,v4,HRTATTACK,HRTATTAGE,"If HRTATTACK = 0, then HRTATTAGE should equal 888; If HRTATTACK = 9, then HRTATTAGE should equal 999"
A5/D2,v4,n/a,HRTATTAGE,"If HRTATTAGE = 777, carry forward value from previous visit."
A5/D2,v4,CARDARREST,CARDARRAGE,"If CARDARREST = 0, then CARDARRAGE should equal 888; If CARDARREST = 9, then CARDARRAGE should equal 999"
A5/D2,v4,n/a,CARDARRAGE,"If CARDARRAGE = 777, carry forward value from previous visit."
A5/D2,v4,CVBYPASS,BYPASSAGE,"If CVBYPASS = 0, then BYPASSAGE should equal 888; If CVBYPASS = 9, then BYPASSAGE should equal 999"
A5/D2,v4,n/a,BYPASSAGE,"If BYPASSAGE = 777, carry forward value from previous visit."
A5/D2,v4,CVPACDEF,PACDEFAGE,"If CVPACDEF = 0, then PACDEFAGE should equal 888; If CVPACDEF = 9, then PACDEFAGE should equal 999"
A5/D2,v4,n/a,PACDEFAGE,"If PACDEFAGE = 777, carry forward value from previous visit."
A5/D2,v4,CVHVALVE,VALVEAGE,"If CVHVALVE = 0, then VALVEAGE should equal 888; If CVHVALVE = 9, then VALVEAGE should equal 999"
A5/D2,v4,n/a,VALVEAGE,"If VALVEAGE = 777, carry forward value from previous visit."
A5/D2,v4,CVOTHR,CVOTHRX,"If CVOTHR is blank, 0, or 9, then CVOTHRX should be blank"
A5/D2,v4,CBSTROKE,STROKMUL,"If CBSTROKE = 0, then STROKMUL should equal 8; If CBSTROKE = 9, then STROKMUL should equal 9"
A5/D2,v4,CBSTROKE,STROKAGE,"If CBSTROKE = 0, then STROKAGE should equal 888; If CBSTROKE = 9, then STROKAGE should equal 999"
A5/D2,v4,n/a,STROKAGE,"If STROKAGE = 777, carry forward value from previous visit."
A5/D2,v4,CBSTROKE,STROKSTAT,"If CBSTROKE = 0, then STROKSTAT should equal 8; If CBSTROKE = 9, then STROKSTAT should equal 9"
A5/D2,v4,CBSTROKE,ANGIOCP,"If CBSTROKE = 0, then ANGIOCP should equal 8; If CBSTROKE = 9, then ANGIOCP should equal 9"
A5/D2,v4,ANGIOCP,CAROTIDAGE,"If CBSTROKE = 0 or ANGIOCP = 0, then CAROTIDAGE should equal 888; if CBSTROKE = 9 or ANGIOCP = 9, then CAROTIDAGE should equal 999"
A5/D2,v4,n/a,CAROTIDAGE,"If CAROTIDAGE = 777, carry forward value from previous visit."
A5/D2,v4,CBTIA,TIAAGE,"If CBTIA = 0, then TIAAGE should equal 888; If CBTIA = 9, then TIAAGE should equal 999"
