error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a5d2-ivp-m-001,1,Error,a5d2,I,FRMDATEA5D2,Missingness,FRMDATEA5D2 must be present,FRMDATEA5D2 cannot be blank,Q0a. FRMDATEA5D2 (A5D2 form date) cannot be blank ,If FRMDATEA5D2 = blank,,,Yes,No,
a5d2-ivp-c-002,2,Error,a5d2,I,FRMDATEA5D2,Conformity,FRMDATEA5D2 conforms,FRMDATEA5D2 must be a date,Q0a. FRMDATEA5D2 (A5D2 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEA5D2 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
a5d2-ivp-m-003,3,Error,a5d2,I,LANGA5D2,Missingness,LANGA5D2 must be present,LANGA5D2 cannot be blank,Q0c. LANGA5D2 (Language of A5D2 administration) cannot be blank,If LANGA5D2 = blank,,,Yes,Yes,
a5d2-ivp-c-004,4,Error,a5d2,I,LANGA5D2,Conformity,LANGA5D2 conforms,LANGA5D2 must be an integer between 1-2,Q0c. LANGA5D2 (Language of A5D2 administration) must be an integer between 1-2,If LANGA5D2 < 1 or LANGA5D2 > 2,,,Yes,Yes,
a5d2-ivp-m-005,5,Error,a5d2,I,MODEA5D2,Missingness,MODEA5D2 must be present,MODEA5D2 cannot be blank,Q0d. MODEA5D2 (A5D2 in person or remote) cannot be blank,If MODEA5D2 = blank,,,Yes,No,
a5d2-ivp-c-006,6,Error,a5d2,I,MODEA5D2,Conformity,MODEA5D2 conforms,MODEA5D2 must be an integer between 1-2,Q0d. MODEA5D2 (A5D2 in person or remote) must be an integer between 1-2,If MODEA5D2 < 1 or MODEA5D2 > 2,,,Yes,No,
a5d2-ivp-m-007,7,Error,a5d2,I,RMREASA5D2,Missingness,RMREASA5D2 conditionally present,"If MODEA5D2 = 2, RMREASA5D2 cannot be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 2 (Remote) then Q0d1. RMREASA5D2 (Reason for remote A5D2) cannot be blank,If MODEA5D2 = 2 and RMREASA5D2 = blank,,"MODEA5D2, RMREASA5D2",Yes,No,
a5d2-ivp-m-008,8,Error,a5d2,I,RMREASA5D2,Missingness,RMREASA5D2 conditionally blank,"If MODEA5D2 = 1, RMREASA5D2 must be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 1 (In-person) then Q0d1. RMREASA5D2 (Reason for remote A5D2) must be blank,If MODEA5D2 = 1 and RMREASA5D2 not = blank,,"MODEA5D2, RMREASA5D2",Yes,No,
a5d2-ivp-c-009,9,Error,a5d2,I,RMREASA5D2,Conformity,RMREASA5D2 conforms,RMREASA5D2 must be an integer between 1-5,Q0d1. RMREASA5D2 (Reason for remote A5D2) must be an integer between 1 and 5,If RMREASA5D2 < 1 or RMREASA5D2 > 5,,,Yes,No,
a5d2-ivp-m-010,10,Error,a5d2,I,RMMODEA5D2,Missingness,RMMODEA5D2 conditionally present,"If MODEA5D2 = 2, RMMODEA5D2 cannot be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 2 (Remote) then Q0d1a. RMMODEA5D2 (Mode of remote A5D2 administration) cannot be blank,If MODEA5D2 = 2 and RMMODEA5D2 = blank,,"MODEA5D2, RMMODEA5D2 ",Yes,No,
a5d2-ivp-m-011,11,Error,a5d2,I,RMMODEA5D2,Missingness,RMMODEA5D2 conditionally blank,"If MODEA5D2 = 1, RMMODEA5D2 must be blank",If Q0d. MODEA5D2 (A5D2 in person or remote) = 1 (In-person) then Q0d1a. RMMODEA5D2 (Mode of remote A5D2 administration) must be blank,If MODEA5D2 = 1 and RMMODEA5D2 not = blank,,"MODEA5D2, RMMODEA5D2 ",Yes,No,
