error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a5d2-ivp-p-1001,1001,Alert,a5d2,I,MENARCHE,Plausibility,MENCARCHE present if BIRTHSEX=2,If BIRTHSEX=2 then MENARCHE should not be blank in most cases,If A1 Q5. BIRTHSEX (sex at birth)=2 (female) then Q7a. MENARCHE (age at first menstrual period?) should not be blank in most cases,IF BIRTHSEX=2 and MENARCHE=blank,"A1, A5D2","BIRTHSEX, MENARCHE",No,No,
a5d2-ivp-p-1003,1003,Alert,a5d2,I,ALCBINGE,Plausibility,ALCDRINKS compared to ALCBINGE,"if ALCDRINKS in (4, 5) then ALCBINGE should not = 0 ","If Q1g. ALCDRINKS (On a day when the participant drinks alcoholic beverages, how many standard drinks does the participant typically consume?) in (4, 5) (7-9 or 10+ drinks per day), then Q1h. ALCBINGE (In the past 12 months, how often did the participant have six or more drinks containing alcohol in one day?) should not = 0 (never)","If ALCDRINKS in (4, 5) and ALCBINGE = 0",,"ALCDRINKS, ALCBINGE",No,No,
a5d2-ivp-p-1004,1004,Alert,a5d2,I,SEIZURES,Plausibility,SEIZURES compared to EPILEP,If EPILEP =1 then SEIZURES should = 1,"If D1a Q20. EPILEP (Epilepsy) = 1 (present), then A5D2 Q4c. SEIZURES (Epilepsy and/or history of seizures) should = 1 (Recent/active)",If EPILEP =1 and SEIZURES not =1,"A5D2, D1a","SEIZURES, EPILEP",No,No,
a5d2-ivp-p-1005,1005,Alert,a5d2,I,HYDROCEPH,Plausibility,HYDROCEPH compared to HYCEPH,If HYCEPH =1 then HYDROCEPH should = 1,"If D1a Q21. HYCEPH (Normal-pressure hydrocephalus) = 1 (present), then A5D2 Q4f. HYDROCEPH (Normal-pressure hydrocephalus) should = 1 (Recent/active)",If HYCEPH =1 and HYDROCEPH not =1,"A5D2, D1a","HYDROCEPH, HYCEPH",No,Yes,
a5d2-ivp-p-1006,1006,Alert,a5d2,I,CANCERACTV,Plausibility,CANCERACTV compared to NEOP,If NEOP =1 then CANCERACTV should = 1,"If D1a Q22. NEOP (CNS Neoplasm) = 1 (present), then A5D2 Q5m. CANCERACTV (Cancer, primary or metastatic) should = 1 (Recent/active)",If NEOP =1 and CANCERACTV not =1,"A5D2, D1a","CANCERACTV, NEOP",No,Yes,
a5d2-ivp-p-1007,1007,Alert,a5d2,I,RBD,Plausibility,RBD compared to BEREM,If BEREM =1 then RBD should = 1,"If B9 Q12t BEREM (RBD) =1, then A5D2 Q5j. RBD (RBD) should = 1 (Recent/active)",If BEREM = 1 and RBD not =1,"A5D2, B9","RBD, BEREM",No,Yes,
a5d2-ivp-p-1008,1008,Alert,a5d2,I,RBD,Plausibility,RBD compared to BEREMCONF,If  BEREMCONF=1 then RBD should = 1,If B9 Q12t.2 BEREMCONF (RBD confirmed by polysomnography) = 1 (yes) then A5D2 Q5j. RBD (RBD) should = 1 (Recent/active),If BEREMCONF =1 and RBD not =1,"A5D2, B9","RBD, BEREMCONF",No,Yes,
a5d2-ivp-p-1009,1009,Alert,a5d2,I,APNEA,Plausibility,APNEA compared to APNEADX,If APNEADX =1 then APNEA should = 1,"If D1a Q25. APNEADX (Sleep apnea) = 1 (present), then A5D2 Q5i. APNEA (sleep apnea) should = 1 (Recent/active)",If APNEADX =1 and APNEA not =1,"A5D2, D1a","APNEA, APNEADX",No,No,
a5d2-ivp-p-1010,1010,Alert,a5d2,I,COVID19,Plausibility,COVID19 compared to POSTC19,If POSTC19 =1 then COVID19 should = 1,"If D1a Q POSTC19 (24. Post COVID-19 cognitive impairment) = 1 (present), then A5D2 Q5n. COVID19 (COVID-19 infection) should = 1 (Recent/active)",If POSTC19 =1 and COVID19 not =1,"A5D2, D1a","COVID19, POSTC19",No,No,
a5d2-ivp-p-1011,1011,Alert,a5d2,I,HIVDIAG,Plausibility,HIVDIAG compared to HIV,If HIV =1 then HIVDIAG should = 1,"If D1a Q HIV (23. Human Immunodeficiency Virus (HIV) infection) = 1 (present), then A5D2 Q5s. HIVDIAG (Human Immunodeficiency Virus (HIV)) should = 1 (Recent/active)",If HIV =1 and HIVDIAG not =1,"A5D2, D1a","HIVDIAG, HIV",No,Yes,
a5d2-ivp-p-1012,1012,Alert,a5d2,I,MAJORDEP,Plausibility,MAJORDEP compared to MAJDEPDX,If MAJDEPDX =1 then MAJORDEP should = 1,"If D1a Q MAJDEPDX (10. Major depressive disorder) = 1 (present), then A5D2 Q MAJORDEP (6a1. Major depressive disorder (DSM-5-TR criteria)) should = 1 (Recent/active)",If MAJDEPDX =1 and MAJORDEP not =1,"A5D2, D1a","MAJORDEP, MAJDEPDX",No,No,
a5d2-ivp-p-1013,1013,Alert,a5d2,I,OTHERDEP,Plausibility,OTHERDEP compared to OTHDEPDX,If OTHDEPDX =1 then OTHERDEP should = 1,"If D1a Q11. OTHDEPDX (Other specified depressive disorder) = 1 (present), then A5D2 Q6a2. OTHERDEP (Other specified depressive disorder) should = 1 (Recent/active)",If OTHDEPDX =1 and OTHERDEP not =1,"A5D2, D1a","OTHERDEP, OTHDEPDX",No,No,
a5d2-ivp-p-1014,1014,Alert,a5d2,I,BIPOLAR,Plausibility,BIPOLAR compared to BIPOLDX,If BIPOLDX =1 then BIPOLAR should = 1,"If D1a Q12. BIPOLDX (Bipolar disorder) = 1 (present), then A5D2 Q6b. BIPOLAR (Bipolar disorder (DSM-5-TR criteria)) should = 1 (Recent/active)",If BIPOLDX =1 and BIPOLAR not =1,"A5D2, D1a","BIPOLAR, BIPOLDX",No,Yes,
a5d2-ivp-p-1015,1015,Alert,a5d2,I,SCHIZ,Plausibility,SCHIZ compared to SCHIZOP,If SCHIZOP =1 then SCHIZ should = 1,"If D1a Q13. SCHIZOP (Schizophrenia or other psychotic disorder) = 1 (present), then A5D2 Q6c.  SCHIZ (Schizophrenia or other psychosis disorder) should = 1 (Recent/active)",If SCHIZOP =1 and SCHIZ not =1,"A5D2, D1a","SCHIZ, SCHIZOP",No,Yes,
a5d2-ivp-p-1016,1016,Alert,a5d2,I,ANXIETY,Plausibility,ANXIETY compared to ANXIET,If ANXIET =1 then ANXIETY should = 1,"If D1a Q ANXIET (14. Anxiety disorder) = 1 (present), then A5D2 Q ANXIETY (6d. Anxiety disorder (DSM-5-TR criteria)) should = 1 (Recent/active)",If ANXIET =1 and ANXIETY not =1,"A5D2, D1a","ANXIETY, ANXIET",No,No,
a5d2-ivp-p-1017,1017,Alert,a5d2,I,GENERALANX,Plausibility,GENERALANX compared to GENANX,If GENANX =1 then GENERALANX should = 1,"If D1a Q14b. GENANX (Generalized Anxiety Disorder) = 1 (present), then A5D2 Q6d1. GENERALANX (Generalized Anxiety Disorder) should = 1 (Recent/active)",If GENANX =1 and GENERALANX not =1,"A5D2, D1a","GENERALANX, GENANX",No,No,
a5d2-ivp-p-1018,1018,Alert,a5d2,I,PANICDIS,Plausibility,PANICDIS compared to PANICDISDX,If PANICDISDX =1 then PANICDIS should = 1,"If D1a Q14c. PANICDISDX (Panic Disorder) = 1 (present), then A5D2 Q6d2. PANICDIS (Panic Disorder) should = 1 (Recent/active)",If PANICDISDX =1 and PANICDIS not =1,"A5D2, D1a","PANICDIS, PANICDISDX",No,No,
a5d2-ivp-p-1019,1019,Alert,a5d2,I,OCD,Plausibility,OCD compared to OCDDX,If OCDDX =1 then OCD should = 1,"If D1a Q14d. OCDDX (OCD) = 1 (present), then A5D2 Q6d3. OCD (OCD) should = 1 (Recent/active)",If OCDDX =1 and OCD not =1,"A5D2, D1a","OCD, OCDDX",No,No,
a5d2-ivp-p-1020,1020,Alert,a5d2,I,OTHANXDIS,Plausibility,OTHANXDIS compared to OTHANXD,If OTHANXD =1 then OTHANXDIS should = 1,"If D1a Q14e. OTHANXD (Other anxiety disorder) = 1 (present), then A5D2 Q6d4. OTHANXDIS (Other anxiety disorder) should = 1 (Recent/active)",If OTHANXD =1 and OTHANXDIS not =1,"A5D2, D1a","OTHANXDIS, OTHANXD",No,No,
a5d2-ivp-p-1021,1021,Alert,a5d2,I,PTSD,Plausibility,PTSD compared to PTSDDX,If PTSDDX =1 then PTSD should = 1,"If D1a Q15. PTSDDX (PTSD) = 1 (present), then A5D2 Q6e. PTSD (PTSD) should = 1 (Recent/active)",If PTSDDX =1 and PTSD not =1,"A5D2, D1a","PTSD, PTSDDX",No,No,
a5d2-ivp-p-1022,1022,Alert,a5d2,I,NPSYDEV,Plausibility,NPSYDEV compared to NDEVDIS,If NDEVDIS =1 then NPSYDEV should = 1,"If D1a Q16. NDEVDIS (Developmental neuropsychiatric disorders) = 1 (present), then A5D2 Q6f. NPSYDEV (Developmental neuropsychiatric disorders) should = 1 (Recent/active)",If NDEVDIS =1 and NPSYDEV not =1,"A5D2, D1a","NPSYDEV, NDEVDIS",No,No,
a5d2-ivp-p-1023,1023,Alert,a5d2,I,PSYCDIS,Plausibility,PSYCDIS compared to OTHPSY,If OTHPSY =1 then PSYCDIS should = 1,"If D1a Q18.  OTHPSY (Other psychiatric disorder) = 1 (present), then A5D2 Q6g.  PSYCDIS (Other psychiatric disorders) should = 1 (Recent/active)",If OTHPSY =1 and PSYCDIS not =1,"A5D2, D1a","PSYCDIS, OTHPSY",No,Yes,
