Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HEIGHT,HEIGHT must be present,HEIGHT cannot be blank,Q1. HEIGHT ( Participant height) cannot be blank,IF HEIGHT =blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HEIGHT,HEIGHT conforms,"HEIGHT must be a number between 36-87.9, 88.8","Q1. HEIGHT (Participant height (inches)) must be a number between 36-87.9, 88.8","IF HEIGHT not in (36-87.9, 88.8)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,WEIGHT,WEIGHT must be present,WEIGHT cannot be blank,Q2. WEIGHT ( Participant weight) cannot be blank,IF WEIGHT =blank,NA,NA,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,WEIGHT,WEIGHT conforms,"WEIGHT must be an integer between 50-400, 888","Q2. WEIGHT  ( Participant weight) must be an integer between 50-400, 888","IF WEIGHT not in (50-400, 888)",NA,NA,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,WAIST1,WAIST1 must be present ,WAIST1 cannot be blank,Q3a. WAIST1  ( Participant waist measurement) cannot be blank,IF WAIST1=blank,NA,NA,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,WAIST1,WAIST1 conforms,"WAIST1 must be an integer between 20-60, 888","Q3a. WAIST1 ( Participant waist measurement) must be an integer between 20-60, 888","IF WAIST1 not in (20-60, 888)",NA,NA,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,WAIST2,WAIST2 must be present ,WAIST2 cannot be blank,Q3b. WAIST2 ( Participant waist measurement)  cannot be blank,IF WAIST2=blank,NA,NA,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,WAIST2,WAIST2 conforms,"WAIST2 must be an integer between 20-60, 888","Q3b. WAIST2 ( Participant waist measurement) must be an integer between 20-60, 888","IF WAIST2 not in (20-60, 888)",NA,NA,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HIP1,HIP1 must be present ,HIP1  cannot be blank,Q4a. HIP1  ( Participant hip measurement) cannot be blank,IF HIP1=blank,NA,NA,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
B1,IVP,HIP1,HIP1 conforms,"HIP1 must be an integer between 25-70, 888","Q4a. HIP1  ( Participant hip measurement) must be an integer between 25-70, 888","IF HIP1 not in (25-70, 888)",NA,NA,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
