error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b1a-ivp-m-001,001,Error ,b1a,I,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank,If PACKET = blank,,,,,
b1a-ivp-c-002,002,Error ,b1a,I,PACKET,Conformity,PACKET conforms,PACKET must be a character I or F,Q0a. PACKET (Packet code) must be a character I or F,"If PACKET not in (""I"", ""F"")",,,,,
b1a-ivp-m-003,003,Error ,b1a,I,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0b. FORMVER (Form version number) cannot be blank,If FORMVER = blank,,,,,
b1a-ivp-c-004,004,Error ,b1a,I,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 3,Q0b. FORMVER (Form version number) must equal 3,If FORMVER ne 3,,,,,
b1a-ivp-m-005,005,Error ,b1a,I,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0c. ADCID (ADCID) cannot be blank,If ADCID = blank,,,,,
b1a-ivp-c-006,006,Error ,b1a,I,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0c. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,,,
b1a-ivp-m-007,007,Error ,b1a,I,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
b1a-ivp-m-008,008,Error ,b1a,I,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Q0f. VISITDATE (Form date) cannot be blank,If VISITDATE = blank,,,,,
b1a-ivp-c-009,009,Error ,b1a,I,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0f. VISITDATE (Form date) must be a date in the format mm/dd/yyyy or yyyy/mm/dd,If VISITDATE not in mm/dd/yyyy or yyyy/mm/dd format,,,,,
b1a-ivp-m-010,010,Error ,b1a,I,BPSYSL,Missingness,BPSYSL must be present,BPSYSL cannot be blank,Q1a1. BPSYSL (Systolic blood pressure left arm) cannot be blank,If  BPSYSL = blank,,,,,
b1a-ivp-c-011,011,Error ,b1a,I,BPSYSL,Conformity,BPSYSL conforms,BPSYSL must be an integer between 70-230 or = 888,Q1a1. BPSYSL (Systolic blood pressure left arm) must be an integer between 70-230 or 888,If BPSYSL < 70 or BPSYSL > 230 (and ne 888),,,,,
b1a-ivp-m-012,012,Error ,b1a,I,BPSYSR,Missingness,BPSYSR must be present,BPSYSR cannot be blank,Q1b1. BPSYSR (Systolic blood pressure right arm) cannot be blank,If BPSYSR = blank,,,,,
b1a-ivp-c-013,013,Error ,b1a,I,BPSYSR,Conformity,BPSYSR conforms,BPSYSR must be an integer between 70-230 or = 888,Q1b1. BPSYSR (Systolic blood pressure right arm) must be an integer between 70-230 or 888,If BPSYSR < 70 or BPSYSR > 230 (and ne 888),,,,,
b1a-ivp-m-014,014,Error ,b1a,I,BPDIASL,Missingness,BPDIASL must be present,BPDIASL cannot be blank,Q1a2. BPDIASL (Diastolic blood pressure left arm) cannot be blank,If BPDIASL = blank,,,,,
b1a-ivp-c-015,015,Error ,b1a,I,BPDIASL,Conformity,BPDIASL conforms,BPDIASL must be an integer between 30-140 or = 888,Q1a2. BPDIASL (Diastolic blood pressure left arm) must be an integer between 30-140 or 888,If BPDIASL < 30 or BPDIASL > 140 (and ne 888),,,,,
b1a-ivp-m-016,016,Error ,b1a,I,BPDIASR,Missingness,BPDIASR must be present,BPDIASR cannot be blank,Q1b2. BPDIASR (Diastolic blood pressure right arm) cannot be blank,If BPDIASR = blank,,,,,
b1a-ivp-c-017,017,Error ,b1a,I,BPDIASR,Conformity,BPDIASR conforms,BPDIASR must be an integer between 30-140 or = 888,Q1b2. BPDIASR (Diastolic blood pressure right arm) must be an integer between 30-140 or 888,If BPDIASR < 30 or BPDIASR > 140 (and ne 888),,,,,
b1a-ivp-m-018,018,Error ,b1a,I,BPDEVICE,Missingness,BPDEVICE must be present,BPDEVICE cannot be blank,Q2. BPDEVICE (Blood pressure measured by approved device) cannot be blank,If BPDEVICE = blank,,,,,
b1a-ivp-c-019,019,Error ,b1a,I,BPDEVICE,Conformity,BPDEVICE conforms,BPDEVICE must be an integer between 0-1 or = 9,"Q2. BPDEVICE (Blood pressure measured by approved device) must be an integer between 0-1, 9",If BPDEVICE < 0 or BPDEVICE > 1 (and ne 9),,,,,
