Form,Packet,Error #,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Error code,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B3,IVP,1,PDNORMAL,PDNORMAL must conform,PDNORMAL must be an integer between 0-1,Q0. PDNORMAL (UPDRS examination is normal) must be an integer between 0-1,If PDNORMAL <0 or PDNORMAL >1,b3-ivp-c-001,n/a,n/a,Error,Yes,Conformity,Yes,"In REDCap, can we include an option that unchecks PDNORMAL if an abnormality gets reported? (I.e., the user can select ""normal"" to fill out most of the form with zeroes, but can then select a finding and have PDNORMAL switch to 0."
B3,IVP,2,SPEECH,SPEECH conditionally present,If PDNORMAL is 0 then SPEECH cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q1. SPEECH (Speech) cannot be blank,IF PDNORMAL = 0 and SPEECH = blank,b3-ivp-m-002,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,3,SPEECH,SPEECH conditionally blank,If PDNORMAL is 1 then SPEECH must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q1. SPEECH (Speech) must be blank,If PDNORMAL = 1 and SPEECH is not blank,b3-ivp-m-003,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,4,SPEECH,SPEECH conforms,SPEECH must be an integer between 0-4 or 8,Q1. SPEECH (Speech) must be an integer between 0-4 or 8,IF SPEECH < 0 or (SPEECH > 4 and not equal to 8),b3-ivp-c-004,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,5,SPEECHX,SPEECHX conditionally present,If SPEECH is 8 then SPEECHX must be present,If Q1. SPEECH (Speech) is 8 (Untestable) then Q1a. SPEECHX (Untestable - Specify) must be present,IF SPEECH = 8 and SPEECHX = blank,b3-ivp-m-005,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,6,FACEXP,FACEXP conditionally present,If PDNORMAL is 0 then FACEXP cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q2. FACEXP (Facial expression) cannot be blank,IF PDNORMAL = 0 and FACEXP = blank,b3-ivp-m-006,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,7,FACEXP,FACEXP conditionally blank,If PDNORMAL is 1 then FACEXP must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q2. FACEXP (Facial expression) must be blank,If PDNORMAL = 1 and FACEXP is not blank,b3-ivp-m-007,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,8,FACEXP,FACEXP conforms,FACEXP must be an integer between 0-4 or 8,Q2. FACEXP (Facial expression) must be an integer between 0-4 or 8,IF FACEXP < 0 or (FACEXP > 4 and not equal to 8),b3-ivp-c-008,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,9,FACEXPX,FACEXPX conditionally present,If FACEXP is 8 then FACEXPX must be present,If Q2. FACEXP (Facial expression) is 8 (Untestable) then Q2a. FACEXPX (Untestable - Specify) must be present,IF FACEXP = 8 and FACEXPX = blank,b3-ivp-m-009,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,10,TRESTFAC,TRESTFAC conditionally present,If PDNORMAL is 0 then TRESTFAC cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q3a. TRESTFAC (Tremor at rest - face/lips/chin) cannot be blank,IF PDNORMAL = 0 and TRESTFAC = blank,b3-ivp-m-010,n/a,n/a,Error,Yes,Missingness,Yes,
