form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
b3,I,0a. B3 UPDRS-Parkinson's - Form date,FRMDATEB3,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
b3,I,0b. B3 UPDRS-Parkinson's - Examiner's initials,INITIALSB3,No,text,,String,
b3,I,0c. B3 UPDRS-Parkinson's - Language,LANGB3,Always,Intgers 1-2,"1, English|2, Spanish",Integer,
b3,I,0d. B3 UPDRS-Parkinson's - In-person or not completed?,MODEB3,Always,"Integers 0,1","0, Not completed|1, In-person",Integer,
b3,I,"0d1. If 'B3 UPDRS-Parkinson's' not submitted, specify reason",B3NOT,Conditional,Intgers 94-98,"94, Remote visit|95, Physical problem|96, Cognitive/behavioral problem|97, Other|98, Verbal refusal",Integer,"[modeb3]=""0"""
b3,I,UPDRS is normal,PDNORMAL,No,1 or blank,,Integer,
b3,I,1. Speech,SPEECH,Conditional,"0-4, 8","0, Normal|1, Slight loss of expression, diction and/or volume|2, Monotone, slurred but understandable; moderately impaired.|3, Marked impairment, difficult to understand|4, Unintelligible|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,1a. Speech untestable (specify),SPEECHX,Conditional,text,,String,[speech] = '8'
b3,I,2. Facial expression,FACEXP,Conditional,"0-4, 8","0, Normal|1, Minimal hypomimia, could be normal ""poker face""|2, Slight but definitely abnormal diminution of facial expression|3, Moderate hypomimia; lips parted some of the time|4, Masked or fixed facies with severe or complete loss of facial expression; lips parted 1/4 inches or more|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,2a. Facial expression untestable (specify),FACEXPX,Conditional,text,,String,[facexp] = '8'
b3,I,"3a. Tremor at rest - face, lips, chin",TRESTFAC,Conditional,"0-4, 8","0, Absent|1, Slight and infrequently present|2, Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present|3, Moderate in amplitude and present most of the time|4, Marked in amplitude and present most of the time|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,"3a1. Tremor at rest - face, lips, chin untestable (specify)",TRESTFAX,Conditional,text,,String,[trestfac] = '8'
b3,I,3b. Tremor at rest - right hand,TRESTRHD,Conditional,"0-4, 8","0, Absent|1, Slight and infrequently present|2, Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present|3, Moderate in amplitude and present most of the time|4, Marked in amplitude and present most of the time|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,3b1. Tremor at rest - right hand untestable (specify),TRESTRHX,Conditional,text,,String,[trestrhd] = '8'
b3,I,3c. Tremor at rest - left hand,TRESTLHD,Conditional,"0-4, 8","0, Absent|1, Slight and infrequently present|2, Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present|3, Moderate in amplitude and present most of the time|4, Marked in amplitude and present most of the time|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,3c1. Tremor at rest - left hand untestable (specify),TRESTLHX,Conditional,text,,String,[trestlhd] = '8'
b3,I,3d. Tremor at rest - right foot,TRESTRFT,Conditional,"0-4, 8","0, Absent|1, Slight and infrequently present|2, Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present|3, Moderate in amplitude and present most of the time|4, Marked in amplitude and present most of the time|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,3d1. Tremor at rest - right foot untestable (specify),TRESTRFX,Conditional,text,,String,[trestrft] = '8'
b3,I,3e. Tremor at rest - left foot,TRESTLFT,Conditional,"0-4, 8","0, Absent|1, Slight and infrequently present|2, Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present|3, Moderate in amplitude and present most of the time|4, Marked in amplitude and present most of the time|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,3e1. Tremor at rest - left foot untestable (specify),TRESTLFX,Conditional,text,,String,[trestlft] = '8'
b3,I,4a. Action or postural tremor of hands - right hand,TRACTRHD,Conditional,"0-4, 8","0, Absent|1, Slight; present with action|2, Moderate in amplitude, present with action|3, Moderate in amplitude with posture holding as well as action|4, Marked in amplitude; interferes with feeding|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,4a1. Action or postural tremor of hands - right hand untestable (specify),TRACTRHX,Conditional,text,,String,[tractrhd] = '8'
b3,I,4b. Action or postural tremor of hands - left hand,TRACTLHD,Conditional,"0-4, 8","0, Absent|1, Slight; present with action|2, Moderate in amplitude, present with action|3, Moderate in amplitude with posture holding as well as action|4, Marked in amplitude; interferes with feeding|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,4b1. Action or postural tremor of hands - left hand untestable (specify),TRACTLHX,Conditional,text,,String,[tractlhd] = '8'
b3,I,5a. Rigidity - neck,RIGDNECK,Conditional,"0-4, 8","0, Absent|1, Slight or detectable only when activated by mirror or other movements|2, Mild to moderate|3, Marked, but full range of motion easily achieved|4, Severe; range of motion achieved with difficulty|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,5a1. Rigidity - neck untestable (specify),RIGDNEX,Conditional,text,,String,[rigdneck] = '8'
b3,I,5b. Rigidity - right upper extremity ,RIGDUPRT,Conditional,"0-4, 8","0, Absent|1, Slight or detectable only when activated by mirror or other movements|2, Mild to moderate|3, Marked, but full range of motion easily achieved|4, Severe; range of motion achieved with difficulty|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,5b1. Rigidity - right upper extremity untestable (specify),RIGDUPRX,Conditional,text,,String,[rigduprt] = '8'
b3,I,5c. Rigidity - left upper extremity ,RIGDUPLF,Conditional,"0-4, 8","0, Absent|1, Slight or detectable only when activated by mirror or other movements|2, Mild to moderate|3, Marked, but full range of motion easily achieved|4, Severe; range of motion achieved with difficulty|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,5c1. Rigidity - left upper extremity untestable (specify),RIGDUPLX,Conditional,text,,String,[rigduplf] = '8'
b3,I,5d. Rigidity - right lower extremity,RIGDLORT,Conditional,"0-4, 8","0, Absent|1, Slight or detectable only when activated by mirror or other movements|2, Mild to moderate|3, Marked, but full range of motion easily achieved|4, Severe; range of motion achieved with difficulty|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,5d1. Rigidity - right lower extremity untestable (specify),RIGDLORX,Conditional,text,,String,[rigdlort] = '8'
b3,I,5e. Rigidity - left lower extremity,RIGDLOLF,Conditional,"0-4, 8","0, Absent|1, Slight or detectable only when activated by mirror or other movements|2, Mild to moderate|3, Marked, but full range of motion easily achieved|4, Severe; range of motion achieved with difficulty|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,5e1. Rigidity - left lower extremity untestable (specify),RIGDLOLX,Conditional,text,,String,[rigdlolf] = '8'
b3,I,6a. Finger taps - right hand,TAPSRT,Conditional,"0-4, 8","0, Normal|1, Mild slowing and/or reduction in amplitude|2, Moderately impaired; definite and early fatiguing; may have occasional arrests in movement|3, Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement|4, Can barely perform the task.|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,6a1. Finger taps - right hand untestable (specify),TAPSRTX,Conditional,text,,String,[tapsrt] = '8'
b3,I,6b. Finger taps - left hand,TAPSLF,Conditional,"0-4, 8","0, Normal|1, Mild slowing and/or reduction in amplitude|2, Moderately impaired; definite and early fatiguing; may have occasional arrests in movement|3, Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement|4, Can barely perform the task.|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,6b1. Finger taps - left hand untestable (specify),TAPSLFX,Conditional,text,,String,[tapslf] = '8'
b3,I,7a. Hand movements - right hand,HANDMOVR,Conditional,"0-4, 8","0, Normal|1, Mild slowing and/or reduction in amplitude|2, Moderately impaired; definite and early fatiguing; may have occasional arrests in movement|3, Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement|4, Can barely perform the task.|8, Untestable",Integer,[pdnormal] ne '1'
b3,I,7a1. Hand movements - right hand untestable (specify),HANDMVRX,Conditional,text,,String,[handmovr] = '8'
