"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b3_header,b3_unified_parkinsons_disease_rating_scale_updrs_m,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 25%;""><span style=""font-weight: normal;"">Form date:</span></td> <td style=""width: 25%;""><span style=""font-weight: normal;"">{vstdate_b3:icons}</span></td> <td style=""width: 25%;""><span style=""font-weight: normal;"">Examiner's initials:</span></td> <td style=""width: 25%;""><span style=""font-weight: normal;"">{initials_b3:icons}</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
vstdate_b3,b3_unified_parkinsons_disease_rating_scale_updrs_m,,text,"Form Date:",,,date_mdy,,,,,,,,,,
initials_b3,b3_unified_parkinsons_disease_rating_scale_updrs_m,,text,"Examiner's Initials",,,,,,,,,,,,,
b3_pre,b3_unified_parkinsons_disease_rating_scale_updrs_m,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 149.773px; border-style: hidden;"" border=""1""> <tbody> <tr style=""height: 80.5859px;""> <td style=""width: 20.2263%; text-align: center; border-color: #2c669f; border-style: solid; height: 80.5859px; background-color: #ffffff;""> <p style=""text-align: right;"">{pdnormal:icons} </p> </td> <td style=""width: 79.7737%; border-color: #2c669f; border-style: hidden; height: 80.5859px; background-color: #ffffff;""> <p><em>(Optional) </em>If the clinician completes the UPDRS examination and determines all items are normal, select this button. <span style=""font-weight: normal;"">If this button is selected, all items will default to 0 in the database.</span></p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
b3_instructions,b3_unified_parkinsons_disease_rating_scale_updrs_m,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: left;"">INSTRUCTIONS: <em><span style=""font-weight: normal;"">This form is to be completed by the clinician or other trained health professional. Clinician should record results as observed regardless of whether there are non-parkinsonian contributions or explanations for the findings. This form is intended to 1) determine the degree or parkinsonism on any visit, and 2) track the degree of parkinsonism over time. The UPDRS is not intended to establish the presence or absence of parkinsonism. For additional clarification and scoring instructions, see </span></em>UDS Coding Guidebook <em><span style=""font-weight: normal;"">for </span></em>Form B3<em><span style=""font-weight: normal;"">. For video-recorded examples of administration, see Perlmutter JS. Assessment of Parkinson disease manifestations. Curr Protoc Neurosci. 2009 Oct; Chapter 10: Unit10.1. <a href=""https://pubmed.ncbi.nlm.nih.gov/19802812/"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;"">doi:10.1002/0471142301.ns1001s49</span></a>. Select only <span style=""text-decoration: underline;"">one</span> answer per question.</span></em></p></div>",,,,,,,,,,,,,
b3,b3_unified_parkinsons_disease_rating_scale_updrs_m,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 2571.31px;"" border=""1""> <tbody> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #a8c2d9; text-align: center; height: 73.375px;""> <p>1. Speech</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9;""> <p>{speech:icons}</p> <p>{speechx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>2. Facial Expression</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{facexp:icons}</p> <p>{facexpx:icons}</p> </td> </tr> <tr style=""height: 45.1875px;""> <td style=""width: 100%; height: 45.1875px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">3. Tremor at rest</span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #a8c2d9; text-align: center; height: 73.375px;""> <p>3a. Face, lips, chin</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{trestfac:icons}</p> <p>{trestfax:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>3b. Right hand</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{trestrhd:icons}</p> <p>{trestrhx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #a8c2d9; text-align: center; height: 73.375px;""> <p>3c. Left hand</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{trestlhd:icons}</p> <p>{trestlhx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>3d. Right foot</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{trestrft:icons}</p> <p>{trestrfx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #a8c2d9; text-align: center; height: 73.375px;""> <p>3e. Left foot</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{trestlft:icons}</p> <p>{trestlfx:icons}</p> </td> </tr> <tr style=""height: 45.1875px;""> <td style=""width: 100%; height: 45.1875px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">4. Action or postural tremor of hands</span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>4a. Right hand</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{tractrhd:icons}</p> <p>{tractrhx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #a8c2d9; text-align: center; height: 73.375px;""> <p>4b. Left hand</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{tractlhd:icons}</p> <p>{tractlhx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 100%; height: 73.375px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">5. Rigidity</span></p> <p><span style=""color: #ffffff;""><em><span style=""font-weight: normal;"">(judged on passive movement of major joints with patient relaxed in sitting position; cogwheeling to be ignored)</span></em></span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>5a. Neck</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{rigdneck:icons}</p> <p>{rigdnex:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>5b. Right upper extremity</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{rigduprt:icons}</p> <p>{rigduprx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>5c. Left upper extremity</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{rigduplf:icons}</p> <p>{rigduplx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>5d. Right lower extremity</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{rigdlort:icons}</p> <p>{rigdlorx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>5e. Left lower extremity</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{rigdlolf:icons}</p> <p>{rigdlolx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 100%; height: 73.375px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">6. Finger taps</span></p> <p><span style=""color: #ffffff;""><em><span style=""font-weight: normal;"">(patient taps thumb with index finger in rapid succession)</span></em></span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>6a. Right hand</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{tapsrt:icons}</p> <p>{tapsrtx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>6b. Left hand</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{tapslf:icons}</p> <p>{tapslfx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 100%; height: 73.375px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">7. Hand movements</span></p> <p><span style=""color: #ffffff;""><em><span style=""font-weight: normal;"">(patient opens and closes hands in rapid succession)</span></em></span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>7a. Right hand</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{handmovr:icons}</p> <p>{handmvrx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>7b. Left hand</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{handmovl:icons}</p> <p>{handmvlx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 100%; height: 73.375px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">8. Rapid alternating movements of hands</span></p> <p><span style=""color: #ffffff;""><em><span style=""font-weight: normal;"">(pronation-supination movements of hands, vertically and horizontally, with as large an amplitude as possible, both hands simultaneously)</span></em></span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>8a. Right hand</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{handaltr:icons}</p> <p>{handatrx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>8b. Left hand</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{handaltl:icons}</p> <p>{handatlx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 100%; height: 73.375px; background-color: #185293; text-align: center;"" colspan=""2""> <p><span style=""color: #ffffff;"">9. Leg agility</span></p> <p><span style=""color: #ffffff;""><em><span style=""font-weight: normal;"">(patient taps heel on the ground in rapid succession, picking up entire leg; amplitude should be at least 3 inches)</span></em></span></p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>9a. Right leg</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{legrt:icons}</p> <p>{legrtx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>9b. Left leg</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{leglf:icons}</p> <p>{leglfx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>10. Arising from chair <em><span style=""font-weight: normal;"">(patient attempts to rise from a straight-backed chair, with arms folded across chest)</span></em></p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{arising:icons}</p> <p>{arisingx:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 73.375px; text-align: center;""> <p>11. Posture</p> </td> <td style=""text-align: center; width: 77.762%; height: 73.375px; background-color: #f3f6fa;""> <p>{posture:icons}</p> <p>{posturex:icons}</p> </td> </tr> <tr style=""height: 73.375px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 73.375px;""> <p>12. Gait</p> </td> <td style=""width: 77.762%; height: 73.375px; background-color: #a8c2d9; text-align: center;""> <p>{gait:icons}</p> <p>{gaitx:icons}</p> </td> </tr> <tr style=""height: 99.75px;""> <td style=""width: 22.238%; background-color: #f3f6fa; height: 99.75px; text-align: center;""> <p>13. Posture stability <em><span style=""font-weight: normal;"">(response to sudden, strong posterior displacement produced by pull on shoulders while patient erect with eyes open and feet slightly apart; patient is prepared)</span></em></p> </td> <td style=""text-align: center; width: 77.762%; height: 99.75px; background-color: #f3f6fa;""> <p>{posstab:icons}</p> <p>{posstabx:icons}</p> </td> </tr> <tr style=""height: 81.5625px;""> <td style=""text-align: center; width: 22.238%; background-color: #a8c2d9; height: 81.5625px;""> <p>14. Body bradykinesia and hypokinesia <em><span style=""font-weight: normal;"">(combining slowness, hesitancy, decreased arm swing, small amplitude, and poverty of movement in general)</span></em></p> </td> <td style=""width: 77.762%; height: 81.5625px; background-color: #a8c2d9; text-align: center;""> <p>{bradykin:icons}</p> <p>{bradykix:icons}</p> </td> </tr> <tr> <td style=""width: 22.238%; background-color: #f3f6fa; text-align: center;""> <p>15. Total UPDRS Score <span style=""font-weight: normal;""><em>(If one or more items are check ""8=Untestable"", enter 888)</em></span></p> </td> <td style=""text-align: center; width: 77.762%; background-color: #f3f6fa;""> <p>{totalupdrs}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[pdnormal] <> '1'",,,,,,
pdnormal,b3_unified_parkinsons_disease_rating_scale_updrs_m,,radio,"UPDRS is normal","1,",,,,,,,,,,,,
speech,b3_unified_parkinsons_disease_rating_scale_updrs_m,,radio,"1. Speech","0, Normal | 1, Slight loss of expression, diction and/or volume | 2, Monotone, slurred but understandable; moderately impaired. | 3, Marked impairment, difficult to understand | 4, Unintelligible | 8, Untestable",,,,,,"[pdnormal] <> '1'",,,,,,
speechx,b3_unified_parkinsons_disease_rating_scale_updrs_m,,text,"1a. Speech untestable (specify)",,,,,,,"[speech] = '8'",,,,,," @PLACEHOLDER='Specify'"
facexp,b3_unified_parkinsons_disease_rating_scale_updrs_m,,radio,"2. Facial expression","0, Normal | 1, Minimal hypomimia, could be normal ""poker face"" | 2, Slight but definitely abnormal diminution of facial expression | 3, Moderate hypomimia; lips parted some of the time | 4, Masked or fixed facies with severe or complete loss of facial expression; lips parted 1/4 inches or more | 8, Untestable",,,,,,"[pdnormal] <> '1'",,,,,,
