error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b4-ivp-m-001,001,Error,b4,I,FRMDATEB4,Missingness,FRMDATEB4 must be present,FRMDATEB4 cannot be blank,Q0a. FRMDATEB4 (B4 form date) cannot be blank ,If FRMDATEB4 = blank,,,Yes,No,
b4-ivp-c-002,002,Error,b4,I,FRMDATEB4,Conformity,FRMDATEB4 conforms,FRMDATEB4 must be a date,Q0a. FRMDATEB4 (B4 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB4 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b4-ivp-m-003,003,Error,b4,I,LANGB4,Missingness,LANGB4 must be present,LANGB4 cannot be blank,Q0c. LANGB4 (Language of B4 administration) cannot be blank,If LANGB4 = blank,,,Yes,Yes,
b4-ivp-c-004,004,Error,b4,I,LANGB4,Conformity,LANGB4 conforms,LANGB4 must be an integer between 1-2,Q0c. LANGB4 (Language of B4 administration) must be an integer between 1-2,If LANGB4 < 1 or LANGB4 > 2,,,Yes,Yes,
b4-ivp-m-005,005,Error,b4,I,MODEB4,Missingness,MODEB4 must be present,MODEB4 cannot be blank,Q0d. MODEB4 (B4 in person or remote) cannot be blank,If MODEB4 = blank,,,Yes,No,
b4-ivp-c-006,006,Error,b4,I,MODEB4,Conformity,MODEB4 conforms,MODEB4 must be an integer between 1-2,Q0d. MODEB4 (B4 in person or remote) must be an integer between 1-2,If MODEB4 < 1 or MODEB4 > 2,,,Yes,No,
b4-ivp-m-007,007,Error,b4,I,RMREASB4,Missingness,RMREASB4 conditionally present,"If MODEB4 = 2, RMREASB4 cannot be blank",If Q0d. MODEB4 (B4 in person or remote) = 2 (Remote) then Q0d1. RMREASB4 (Reason for remote B4) cannot be blank,If MODEB4 = 2 and RMREASB4 = blank,,,Yes,No,
b4-ivp-m-008,008,Error,b4,I,RMREASB4,Missingness,RMREASB4 conditionally blank,"If MODEB4 = 1, RMREASB4 must be blank",If Q0d. MODEB4 (B4 in person or remote) = 1 (In-person) then Q0d1. RMREASB4 (Reason for remote B4) must be blank,If MODEB4 = 1 and RMREASB4 not = blank,,,Yes,No,
b4-ivp-c-009,009,Error,b4,I,RMREASB4,Conformity,RMREASB4 conforms,RMREASB4 must be an integer between 1-5,Q0d1. RMREASB4 (Reason for remote B4) must be an integer between 1 and 5,If RMREASB4 < 1 or RMREASB4 > 5,,,Yes,No,
b4-ivp-m-010,010,Error,b4,I,RMMODEB4,Missingness,RMMODEB4 conditionally present,"If MODEB4 = 2, RMMODEB4 cannot be blank",If Q0d. MODEB4 (B4 in person or remote) = 2 (Remote) then Q0d1a. RMMODEB4 (Mode of remote B4 administration) cannot be blank,If MODEB4 = 2 and RMMODEB4 = blank,,,Yes,No,
b4-ivp-m-011,011,Error,b4,I,RMMODEB4,Missingness,RMMODEB4 conditionally blank,"If MODEB4 = 1, RMMODEB4 must be blank",If Q0d. MODEB4 (B4 in person or remote) = 1 (In-person) then Q0d1a. RMMODEB4 (Mode of remote B4 administration) must be blank,If MODEB4 = 1 and RMMODEB4 not = blank,,,Yes,No,
b4-ivp-c-012,012,Error,b4,I,RMMODEB4,Conformity,RMMODEB4 conforms,RMMODEB4 must be an integer between 1-2,Q0d1a. RMMODEB4 (Mode of remote B4 administration) must be an integer between 1-2,If RMMODEB4 < 1 or RMMODEB4 > 2,,,Yes,No,
b4-ivp-m-013,013,Error,b4,I,MEMORY,Missingness,MEMORY must be present,MEMORY cannot be blank,Q1. MEMORY cannot be blank,IF MEMORY =blank,,,Yes,Yes,
