CHECKLIST,Form ,Packet,Global Staging- clinical dementia rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B4,IVP,Note for UDSv4: Code for DSM intake for 9=DSM except for #7 =99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?",PLAUSIBILITY: Is this concept or a concept related to it assessed again at any point within any other UDSv4 IVP forms (including witihin the same form)?,,,,,,,,,,,,,,,PLAUSIBILITY: Was this concept assessed in any previous versions of the UDS? ,,,"PLAUSIBILITY: Is this concept assessing something that can plausibly change from one visit to another (e.g., diabetes at visit 1 and no diabetes at visit 2; severe impairment at visit 1 and no impairment at visit 2, etc.)?",How many errors/alerts should there be for this variable?,Major variable changes for RDD-UDS update?,RDD edit notes,Short version of question for english test output (for data core),RSG notes:,,,,,,,,,,,,,,,,,
,,,,A1,A2,A3,A4,A5/D2,B1,B4,B5,B6,B7,B8,B9,C2,D1a,D1b,UDSv1,UDSv2,UDSv3,,,,,,,,,,,,,,,,,,,,,,,
1. Memory,MEMORY,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,TRUE,TRUE,TRUE,Yes,2,ADD 9 option? ,Note whether we should add 9s to the RDD,,,,,,,,,,,,,,,,,,,
2. Orientation,ORIENT,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,TRUE,TRUE,TRUE,Yes,2,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
3. Judgment and problem solving,JUDGMENT,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,TRUE,TRUE,TRUE,Yes,2,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
4. Community Affairs,COMMUN,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
5. Home and hobbies,HOMEHOBB,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
6. Personal Care,PERSCARE,Always," 0-3, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
7. Standard CDR Sum of Boxes,CDRSUM,Always,"0-18, 99",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,TRUE,TRUE,TRUE,Yes,,ADD 99 option? ,,,,,,,,,,,,,,,,,,,,
8. Standard Global CDR,CDRGLOB,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,TRUE,TRUE,TRUE,Yes,,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
"9. Behavior, comportment and personality",COMPORT,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FALSE,TRUE,TRUE,Yes,,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
10. Language,CDRLANG,Always," 0-3, 0.5, 9",N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,FALSE,TRUE,TRUE,Yes,,ADD 9 option? ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
