Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
B5,I,NPIQINF,NPIQINF must be present,NPIQINF cannot be blank,#REF!,IF NPIQINF=blank ,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NPIQINF,NPIQINF conforms,NPIQINF must be an integer between 1 and 3,Q1. NPIQINF (NPI Co-participant) must be an integer between 1 and 3 ,IF NPIQINF <1 or NPIQINF >3,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NPIQINFX,NPIQINFX conditionally present ,If NPIQINF is 3 then NPIQINFX must be present.,If Q1. NPIQINF (NPI Co-participant) is 3 (Other) then Q1a. (Specify co-participant) cannot be blank. ,IF NPIQINF = 3 and NPIQINFX = blank,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,NPIQINFX,NPIQINFX continionally blank,If NPIQINFX is not 3 then NPIQINFX must be blank.,If Q1. NPIQINF (NPI Co-participant) is not 3 (Other) Q1a. NPIQINFX (specify co-participant) must be blank,IF NPIQINF ? 3 and NPIQINFX ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEL,DEL must be present,DEL cannot be blank,Q2a. DEL (Delusions) cannot be blank,IF DEL = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DEL,DEL conforms,DEL must be an integer between 0-1 or 9 (Unknown),Q2a. DEL (delusions) must be an integer between 0 and 1 or 9.,If DEL <0 or (DEL > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DELSEV,DELSEV conditionally present,If DEL is 1 then DELSEV must be present.,If Q2a. DEL (delusions) is 1 (Yes) then Q2b. DELSEV (delusion severity) cannot be blank,IF DEL = 1 and DELSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DELSEV,DELSEV continionally blank,If DEL is 0 or 9 then DELSEV must be blank.,If Q2a. DEL (delusions) is 0 (No) or 9 (Unknown) then Q2b. DELSEV (delusion severity) cannot be blank,IF DEL = 0 or 9  and DELSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,DELSEV,DELSEV conforms,DELSEV must be an integer between 1-3 or 9 (Unknown),Q2b. DELSEV (delusion severity) must  be an integer between 1 and 3 or 9. ,If DELSEV < 1 or (DELSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,HALL,HALL must be present,HALL cannot be blank,Q3a. HALL (hallucinations) cannot be blank,IF HALL = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,HALL,HALL conforms,HALL must be an integer between 0-1 or 9 (Unknown) ,Q3a. HALL (hallucinations) must be an integer between 0 and 1 or 9.,If HALL <0 or (HALL > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,HALLSEV,HALLSEV conditionally present,If HALL is 1 then HALLSEV must be present.,If Q3a. HALL (hallucinations) is 1 (Yes) then Q3b. HALLSEV (hallucination severity) cannot be blank,IF HALL = 1 and HALLSEV = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,HALLSEV,HALLSEV continionally blank,If HALL is 0 or 9 then HALLSEV must be blank.,If Q3a. HALL (delusions) is 0 (No) or 9 (Unknown) then Q3b. HALLSEV (delusion severity) cannot be blank,IF HALL = 0 or 9  and HALLSEV ? blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,HALLSEV,HALLSEV conforms,HALLSEV must be an integer between 1-3 or 9,Q3b. HALLSEV (hallucination severity) must  be an integer between 1 and 3 or 9. ,If HALLSEV < 1 or (HALLSEV > 3  ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,AGIT,AGIT must be present,AGIT cannot be blank,Q4a. AGIT (agitation/aggression) cannot be blank,IF AGIT = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
B5,I,AGIT,AGIT conforms,AGIT must be an integer between 0-1 or 9 ,Q4a. AGIT (agitation/aggression) must be an integer between 0 and 1 or 9.,If AGIT <0 or (AGIT > 1 and ? 9),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
