"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b5_instructions,b5_neuropsychiatric_inventory_questionnaire_npiq,,descriptive,"<div class=""rich-text-field-label""><p><em>INSTRUCTIONS<span style=""font-weight: normal;"">: This form is to be completed by the clinician or other trained health professional based on co-participant interview, as described by the training video. (This is not to be completed by the participant as a paper-and-pencil self-report.) For information on NPI-Q Interviewer Certification, see <a href=""https://files.alz.washington.edu/documentation/uds4-ivp-b5.pdf"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Initial Visit Packet, Form B5</a>. </span></em></p> <p><em><span style=""font-weight: normal;"">Check only <span style=""text-decoration: underline;"">one</span> box for each category of response.</span></em></p> <p> </p> <table style=""border-collapse: collapse; width: 100%; height: 213.8px; border-color: #3598DB; border-style: solid;"" border=""2""> <tbody> <tr style=""height: 213.8px;""> <td style=""width: 100%; height: 213.8px;""> <div class=""page"" title=""Page 1""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-weight: normal;"">Please answer the following questions based on <span style=""text-decoration: underline;"">changes</span> that have occurred since the patient first began to experience memory (i.e., cognitive) problems. </span>Select 1=Yes <span style=""text-decoration: underline;"">only</span> if the symptom(s) has been present <span style=""text-decoration: underline;"">in the last month</span>. Otherwise, select 0=No.<span style=""font-weight: normal;""> <em>(NOTE: for the UDS, please administer the NPI-Q to all participants.)</em></span></p> <p><span style=""font-weight: normal;"">For each item marked </span>1=Yes<span style=""font-weight: normal;"">, rate the SEVERITY of the symptom (how it affects the patient):<br /><br /></span><span style=""font-weight: normal;"">1=</span>Mild<span style=""font-weight: normal;""> (noticeable, but not a significant change)</span></p> <p><span style=""font-weight: normal;"">2=</span>Moderate<span style=""font-weight: normal;""> (significant, but not a dramatic change)</span></p> <p><span style=""font-weight: normal;"">3=</span>Severe<span style=""font-weight: normal;""> (very marked or prominent; a dramatic change)<br /><br /></span></p> </div> </div> </div> </div> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
npiqinf,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,"NPI CO-PARTICIPANT:","1, Spouse|2, Child|3, Other {npiqinfx}",,,,,,,,,1,,,
npiqinfx,b5_neuropsychiatric_inventory_questionnaire_npiq,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Other:</span></p></div>",,,,,,,"[npiqinf] = '3'",,,,,," @PLACEHOLDER='SPECIFY'"
del,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,"<div class=""rich-text-field-label""><p>Delusions -- <span style=""font-weight: normal;"">Does the patient have false beliefs, such as thinking that others are stealing from him/her or planning to harm him/her in some way?</span></p></div>","1, Yes | 0, No | 9, Unknown",,,,,,,,,2a.,,,
delsev,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,Severity,"1, Mild|2, Moderate|3, Severe|9, Unknown",,,,,,"[del] = '1'",,,2b.,,,
hall,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,"<div class=""rich-text-field-label""><p>Hallucinations <span style=""font-weight: normal;"">-- Does the patient have hallucinations such as false visions or voices? Does he or she seem to hear or see things that are not present?</span></p></div>","1, Yes|0, No|9, Unknown",,,,,,,,,3a.,,,
hallsev,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,Severity,"1, Mild|2, Moderate|3, Severe|9, Unknown",,,,,,"[hall] = '1'",,,3b.,,,
agit,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,"<div class=""rich-text-field-label""><p>Agitation/aggression<span style=""font-weight: normal;""> -- Is the patient resistive to help from others at times, or hard to handle?</span></p></div>","1, Yes|0, No|9, Unknown",,,,,,,,,4a.,,,
agitsev,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,Severity,"1, Mild|2, Moderate|3, Severe|9, Unknown",,,,,,"[agit] = '1'",,,4b.,,,
depd,b5_neuropsychiatric_inventory_questionnaire_npiq,,radio,"<div class=""rich-text-field-label""><p>Depression/dysphoria <span style=""font-weight: normal;"">-- Does the patient seem sad or say that he/she is depressed?</span></p></div>","1, Yes|0, No|9, Unknown",,,,,,,,,5a.,,,
