form_name,packet,question,var_name,missingness,conformity,resonse_labels,data_type,branching_logic
b5,I,0a. B5 Behavioral Assessment: NPI-Q - Form date,FRMDATEB5,Condtional,mm/dd/yyyy,,Date,
b5,I,0b. B5 Behavioral Assessment: NPI-Q - Examiner's initials,INITIALSB5,No,text,,String,
b5,I,0c. B5 Behavioral Assessment: NPI-Q - Language,LANGB5,Condtional,Integers 1-2,"1, English|2, Spanish",Integer,
b5,I,"0d. B5 Behavioral Assessment: NPI-Q - In-person, remote, or not completed?",MODEB5,Always,Integers 1-3,"1, In-person|2, Remote|3, Not completed",Integer,
b5,I,"0d1. If 'B5 Behavioral Assessment: NPI-Q' form was completed remotely, specify reason",RMREASB5,Condtional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modeb5]='2'
b5,I,0d1a. What modality was used to collect this remote 'B5 Behavioral Assessment: NPI-Q' form?,RMMODEB5,Condtional,Integers 1-2,"1, Telephone|2, Video",Integer,[modeb5]='2'
b5,I,"0d2. If 'B5 Behavioral Assessment: NPI-Q' not submitted, specify reason",B5NOT,Condtional,Integers 95-98,"95, Physical problem|96, Cognitive/behavioral problem|97, Other|98, Verbal refusal",Integer,[modeb5]='3'
b5,I,1. NPI Co-participant,NPIQINF,Always,Integers 1-3,"1, Spouse|2, Child|3, Other {npiqinfx}",Integer,
b5,I,1a. Co-participant - Other (specify),NPIQINFX,Conditional (e.g. skip pattern),text,,String,[npiqinf] = '3'
b5,I,"2a. Delusions — Does the patient have false beliefs, such as thinking that others are stealing from him/her or planning to harm him/her in some way?",DEL,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,2b. Delusions - Severity,DELSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[del]='1'
b5,I,3a. Hallucinations — Does the patient have hallucinations such as false visions or voices? Does he or she seem to hear or see things that are not present?,HALL,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,3b. Hallucinations - Severity,HALLSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[hall] = '1'
b5,I,"4a. Agitation/aggression — Is the patient resistive to help from others at times, or hard to handle?",AGIT,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,4b. Agitation/aggression - Severity,AGITSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[agit] = '1'
b5,I,5a. Depression/dysphoria — Does the patient seem sad or say that he/she is depressed?,DEPD,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,5b. Depression/dysphoria - Severity,DEPDSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[depd] = '1'
b5,I,"6a. Anxiety — Does the patient become upset when separated from you? Does he/she have any other signs of nervousness such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?",ANX,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,6b. Anxiety - Severity,ANXSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[anx] = '1'
b5,I,7a. Elation/euphoria — Does the patient appear to feel too good or act excessively happy?,ELAT,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,7b. Elation/euphoria - Severity,ELATSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[elat] = '1'
b5,I,8a. Apathy/indifference — Does the patient seem less interested in his/her usual activities or in the activities and plans of others?,APA,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,8b. Apathy/ indifference - Severity,APASEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[apa] = '1'
b5,I,"9a. Disinhibition — Does the patient seem to act impulsively, for example, talking to strangers as if he/she knows them, or saying things that may hurt people’s feelings?",DISN,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,9b. Dishinibition - Severity,DISNSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[disn] = '1'
b5,I,10a. Irritability/lability — Is the patient impatient and cranky? Does he/she have difficulty coping with delays or waiting for planned activities?,IRR,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,10b. Irritatbility/lability - Severity,IRRSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[irr] = '1'
b5,I,"11a. Motor disturbance — Does the patient engage in repetitive activities such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?",MOT,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,11b. Motor disturbance - Severity,MOTSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[mot] = '1'
b5,I,"12a. Nighttime behaviors — Does the patient awaken you during the night, rise too early in the morning, or take excessive naps during the day?",NITE,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,12b. Nighttime behaviors - Severity,NITESEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[nite] = '1'
b5,I,"13a. Appetite/eating — Has the patient lost or gained weight, or had a change in the type of food he/she likes?",APP,Always,"Integers 0-1, 9","1, Yes|0, No|9, Unknown",Integer,
b5,I,13b. Appetite/eating - Severity,APPSEV,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Mild|2, Moderate|3, Severe|9, Unknown",Integer,[app] = '1'
