ERROR LIST,Form ,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B5,IVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conformity/missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
INRELTO,INRELTO must be present,INRELTO cannot be blank,Q1. INRELTO (relationship to participant) cannot be blank,IF INRELTO=blank ,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
INRELTO,INRELTO conforms,INRELTO must be an integer between 1 and 6,Q1. INRELTO (relationship to participant) must be an integer between 1 and 6,IF INRELTO <1 or INRELTO >6,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
INKNOWN,INKNOWN must be present,INKNOWN  cannot be blank,Q2. INKNOWN (length knowing participant) cannot be blank,IF INKNOWN=blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
INKNOWN,INKNOWN conforms,"INKNOWN must be between 0-120, or =999 (Unknown)","Q2. INKNOWN (length knowing participant) must be between 0-120, or =999 (Unknown)",IF INKNOWN <0 or (INKNOWN>120 and ≠ 999),n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
INLIVWTH,INLIVWTH must be present,INLIVWTH cannot be blank,Q3. INLIVWTH (lives with participant?) cannot be blank,IF INLIVWTH=blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
INLIVWTH,INLIVWTH conforms,INLIVWTH must be an integer between 0 and 1,Q3. INLIVWTH (lives with participant?) must be an integer between 0 and 1,IF INRELTO <0 or INRELTO >1,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
INCNTMOD,INCNTMOD must be present,Q4. INCNTMOD (primary contact mode w/participant) cannot be blank,Q4. INCNTMOD (primary contact mode w/participant) cannot be blank,IF INCNTMOD=blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
