Form ,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Questions for domain experts
B6,I,NOGDS,NOGDS conforms,NOGDS must be blank or 1,QG1. NOGDS (Check if GDS not attempted) must be blank or 1,If NOGDS ne (1 or blank),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,SATIS,SATIS must be present,SATIS cannot be blank,Q1. SATIS (Satisfied with life?) cannot be blank,If SATIS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,SATIS,SATIS conforms,"SATIS must be an integer between 0-1, or =9 (Did not answer)","Q1. SATIS (Satisfied with life?) must be an integer between 0-1, or =9 (Did not answer)",If SATIS <0 or (SATIS > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,DROPACT,DROPACT must be present,DROPACT cannot be blank,Q2. DROPACT (Dropped interests/activities?) cannot be blank,If DROPACT = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,DROPACT,DROPACT conforms,"DROPACT must be an integer between 0-1, or =9 (Did not answer)","Q2. DROPACT (Dropped interests/activities?) must be an integer between 0-1, or =9 (Did not answer)",If DROPACT <0 or (DROPACT > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,EMPTY,EMPTY must be present,EMPTY cannot be blank,Q3. EMPTY (Is your life empty?) cannot be blank,If EMPTY = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,EMPTY,EMPTY conforms,"EMPTY must be an integer between 0-1, or =9 (Did not answer)","Q3. EMPTY (If your life empty?) must be an integer between 0-1, or =9 (Did not answer)",If EMPTY <0 or (EMPTY > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,BORED,BORED must be present,BORED cannot be blank,Q4. BORED (Often bored?) cannot be blank,If BORED = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,BORED,BORED conforms,"BORED must be an integer between 0-1, or =9 (Did not answer)","Q4. BORED (Often bored?) must be an integer between 0-1, or =9 (Did not answer)",If BORED <0 or (BORED > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,SPIRITS,SPIRITS must be present,SPIRITS cannot be blank,Q5. SPIRITS (Good spirits?) cannot be blank,If SPIRITS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,SPIRITS,SPIRITS conforms,"SPIRITS must be an integer between 0-1, or =9 (Did not answer)","Q5. SPIRITS (Good spirits?) must be an integer between 0-1, or =9 (Did not answer)",If SPIRITS <0 or (SPIRITS > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,AFRAID,AFRAID must be present,AFRAID cannot be blank,Q6. AFRAID (Afraid something bad will happen?) cannot be blank,If AFRAID = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,AFRAID,AFRAID conforms,"AFRAID must be an integer between 0-1, or =9 (Did not answer)","Q6. AFRAID (Afraid something bad will happen?) must be an integer between 0-1, or =9 (Did not answer)",If AFRAID <0 or (AFRAID > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,HAPPY,HAPPY must be present,HAPPY cannot be blank,Q7. HAPPY (Happy most of the time?) cannot be blank,If HAPPY = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,HAPPY,HAPPY conforms,"HAPPY must be an integer between 0-1, or =9 (Did not answer)","Q7. HAPPY (Happy most of the time?) must be an integer between 0-1, or =9 (Did not answer)",If HAPPY <0 or (HAPPY > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,HELPLESS,HELPLESS must be present,HELPLESS cannot be blank,Q8. HELPLESS (Often feels helpless?) cannot be blank,If HELPLESS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,HELPLESS,HELPLESS conforms,"HELPLESS must be an integer between 0-1, or =9 (Did not answer)","Q8. HELPLESS (Often feels helpless?) must be an integer between 0-1, or =9 (Did not answer)",If HELPLESS <0 or (HELPLESS > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,STAYHOME,STAYHOME must be present,STAYHOME cannot be blank,Q9. STAYHOME (Prefers staying home?) cannot be blank,If STAYHOME = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,STAYHOME,STAYHOME conforms,"STAYHOME must be an integer between 0-1, or =9 (Did not answer)","Q9. STAYHOME (Prefers staying home?) must be an integer between 0-1, or =9 (Did not answer)",If STAYHOME <0 or (STAYHOME > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,MEMPROB,MEMPROB must be present,MEMPROB cannot be blank,Q10. MEMPROB (More problems with memory than most?) cannot be blank,If MEMPROB = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,MEMPROB,MEMPROB conforms,"MEMPROB must be an integer between 0-1, or =9 (Did not answer)","Q10. MEMPROB (More problems with memory than most?) must be an integer between 0-1, or =9 (Did not answer)",If MEMPROB <0 or (MEMPROB > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,WONDRFUL,WONDRFUL must be present,WONDRFUL cannot be blank,Q11. WONDRFUL (Wonderful to be alive?) cannot be blank,If WONDRFUL = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,WONDRFUL,WONDRFUL conforms,"WONDRFUL must be an integer between 0-1, or =9 (Unknown)","Q11. WONDRFUL (Wonderful to be alive?) must be an integer between 0-1, or =9 (Did not answer)",If WONDRFUL <0 or (WONDRFUL > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,WRTHLESS,WRTHLESS must be present,WRTHLESS cannot be blank,Q12. WRTHLESS (Feel worthless now?) cannot be blank,If WRTHLESS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,WRTHLESS,WRTHLESS conforms,"WRTHLESS must be an integer between 0-1, or =9 (Did not answer)","Q12. WRTHLESS (Feel worthless now?) must be an integer between 0-1, or =9 (Did not answer)",If WRTHLESS <0 or (WRTHLESS > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,ENERGY,ENERGY must be present,ENERGY cannot be blank,Q13. ENERGY (Full of energy?) cannot be blank,If ENERGY = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,ENERGY,ENERGY conforms,"ENERGY must be an integer between 0-1, or =9 (Did not answer)","Q13. ENERGY (Full of energy?) must be an integer between 0-1, or =9 (Did not answer)",If ENERGY <0 or (ENERGY > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,HOPELESS,HOPELESS must be present,HOPELESS cannot be blank,Q14. HOPELESS (Situation is hopeless?) cannot be blank,If HOPELESS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,HOPELESS,HOPELESS conforms,"HOPELESS must be an integer between 0-1, or =9 (Did not answer)","Q14. HOPELESS (Situation is hopeless?) must be an integer between 0-1, or =9 (Did not answer)",If HOPELESS <0 or (HOPELESS > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,BETTER,BETTER must be present,BETTER cannot be blank,Q15. BETTER (Most others are better off?) cannot be blank,If BETTER = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,BETTER,BETTER conforms,"BETTER must be an integer between 0-1, or =9 (Did not answer)","Q15. BETTER (Most others are better off?) must be an integer between 0-1, or =9 (Did not answer)",If BETTER <0 or (BETTER > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,GDS,GDS must be present,GDS cannot be blank,Q16. GDS (Total GDS Score) cannot be blank,If GDS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,GDS,GDS conforms,"GDS must be an integer between 0-15, or =88 (Did not complete)","Q16. GDS (Total GDS Score) must be an integer between 0-15, or =88 (Did not complete)",If GDS <0 or (NACCGDS > 15 and ne 88),n/a,n/a,Error,Yes,Conformity,Yes,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plausibility checks,,,,,,,,,,,,,
Form ,Packet,Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B6,I,GDS,GDS total score cannot be valid if GDS was not attempted,IF NOGDS=1 then GDS must =88,IF QG1. NOGDS (Check if GDS not attempted) =1 then Q16. GDS (Total GDS score) must =88,IF NOGDS=1 and GDS ne 88,B6,"GDS, NOGDS",Error,,Plausibility,Yes,
B6,I,GDS,GDS total score cannot be valid if GDS was not attempted,IF NOGDS=1 then there cannot be >=12 questions with valid scores (0 or 1),IF NOGDS=1 then there cannot be >=12 questions with valid scores,"IF NOGDS=1 and >=3 of the following variables are ne 9 (SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER)",B6,"NOGDS, SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER",Error,,Plausibility,Yes,
