CHECKLIST,Form ,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B6,IVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?",PLAUSIBILITY: Is this concept or a concept related to it assessed again at any point within any other UDSv4 IVP forms (including witihin the same form)?,,,,,,,,,,,,,,,PLAUSIBILITY: Was this concept assessed in any previous versions of the UDS? ,,,"PLAUSIBILITY: Is this concept assessing something that can plausibly change from one visit to another (e.g., diabetes at visit 1 and no diabetes at visit 2; severe impairment at visit 1 and no impairment at visit 2, etc.)?",How many errors/alerts should there be for this variable?,Short version of question for english test output (for data core),RSG notes:,,,,,,,,,,,,,,,,,,
,,,,A1,A2,A3,A4,A5/D2,B1,B4,B5,B6,B7,B8,B9,C2,D1a,D1b,UDSv1,UDSv2,UDSv3,,,,,,,,,,,,,,,,,,,,,,
"G1. Check this box and enter “88” below for the Total GDS Score if and only if the subject:  1.) does not attempt the GDS, or 2.) answers fewer than 12 questions.",NOGDS,Conditional,"1 or blank",N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q0. NOGDS (GDS not completed),,,,,,,,,,,,,,,,,,,
1. Are you basically satisfied with your life?,SATIS,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q1. SATIS (Satisfied with life?),,,,,,,,,,,,,,,,,,,
2. Have you dropped many of your activities and interests?,DROPACT,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q2. DROPACT (Dropped interests/activities?),,,,,,,,,,,,,,,,,,,
3. Do you feel that your life is empty?,EMPTY,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q3. EMPTY (Is your life empty?),,,,,,,,,,,,,,,,,,,
4. Do you often get bored?,BORED,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q4. BORED (Often bored?),,,,,,,,,,,,,,,,,,,
5. Are you in good spirits most of the time?,SPIRITS,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q5. SPIRITS (Good spirits?),,,,,,,,,,,,,,,,,,,
6. Are you afraid that something bad is going to happen to you?,AFRAID,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q6. AFRAID (Afraid something bad will happen?),,,,,,,,,,,,,,,,,,,
7. Do you feel happy most of the time?,HAPPY,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q7. HAPPY (Happy most of the time?),,,,,,,,,,,,,,,,,,,
8. Do you often feel helpless?,HELPLESS,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q8. HELPLESS (Often feels helpless?),,,,,,,,,,,,,,,,,,,
"9. Do you prefer to stay at home, rather than going out and doing new things?",STAYHOME,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q9. STAYHOME (Prefers staying home?),,,,,,,,,,,,,,,,,,,
10. Do you feel you have more problems with memory than most?,MEMPROB,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q10. MEMPROB (More problems with memory than most?),,,,,,,,,,,,,,,,,,,
11. Do you think it is wonderful to be alive now?,WONDRFUL,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q11. WONDRFUL (Wonderful to be alive?),,,,,,,,,,,,,,,,,,,
12. Do you feel pretty worthless the way you are now?,WRTHLESS,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q12. WRTHLESS (Feel worthless now?),,,,,,,,,,,,,,,,,,,
13. Do you feel full of energy?,ENERGY,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q13. ENERGY (Full of energy?),,,,,,,,,,,,,,,,,,,
14. Do you feel that your situation is hopeless?,HOPELESS,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q14. HOPELESS (Situation is hopeless?),,,,,,,,,,,,,,,,,,,
15. Do you think that most people are better off than you are?,BETTER,Always,"0-1, 9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q15. Better (Most others are better off?),,,,,,,,,,,,,,,,,,,
16. Sum all checked answers for a Total GDS Score ,GDS,Always,"0-15, 88",N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,TRUE,TRUE,TRUE,Yes,2,Q16. NACCGDS (Total GDS score),,,,,,,,,,,,,,,,,,,
