ERROR LIST,Form ,Packet,,,,,,,,,,,,
,,,,,,,,,,,,,,
Conformity/missingness checks,,,,,,,,,,,,,,
Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts,,,
NOGDS,NOGDS conforms,NOGDS must be between 0-1 or -4,Q0. NOGDS (Check if GDS not attempted) must be an integer between 0 and 1 or equal -4.,If NOGDS < 0 or NOGDS > 1 and ≠ -4,n/a,n/a,Error,Yes,Conformity,Yes,,,,
SATIS,SATIS must be present,SATIS cannot be blank,Q1. SATIS (Satisfied with life?) cannot be blank,If SATIS = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,
SATIS,SATIS conforms,"SATIS must be between 0-1 or 9, -4",Q1. SATIS (Satisfied with life?) must be an integer between 0 and 1 or equal 9 or -4,If SATIS <0 or SATIS > 1 and ≠ 9 or -4,n/a,n/a,Error,Yes,Conformity,Yes,,,,
DROPACT,DROPACT must be present,DROPACT cannot be blank,Q2. DROPACT (Dropped interests/activities?) cannot be blank,If DROPACT = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,
DROPACT,DROPACT conforms,"DROPACT must be between 0-1 or 9, -4",Q2. DROPACT (Dropped interests/activities?) must be an integer between 0 and 1 or equal 9 or -4,If DROPACT <0 or DROPACT > 1 and ≠ 9 or -4,n/a,n/a,Error,Yes,Conformity,Yes,,,,
EMPTY,EMPTY must be present,EMPTY cannot be blank,Q3. EMPTY (Is your life empty?) cannot be blank,If EMPTY = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,
EMPTY,EMPTY conforms,"EMPTY must be between 0-1 or 9, -4",Q3. EMPTY (If your life empty?) must be an integer between 0 and 1 or equal 9 or -4,If EMPTY <0 or EMPTY > 1 and ≠ 9 or -4,n/a,n/a,Error,Yes,Conformity,Yes,,,,
BORED,BORED must be present,BORED cannot be blank,Q4. BORED (Often bored?) cannot be blank,If BORED = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,
BORED,BORED conforms,"BORED must be between 0-1 or 9, -4",Q4. BORED (Often bored?) must be an integer between 0 and 1 or equal 9 or -4,If BORED <0 or BORED > 1 and ≠ 9 or -4,n/a,n/a,Error,Yes,Conformity,Yes,,,,
SPIRITS,SPIRITS must be present,SPIRITS cannot be blank,Q5. SPIRITS (Good spirits?) cannot be blank,If SPIRITS = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,
SPIRITS,SPIRITS conforms,"SPIRITS must be between 0-1 or 9, -4",Q5. SPIRITS (Good spirits?) must be an integer between 0 and 1 or equal 9 or -4,If SPIRITS <0 or SPIRITS > 1 and ≠ 9 or -4,n/a,n/a,Error,Yes,Conformity,Yes,,,,
