Variable,Error_alert test name,Short test Description (English),Full test Description_English,Test Description Logic,Forms compared in test,Variables compared in test,Error or alert,Can be done in REDCap,Type of test,Were these variables_concepts previous versions of UDS,Questions for domain experts
BILLS,BILLS must be present,BILLS cannot be blank,"Q1. BILLS (difficulty with checks, bills, checkbooks) cannot be blank",IF BILLS=blank,n/a,n/a,Error,Yes,Missingness,Yes,
BILLS,BILLS conforms,"BILLS must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q1. BILLS (difficulty with checks, bills, checkbooks) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  BILLS<0 or (BILLS>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
TAXES,TAXES must be present,TAXES cannot be blank,"Q2. TAXES (difficulty with taxes, business, and other papers) cannot be blank",IF TAXES=blank,n/a,n/a,Error,Yes,Missingness,Yes,
TAXES,TAXES conforms,"TAXES must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q2. TAXES (difficulty with taxes, business, and other papers) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  TAXES<0 or (TAXES>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
SHOPPING,SHOPPING must be present,SHOPPING cannot be blank,"Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.) cannot be blank",IF SHOPPING=blank,n/a,n/a,Error,Yes,Missingness,Yes,
SHOPPING,SHOPPING conforms,"SHOPPING must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  SHOPPING<0 or (SHOPPING>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
GAMES,GAMES must be present,GAMES cannot be blank,Q4. GAMES (difficulty with playing skilled games or hobbies) cannot be blank,IF GAMES=blank,n/a,n/a,Error,Yes,Missingness,Yes,
GAMES,GAMES conforms,"GAMES must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q4. GAMES (difficulty with playing skilled games or hobbies) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF GAMES<0 or (GAMES>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
STOVE,STOVE must be present,STOVE cannot be blank,Q5. STOVE (difficulty with using stove or kitchen appliances) cannot be blank,IF STOVE=blank,n/a,n/a,Error,Yes,Missingness,Yes,
STOVE,STOVE conforms,"STOVE must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q5. STOVE (difficulty with using stove or kitchen appliances) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  STOVE<0 or (STOVE>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
MEALPREP,MEALPREP must be present,MEALPREP cannot be blank,Q6. MEALPREP (difficulty withpreparing meals) cannot be blank,IF MEALPREP=blank,n/a,n/a,Error,Yes,Missingness,Yes,
MEALPREP,MEALPREP conforms,"MEALPREP must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q6. MEALPREP (difficulty withpreparing meals) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF MEALPREP<0 or (MEALPREP>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
EVENTS,EVENTS must be present,EVENTS cannot be blank,Q7. EVENTS (difficulty with current events)cannot be blank,IF EVENTS=blank,n/a,n/a,Error,Yes,Missingness,Yes,
EVENTS,EVENTS conforms,"EVENTS must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)","Q7. EVENTS (difficulty with current events) must be an integer between 0 and 3, or =8 (NA) or =9 (Unkown)",IF  EVENTS<0 or (EVENTS>3 and ?8 or 9),n/a,n/a,Error,No,Conformity,Yes,
