error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b7-fvp-p-1001,1001,Alert,b7,F,MEALPREP,Plausibility,STOVE compared to MEALPREP,"IF STOVE=0 (normal), MEALPREP should not =3 (dependent)","Q5. STOVE (difficulty with using stove or kitchen appliances) =0 (normal), but Q6. MEALPREP (difficulty withpreparing meals) =3 (dependent)",IF STOVE=0 and MEALPREP=3,,"STOVE, MEALPREP",,,
b7-fvp-p-1002,1002,Alert,b7,F,MEALPREP,Plausibility,STOVE compared to MEALPREP,"IF STOVE=3 (dependent), MEALPREP should not =0 (normal)","Q5. STOVE (difficulty with using stove or kitchen appliances) =3 (dependent), but Q6. MEALPREP (difficulty withpreparing meals) =0 (normal)",IF STOVE=3 and MEALPREP=0,,"STOVE, MEALPREP",,,
b7-fvp-p-1003,1003,Alert,b7,F,BILLS,Plausibility,BILLS compared to previous visit ,"IF BILLS[prev_vis]=3, then BILLS should not equal 0","IF Q1. BILLS (difficulty with checks, bills, checkbooks)=3 (dependent) at the previous visit, then Q1. BILLS (difficulty with checks, bills, checkbooks) should not equal 0 (Normal)",IF BILLS[prev_vis]=3 and BILLS=0,"b7, b7[prev_vis]","BILLS, BILLS[prev_vis]",,,
b7-fvp-p-1004,1004,Alert,b7,F,TAXES,Plausibility,TAXES compared to previous visit ,"IF TAXES[prev_vis]=3, then TAXES should not equal 0","IF Q2. TAXES (difficulty with taxes, business, and other papers)=3 (dependent) at the previous visit, then Q2. TAXES (difficulty with taxes, business, and other papers) should not equal 0 (Normal)",IF TAXES[prev_vis]=3 and TAXES=0,"b7, b7[prev_vis]","TAXES, TAXES[prev_vis]",,,
b7-fvp-p-1005,1005,Alert,b7,F,SHOPPING,Plausibility,SHOPPING compared to previous visit ,"IF SHOPPING[prev_vis]=3, then SHOPPING should not equal 0","IF Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.)=3 (dependent) at the previous visit, then Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.) should not equal 0 (Normal)",IF SHOPPING[prev_vis]=3 and SHOPPING=0,"b7, b7[prev_vis]","SHOPPING, SHOPPING[prev_vis]",,,
b7-fvp-p-1006,1006,Alert,b7,F,GAMES,Plausibility,GAMES compared to previous visit ,"IF GAMES[prev_vis]=3, then GAMES should not equal 0","IF Q4. GAMES (difficulty with playing skilled games or hobbies)=3 (dependent) at the previous visit, then Q4. GAMES (difficulty with playing skilled games or hobbies) should not equal 0 (Normal)",IF GAMES[prev_vis]=3 and GAMES=0,"b7, b7[prev_vis]","GAMES, GAMES[prev_vis]",,,
b7-fvp-p-1007,1007,Alert,b7,F,STOVE,Plausibility,STOVE compared to previous visit ,"IF STOVE[prev_vis]=3, then STOVE should not equal 0","IF Q5. STOVE (difficulty with using stove or kitchen appliances)=3 (dependent) at the previous visit, then Q5. STOVE (difficulty with using stove or kitchen appliances) should not equal 0 (Normal)",IF STOVE[prev_vis]=3 and STOVE=0,"b7, b7[prev_vis]","STOVE, STOVE[prev_vis]",,,
b7-fvp-p-1008,1008,Alert,b7,F,MEALPREP,Plausibility,MEALPREP compared to previous visit ,"IF MEALPREP[prev_vis]=3, then MEALPREP should not equal 0","IF Q6. MEALPREP (difficulty withpreparing meals)=3 (dependent) at the previous visit, then Q6. MEALPREP (difficulty withpreparing meals) should not equal 0 (Normal)",IF MEALPREP[prev_vis]=3 and MEALPREP=0,"b7, b7[prev_vis]","MEALPREP, MEALPREP[prev_vis]",,,
b7-fvp-p-1009,1009,Alert,b7,F,EVENTS,Plausibility,EVENTS compared to previous visit ,"IF EVENTS[prev_vis]=3, then EVENTS should not equal 0","IF Q7. EVENTS (difficulty with current events)=3 (dependent) at the previous visit, then Q7. EVENTS (difficulty with current events) should not equal 0 (Normal)",IF EVENTS[prev_vis]=3 and EVENTS=0,"b7, b7[prev_vis]","EVENTS, EVENTS[prev_vis]",,,
b7-fvp-p-1010,1010,Alert,b7,F,PAYATTN,Plausibility,PAYATTN compared to previous visit ,"IF PAYATTN[prev_vis]=3, then PAYATTN should not equal 0","IF Q8. PAYATTN (difficulty with paying attention to TV, books, magazines)=3 (dependent) at the previous visit, then Q8. PAYATTN (difficulty with paying attention to TV, books, magazines) should not equal 0 (Normal)",IF PAYATTN[prev_vis]=3 and PAYATTN=0,"b7, b7[prev_vis]","PAYATTN, PAYATTN[prev_vis]",,,
b7-fvp-p-1011,1011,Alert,b7,F,REMDATES,Plausibility,REMDATES compared to previous visit ,"IF REMDATES[prev_vis]=3, then REMDATES should not equal 0","IF Q9. REMDATES (difficulty with remembering appointments, holidays, medications)=3 (dependent) at the previous visit, then Q9. REMDATES (difficulty with remembering appointments, holidays, medications) should not equal 0 (Normal)",IF REMDATES[prev_vis]=3 and REMDATES=0,"b7, b7[prev_vis]","REMDATES, REMDATES[prev_vis]",,,
b7-fvp-p-1012,1012,Alert,b7,F,TRAVEL,Plausibility,TRAVEL compared to previous visit ,"IF TRAVEL[prev_vis]=3, then TRAVEL should not equal 0","IF Q10. TRAVEL (difficulty with travling, driving, public transport)=3 (dependent) at the previous visit, then Q10. TRAVEL (difficulty with travling, driving, public transport) should not equal 0 (Normal)",IF TRAVEL[prev_vis]=3 and TRAVEL=0,"b7, b7[prev_vis]","TRAVEL, TRAVEL[prev_vis]",,,
