error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b7-ivp-m-001,001,Error,b7,I,FRMDATEB7,Missingness,FRMDATEB7 must be present,FRMDATEB7 cannot be blank,Q0a. FRMDATEB7 (B7 form date) cannot be blank ,If FRMDATEB7 = blank,,,Yes,No,
b7-ivp-c-002,002,Error,b7,I,FRMDATEB7,Conformity,FRMDATEB7 conforms,FRMDATEB7 must be a date,Q0a. FRMDATEB7 (B7 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB7 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b7-ivp-m-003,003,Error,b7,I,LANGB7,Missingness,LANGB7 must be present,LANGB7 cannot be blank,Q0c. LANGB7 (Language of B7 administration) cannot be blank,If LANGB7 = blank,,,Yes,Yes,
b7-ivp-c-004,004,Error,b7,I,LANGB7,Conformity,LANGB7 conforms,LANGB7 must be an integer between 1-2,Q0c. LANGB7 (Language of B7 administration) must be an integer between 1-2,If LANGB7 < 1 or LANGB7 > 2,,,Yes,Yes,
b7-ivp-m-005,005,Error,b7,I,MODEB7,Missingness,MODEB7 must be present,MODEB7 cannot be blank,"Q0d. MODEB7 (B7 in person, remote or not completed) cannot be blank",If MODEB7 = blank,,,Yes,No,
b7-ivp-c-006,006,Error,b7,I,MODEB7,Conformity,MODEB7 conforms,MODEB7 must be an integer between 1-3,"Q0d. MODEB7 (B7 in person, remote or not completed) must be an integer between 1-3",If MODEB7 < 1 or MODEB7 > 3,,,Yes,No,
b7-ivp-m-007,007,Error,b7,I,RMREASB7,Missingness,RMREASB7 conditionally present,"If MODEB7 = 2, RMREASB7 cannot be blank","If Q0d. MODEB7 (B7 in person, remote or not completed) = 2 (Remote) then Q0d1. RMREASB7 (Reason for remote B7) cannot be blank",If MODEB7 = 2 and RMREASB7 = blank,,,Yes,No,
b7-ivp-m-008,008,Error,b7,I,RMREASB7,Missingness,RMREASB7 conditionally blank,"If MODEB7 = 1, RMREASB7 must be blank",If Q0d. MODEB7 (B7 in person or remote) = 1 (In-person) then Q0d1. RMREASB7 (Reason for remote B7) must be blank,If MODEB7 = 1 and RMREASB7 not = blank,,,Yes,No,
b7-ivp-c-009,009,Error,b7,I,RMREASB7,Conformity,RMREASB7 conforms,RMREASB7 must be an integer between 1-5,Q0d1. RMREASB7 (Reason for remote B7) must be an integer between 1 and 5,If RMREASB7 < 1 or RMREASB7 > 5,,,Yes,No,
b7-ivp-m-010,010,Error,b7,I,RMMODEB7,Missingness,RMMODEB7 conditionally present,"If MODEB7 = 2, RMMODEB7 cannot be blank","If Q0d. MODEB7 (B7 in person, remote or not completed) = 2 (Remote) then Q0d1a. RMMODEB7 (Mode of remote B7 administration) cannot be blank",If MODEB7 = 2 and RMMODEB7 = blank,,,Yes,No,
b7-ivp-m-011,011,Error,b7,I,RMMODEB7,Missingness,RMMODEB7 conditionally blank,"If MODEB7 = 1, RMMODEB7 must be blank","If Q0d. MODEB7 (B7 in person, remote or not completed) = 1 (In-person) then Q0d1a. RMMODEB7 (Mode of remote B7 administration) must be blank",If MODEB7 = 1 and RMMODEB7 not = blank,,,Yes,No,
b7-ivp-c-012,012,Error,b7,I,RMMODEB7,Conformity,RMMODEB7 conforms,RMMODEB7 must be an integer between 1-2,Q0d1a. RMMODEB7 (Mode of remote B7 administration) must be an integer between 1-2,If RMMODEB7 < 1 or RMMODEB7 > 2,,,Yes,No,
