form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,carry_forward
b8,F,0a. B8 Evaluation Form: Neurological Examination Findings - Form date,FRMDATEB8,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,no
b8,F,0b. B8 Evaluation Form: Neurological Examination Findings - Examiner's initials,INITIALSB8,No,text,,String,,no
b8,F,0c. B8 Evaluation Form: Neurological Examination Findings - Language,LANGB8,Always,Integers 1-2,"1, English|2, Spanish",Integer,,no
b8,F,0d. B8 Evaluation Form: Neurological Examination Findings - In-person or remote?,MODEB8,Always,Integers 1-2,"1, In-person|2, Remote",Integer,,no
b8,F,"0d1. If 'B8 Evaluation Form: Neurological Examination Findings' form was completed remotely, specify reason",RMREASB8,Condtional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modeb8]='2',no
b8,F,0d1a. What modality was used to collect this remote 'B8 Evaluation Form: Neurological Examination Findings' form?,RMMODEB8,Condtional,Integer 2,"2, Video",Integer,[modeb8]='2',no
b8,F,1. Which of the following was completed on this participant? ,NEUREXAM,Always,Integers 0-3,"0, No neurologic examination|1, Comprehensive neurologic examination as suggested in the UDS Coding Guidebook|2, Focused or partial neurologic examination performed in-person|3, Focused or partial neurologic examination performed via video",Integer,,no
b8,F,2. Were there abnormal exam findings?,NORMNREXAM,Conditional (e.g. skip pattern),Integers 0-1,"0, No abnormal findings|1, Yes",Integer,[neurexam]='1' or [neurexam]='2' or [neurexam]='3',no
b8,F,3. Parkinsonian Signs,PARKSIGN,Conditional (e.g. skip pattern),"Integers 0,1,8","0, No abnormal signs in this section are present|1, Yes (<b>IF YES</b>, consider completing additional measures as described in Section 2D)|8, Not assessed",Integer,[normnrexam]='1',yes
b8,F,3a. Slowing of fine motor movements,SLOWINGFM,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3b. Limb tremor at rest,TREMREST,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3c. Limb tremor - postural,TREMPOST,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3d. Limb tremor - kinetic,TREMKINE,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3e. Limb rigidity - arm,RIGIDARM,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3f. Limb rigidity - leg,RIGIDLEG,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3g. Limb dystonia - arm,DYSTARM,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3h. Limb dystonia - leg,DYSTLEG,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3i. Chorea,CHOREA,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3j. Decrement in amplitude of fine motor movements*,AMPMOTOR,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3k. Axial rigidity,AXIALRIG,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3l. Postural instability,POSTINST,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3m. Facial masking,MASKING,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,3n. Stooped posture,STOOPED,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[parksign]='1',yes
b8,F,4. Cortical/Pyramidal/Other Signs,OTHERSIGN,Conditional (e.g. skip pattern),"Integers 0,1,8","0, No abnormal signs in this section are present|1, Yes  (<b>IF YES</b>, consider completing additional measures as described in Section 2D)|2, Not assessed",Integer,[normnrexam]='1',yes
b8,F,4a. Limb apraxia,LIMBAPRAX,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4b. Face or limb findings in UMN distribution*,UMNDIST,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4c. Face or limb findings in an LMN distribution*,LMNDIST,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4d. Visual field cut,VFIELDCUT,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4e. Limb ataxia,LIMBATAX,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4f. Myoclonus,MYOCLON,Conditional (e.g. skip pattern),"Integers 0-3, 8","0, Absent|1, Focal or Unilateral|2, Bilateral & Largely Symmetric|3, Bilateral & Largely Asymmetric|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4g. Unilateral Somatosensory Loss (localized to the brain; disregard sensory changes localized to the spinal cord or peripheral nerves),UNISOMATO,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4h. Aphasia (disregard complaints of mild dysnomia if not viewed as reflecting a clinically significant change) ,APHASIA,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4i. Alien limb phenomenon,ALIENLIMB,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4j. Hemispatial neglect,HSPATNEG,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4k. Prosopagnosia,PSPOAGNO,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4l. Simultanagnosia,SMTAGNO,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4m. Optic ataxia,OPTICATAX,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4n. Apraxia of gaze,APRAXGAZE,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4o. Vertical +/- horizontal gaze palsy**,VHGAZEPAL,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4p. Dysarthria*,DYSARTH,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,4q. Apraxia of speech,APRAXSP,Conditional (e.g. skip pattern),"Integers 0,1,8","0, Absent|1, Present|8, Not Assessed",Integer,[othersign]='1',yes
b8,F,5. Gait,GAITABN,Conditional (e.g. skip pattern),"Integers 0,1,8","0, No abnormal signs in this section are present|1, Yes (<b>IF YES</b>, consider completing additional measures as described in Section 2D)|8, Not assessed",Integer,[normnrexam]='1',yes
b8,F,5a. Finding,GAITFIND,Conditional (e.g. skip pattern),Integers 1-7,"1, Hemiparetic gait (spastic)|2, Foot drop gait (lower motor neuron)|3, Ataxic gait|4, Apractic/magnetic gait|5, Hypokinetic/parkinsonian gait|6, Antalgic gait|7, Other ",Integer,[gaitabn]='1',yes
b8,F,5a1. Other gait (Specify),GAITOTHRX,Conditional (e.g. skip pattern),text,,String,[gaitfind] = '7' and [gaitabn] = '1',yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
