Form ,Version,Gate question variable,Variable,TT code
b8,4,NORMNREXAM,PARKSIGN,If NORMNREXAM=0 then PARKSIGN should =0
b8,4,"NORMNREXAM, PARKSIGN",SLOWINGFM,If NORMNREXAM=0 or PARKSIGN=0 then SLOWINGFM should =0; if PARKSIGN=8 then SLOWINGFM should =8
b8,4,"NORMNREXAM, PARKSIGN",TREMREST,If NORMNREXAM=0 or PARKSIGN=0 then TREMREST should =0; if PARKSIGN=8 then TREMREST should =8
b8,4,"NORMNREXAM, PARKSIGN",TREMPOST,If NORMNREXAM=0 or PARKSIGN=0 then TREMPOST should =0; if PARKSIGN=8 then TREMPOST should =8
b8,4,"NORMNREXAM, PARKSIGN",TREMKINE,If NORMNREXAM=0 or PARKSIGN=0 then TREMKINE should =0; if PARKSIGN=8 then TREMKINE should =8
b8,4,"NORMNREXAM, PARKSIGN",RIGIDARM,If NORMNREXAM=0 or PARKSIGN=0 then RIGIDARM should =0; if PARKSIGN=8 then RIGIDARM should =8
b8,4,"NORMNREXAM, PARKSIGN",RIGIDLEG,If NORMNREXAM=0 or PARKSIGN=0 then RIGIDLEG should =0; if PARKSIGN=8 then RIGIDLEG should =8
b8,4,"NORMNREXAM, PARKSIGN",DYSTARM,If NORMNREXAM=0 or PARKSIGN=0 then DYSTARM should =0; if PARKSIGN=8 then DYSTARM should =8
b8,4,"NORMNREXAM, PARKSIGN",DYSTLEG,If NORMNREXAM=0 or PARKSIGN=0 then DYSTLEG should =0; if PARKSIGN=8 then DYSTLEG should =8
b8,4,"NORMNREXAM, PARKSIGN",CHOREA,If NORMNREXAM=0 or PARKSIGN=0 then CHOREA should =0; if PARKSIGN=8 then CHOREA should =8
b8,4,"NORMNREXAM, PARKSIGN",AMPMOTOR,If NORMNREXAM=0 or PARKSIGN=0 then AMPMOTOR should =0; if PARKSIGN=8 then AMPMOTOR should =8
b8,4,"NORMNREXAM, PARKSIGN",AXIALRIG,If NORMNREXAM=0 or PARKSIGN=0 then AXIALRIG should =0; if PARKSIGN=8 then AXIALRIG should =8
b8,4,"NORMNREXAM, PARKSIGN",POSTINST,If NORMNREXAM=0 or PARKSIGN=0 then POSTINST should =0; if PARKSIGN=8 then POSTINST should =8
b8,4,"NORMNREXAM, PARKSIGN",MASKING,If NORMNREXAM=0 or PARKSIGN=0 then MASKING should =0; if PARKSIGN=8 then MASKING should =8
b8,4,"NORMNREXAM, PARKSIGN",STOOPED,If NORMNREXAM=0 or PARKSIGN=0 then STOOPED should =0; if PARKSIGN=8 then STOOPED should =8
b8,4,NORMNREXAM,OTHERSIGN,If NORMNREXAM=0 then OTHERSIGN should =0
b8,4,"NORMNREXAM, OTHERSIGN",LIMBAPRAX,If NORMNREXAM=0 or OTHERSIGN=0 then LIMBAPRAX should =0; if OTHERSIGN=8 then LIMBAPRAX should =8
b8,4,"NORMNREXAM, OTHERSIGN",UMNDIST,If NORMNREXAM=0 or OTHERSIGN=0 then UMNDIST should =0; if OTHERSIGN=8 then UMNDIST should =8
b8,4,"NORMNREXAM, OTHERSIGN",LMNDIST,If NORMNREXAM=0 or OTHERSIGN=0 then LMNDIST should =0; if OTHERSIGN=8 then LMNDIST should =8
b8,4,"NORMNREXAM, OTHERSIGN",VFIELDCUT,If NORMNREXAM=0 or OTHERSIGN=0 then VFIELDCUT should =0; if OTHERSIGN=8 then VFIELDCUT should =8
b8,4,"NORMNREXAM, OTHERSIGN",LIMBATAX,If NORMNREXAM=0 or OTHERSIGN=0 then LIMBATAX should =0; if OTHERSIGN=8 then LIMBATAX should =8
b8,4,"NORMNREXAM, OTHERSIGN",MYOCLON,If NORMNREXAM=0 or OTHERSIGN=0 then MYOCLON should =0; if OTHERSIGN=8 then MYOCLON should =8
b8,4,"NORMNREXAM, OTHERSIGN",UNISOMATO,If NORMNREXAM=0 or OTHERSIGN=0 then UNISOMATO should =0; if OTHERSIGN=8 then UNISOMATO should =8
b8,4,"NORMNREXAM, OTHERSIGN",APHASIA,If NORMNREXAM=0 or OTHERSIGN=0 then APHASIA should =0; if OTHERSIGN=8 then APHASIA should =8
b8,4,"NORMNREXAM, OTHERSIGN",ALIENLIMB,If NORMNREXAM=0 or OTHERSIGN=0 then ALIENLIMB should =0; if OTHERSIGN=8 then ALIENLIMB should =8
b8,4,"NORMNREXAM, OTHERSIGN",HSPATNEG,If NORMNREXAM=0 or OTHERSIGN=0 then HSPATNEG should =0; if OTHERSIGN=8 then HSPATNEG should =8
b8,4,"NORMNREXAM, OTHERSIGN",PSPOAGNO,If NORMNREXAM=0 or OTHERSIGN=0 then PSPOAGNO should =0; if OTHERSIGN=8 then PSPOAGNO should =8
b8,4,"NORMNREXAM, OTHERSIGN",SMTAGNO,If NORMNREXAM=0 or OTHERSIGN=0 then SMTAGNO should =0; if OTHERSIGN=8 then SMTAGNO should =8
b8,4,"NORMNREXAM, OTHERSIGN",OPTICATAX,If NORMNREXAM=0 or OTHERSIGN=0 then OPTICATAX should =0; if OTHERSIGN=8 then OPTICATAX should =8
b8,4,"NORMNREXAM, OTHERSIGN",APRAXGAZE,If NORMNREXAM=0 or OTHERSIGN=0 then APRAXGAZE should =0; if OTHERSIGN=8 then APRAXGAZE should =8
b8,4,"NORMNREXAM, OTHERSIGN",VHGAZEPAL,If NORMNREXAM=0 or OTHERSIGN=0 then VHGAZEPAL should =0; if OTHERSIGN=8 then VHGAZEPAL should =8
