Conformity/missingness checks,,,,,,,,,,,,,
Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B8,I,NEUREXAM,NEUREXAM must be present,NEUREXAM cannot be blank,Q1. NEUREXAM (which of the following was completed?) cannot be blank,If NEUREXAM = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,NEUREXAM,NEUREXAM conforms,NEUREXAM must be an integer between 0 and 3,Q1. NEUREXAM (which of the following was completed?) must be an integer between 0 and 3,If NEUREXAM < 0 or NEUREXAM > 3,n/a,n/a,Error,Yes,Conformity,No,
B8,I,NORMNREXAM,NORMNREXAM conditionally present,If NEUREXAM = 1-3 then NORMNREXAM cannot be blank,If Q1. NEUREXAM (which of the following was completed?) = 1-3 then  Q2. NORMNREXAM (abnormal exam findings?) cannot be blank,If NEUREXAM = 1-3 and NORMNREXAM = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B8,I,NORMNREXAM,NORMNREXAM conditionally blank,If NEUREXAM = 0 then NORMNREXAM must be blank,If Q1. NEUREXAM (which of the following was completed?) = 0 then  Q2. NORMNREXAM (abnormal exam findings?) must be blank,If NEUREXAM = 0 and NORMNREXAM ? blank,n/a,n/a,Error,Yes,Missingness,Yes,
B8,I,NORMNREXAM,NORMNREXAM must conform,NORMNREXAM must be an integer between 0 and 1,Q2. NORMNREXAM (abnormal exam findings?) must be an integer between 0 and 1,If NORMNREXAM < 0 or NORMNREXAM < 1,n/a,n/a,Error,Yes,Conformity,Yes,
B8,I,PARKSIGN,PARKSIGN conditionally present,If NORMNREXAM = 1 then PARKSIGN cannot be blank,If Q2. NORMNREXAM (abnormal exam findings?) = 1 then  Q3. PARKSIGN (Parkinsonian signs) cannot be blank,If NORMNREXAM = 1 and PARKSIGN = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B8,I,PARKSIGN,PARKSIGN conditionally blank,If NEUREXAM = 0 or NORMNREXAM = 0 then PARKSIGN must be blank,If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 then  Q3. PARKSIGN (Parkinsonian signs) must be blank,If (NEUREXAM = 0 or NORMNREXAM = 0) and PARKSIGN ? blank,n/a,n/a,Error,Yes,Missingness,Yes,
B8,I,PARKSIGN,PARKSIGN must conform,PARKSIGN must be between 0-1 or = 8.,Q3. PARKSIGN (Parkinsonian signs) must be an integer between 0 and 1 or equal 8,If PARKSIGN < 0 or PARKSIGN > 1 and ? 8,n/a,n/a,Error,Yes,Conformity,Yes,
B8,I,SLOWINGFM,SLOWINGFM conditionally present,"If PARKSIGN = 1, then SLOWINGFM cannot be blank",If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3a. SLOWINGFM (slowing of fine motor movements) cannot be blank,If PARKSIGN = 1 and SLOWINGFM = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,SLOWINGFM,SLOWINGFM conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then SLOWINGFM must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or  Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3a. SLOWINGFM (Slowing of fine motor movements) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and SLOWINGFM ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,SLOWINGFM,SLOWINGFM must conform,SLOWINGFM must be between 0-3 or = 8,Q3a. SLOWINGFM (slowing of fine motor movements) must be an integer between 0 and 3 or equal 8,If SLOWINGFM < 0 or SLOWINGFM >3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,TREMREST,TREMREST conditionally present,"If PARKSIGN = 1, then TREMREST cannot be blank",If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3b. TREMREST (limb tremor at rest) cannot be blank,If PARKSIGN = 1 and TREMREST = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,TREMREST,TREMREST conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then TREMREST must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3b. TREMREST (limb tremor at rest) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and TREMREST ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,TREMREST,TREMREST must conform,TREMREST must be between 0-3 or = 8,Q3b. TREMREST (limb tremor at rest) must be an integer between 0 and 3 or equal 8,If TREMREST < 0 or TREMREST > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,TREMPOST,TREMPOST conditionally present,If PARKSIGN = 1 then TREMPOST cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3c. TREMPOST (limb tremor postural) cannot be blank,If PARKSIGN = 1 and TREMPOST = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,TREMPOST,TREMPOST conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then TREMPOST must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3c. TREMPOST (limb tremor postural) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and TREMPOST ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,TREMPOST,TREMPOST must conform,TREMPOST must be between 0-3 or = 8,Q3c. TREMPOST (limb tremor postural) must be an integer between 0 and 3 or equal 8,If TREMPOST < 0 or TREMPOST > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,TREMKINE,TREMKINE conditionally present,If PARKSIGN = 1 then TREMKINE cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3d. TREMKINE (limb tremor kinetic) cannot be blank,If PARKSIGN = 1 and TREMKINE = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,TREMKINE,TREMKINE conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then TREMKINE must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3d. TREMKINE (limb tremor kinetic) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and TREMKINE ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,TREMKINE,TREMKINE must conform,TREMKINE must be between 0-3  or = 8 ,Q3d. TREMKINE (limb tremor kinetic) must be an integer between 0 and 3 or equal 8,If TREMKINE < 0 or TREMKINE > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,RIGIDARM,RIGIDARM conditionally present,If PARKSIGN = 1 then RIGIDARM cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3e. RIGIDARM (limb rigidity arm) cannot be blank,If PARKSIGN = 1 and RIGIDARM = blank ,n/a,n/a,Error,Yes,Missingness,No,
B8,I,RIGIDARM,RIGIDARM conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then RIGIDARM must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3e. RIGIDARM (limb rigidity arm) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and RIGIDARM ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,RIGIDARM,RIGIDARM must conform,RIGIDARM must be between 0-3 or = 8,Q3e. RIGIDARM (limb rigidity arm) must be an integer btween 0 and 3 or equal 8,If RIGIDARM < 0 or RIGIDARM > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
B8,I,RIGIDLEG,RIGIDLEG conditionally present,If PARKSIGN =1 then RIGIDLEG cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3f. RIGIDLEG (limb rigidity leg) cannot be blank,If PARKSIGN = 1 and RIGIDLEG = blank,n/a,n/a,Error,Yes,Missingness,No,
B8,I,RIGIDLEG,RIGIDLEG conditionally blank,"If NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN = 0,8 then RIGIDLEG must be blank",If Q1. NEUREXAM (which of the following was completed?) = 0 or Q2. NORMNREXAM (abnormal exam findings?) = 0 or Q3. PARKSIGN (Parkinsonian signs) = 0 or 8 then Q3f. RIGIDLEG (limb rigidity leg) must be blank,"If (NEUREXAM = 0 or NORMNREXAM = 0 or PARKSIGN in (0,8)) and RIGIDLEG ? blank",n/a,n/a,Error,Yes,Missingness,No,
B8,I,RIGIDLEG,RIGIDLEG must conform,RIGIDLEG must be between 0-3 or = 8 ,Q3f. RIGIDLEG (limb rigidity leg) must be an integer between 0 and 3 or equal 8,If RIGIDLEG < 0 or RIGIDLEG > 3 and ? 8,n/a,n/a,Error,Yes,Conformity,No,
