Form ,Packet,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?"
B8,I,1. Which of the following was completed on this participant? ,NEUREXAM,Always,0-3
B8,I,2. Were there abnormal exam findings?,NORMNREXAM,Conditional (e.g. skip pattern),0-1
B8,I,3. Parkinsonian Signs,PARKSIGN,Conditional (e.g. skip pattern),"0,1,8"
B8,I,3a. Slowing of fine motor movements,SLOWINGFM,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3b. Limb tremor at rest,TREMREST,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3c. Limb tremor - postural,TREMPOST,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3d. Limb tremor - kinetic,TREMKINE,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3e. Limb rigidity - arm,RIGIDARM,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3f. Limb rigidity - leg,RIGIDLEG,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3g. Limb dystonia - arm,DYSTARM,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3h. Limb dystonia - leg,DYSTLEG,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3i. Chorea,CHOREA,Conditional (e.g. skip pattern),"0-3, 8"
B8,I,3j. Decrement in amplitude of fine motor movements,AMPMOTOR,Conditional (e.g. skip pattern),"0,1,8"
B8,I,3k. Axial rigidity,AXIALRIG,Conditional (e.g. skip pattern),"0,1,8"
B8,I,3l. Postural instability,POSTINST,Conditional (e.g. skip pattern),"0,1,8"
B8,I,3m. Facial masking,MASKING,Conditional (e.g. skip pattern),"0,1,8"
B8,I,3n. Stooped posture,STOOPED,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4. Cortical/Pyramidal/Other Signs,OTHERSIGN,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4a. Limb apraxia,LIMBAPRAX,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4b. Face or limb findings in UMN distribution,UMNDIST,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4c. Face or limb findings in an LMN distribution,LMNDIST,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4d. Visual field cut,VFIELDCUT,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4e. Limb ataxia,LIMBATAX,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4f. Myoclonus,MYOCLON,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4g. Unilateral Somatosensory Loss (localized to the brain; disregard sensory changes localized to the spinal cord or peripheral nerves),UNISOMATO,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4h. Aphasia (disregard complaints of mild dysnomia if not viewed as reflecting a clinically significant change) ,APHASIA,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4i. Alien limb phenomenon,ALIENLIMB,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4j. Hemispatial neglect,HSPATNEG,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4k. Prosopagnosia,PSPOAGNO,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4l. Simultanagnosia,SMTAGNO,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4m. Optic ataxia,OPTICATAX,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4n. Apraxia of gaze,APRAXGAZE,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4o. Vertical +/- horizontal gaze palsy,VHGAZEPAL,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4p. Dysarthria*,DYSARTH,Conditional (e.g. skip pattern),"0,1,8"
B8,I,4q. Apraxia of speech,APRAXSP,Conditional (e.g. skip pattern),"0,1,8"
B8,I,5. Gait,GAITABN,Conditional (e.g. skip pattern),"0,1,8"
B8,I,5a. Finding,GAITFIND,Conditional (e.g. skip pattern),1-7
B8,I,5a1. Other gait (Specify),GAITOTHRX,Conditional (e.g. skip pattern),text
