error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b9-ivp-p-1001,1001,Alert,b9,I,DECCOGIN,Plausibility,INMEMWORS aligns with DECCOGIN,"If INMEMWORS=1,2 then DECCOGIN should equal 1","If A2 Q6. INMEMWORS (participant's memory is worse?)=1,2 (Yes) then B9 Q4. DECCOGIN (Co-participant-reported cognitive decline) should equal 1 (Yes)","IF INMEMWORS=1,2 and DECCOGIN not =1","a2, b9","INMEMWORS, DECCOGIN",No,No,
b9-ivp-p-1002,1002,Alert,b9,I,DECCOGIN,Plausibility,INMEMTROUB aligns with DECCOGIN,"If INMEMTROUB=4,5 then DECCOGIN should equal 1","If A2 Q7. INMEMTROUB (participant trouble remembering?)=4,5 (Often or very often) then B9 Q4. DECCOGIN (Co-participant-reported cognitive decline) should equal 1 (Yes)","IF INMEMTROUB=4,5 and DECCOGIN not =1","a2, b9","INMEMTROUB, DECCOGIN",No,No,
b9-ivp-p-1003,1003,Alert,b9,I,DECCOGIN,Plausibility,INMEMTEN aligns with DECCOGIN,"If INMEMTEN=4,5 then DECCOGIN should equal 1","If A2 Q8. INMEMTEN (participant's memory compared to 10 years ago?)=4,5 (Much worse or a little worse) then B9 Q4. DECCOGIN (Co-participant-reported cognitive decline) should equal 1 (Yes)","IF INMEMTEN=4,5 and DECCOGIN not =1","a2, b9","INMEMTEN, DECCOGIN",No,No,
b9-ivp-p-1006,1006,Alert,b9,I,MOMOPARK,Plausibility,MOMOPARK aligns with PARKSIGN ,If PARKSIGN =  1 then MOMOPARK should equal 1,"If Q17. MOMOPARK (motor symptoms suggestive of parkinsonism) = 1 (Yes), then B8 Q3. PARKSIGN (parkinsonian signs) should = 1 (Yes).",If MOMOPARK = 1 and PARKSIGN =  0,"b8, b9","MOMOPARK, PARKSIGN",No,Yes,
b9-ivp-p-1007,1007,Alert,b9,I,MOMOPARK,Plausibility,MOMOPARK aligns with PARKSIGN ,If PARKSIGN =  0 then MOMOPARK should equal 0,"If Q17. MOMOPARK (motor symptoms suggestive of parkinsonism) = 0 (No), then B8 Q3. PARKSIGN (parkinsonian signs) should not equal 1",If MOMOPARK = 0 and PARKSIGN = 1,"b8, b9","MOMOPARK, PARKSIGN",No,Yes,
b9-ivp-p-1008,1008,Alert,b9,I,BEHAGE,Plausibility,Age of onset is not older than age of participant at visit,"BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, or BEREMAGO should be less than or equal to the age of participant at visit","BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, or BEREMAGO (age of onset) should be less than or equal to age at visit","If BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, or BEREMAGO >  (FRMDATEB9 - BIRTHMO|1|BIRTHYR)/365.25","a1, b9","BEHAGE, COGAGE, PERCHAGE, MOTORAGE, PSYCHAGE, BEREMAGO, BIRTHMO, BIRTHYR",No,Yes,
b9-ivp-p-1009,1009,Alert,b9,I,MOFACE,Plausibility,MOFACE compared to MASKING,"If MASKING= 1, MOFACE should not be 0","If B8 Q3m. MASKING (Facial expression) = 1 (present), then Q15f. MOFACE (Change in facial expression) should not be 0 (no)",If MASKING = 1 and MOFACE = 0,"b8, b9","MOFACE, MASKING",No,No,
b9-ivp-p-1010,1010,Alert,b9,I,MOFACE,Plausibility,MOFACE compared to MASKING,"If MASKING= 0, MOFACE should = 0","If B8 Q3m. MASKING (Facial expression) = 0 (absent), then Q15f. MOFACE (Change in facial expression) should = 0 (no)",If MASKING = 0 and MOFACE not = 0,"b8, b9","MOFACE, MASKING",No,No,
b9-ivp-p-1011,1011,Alert,b9,I,MOGAIT,Plausibility,MOGAIT compared to GAITABN,"If GAITABN= 1, MOGAIT should not be 0","If B8 Q5. GAITABN (Gait) = 1 (present), then Q15a. MOGAIT (Gait disorder) should not be 0 (no)",If GAITABN = 1 and MOGAIT= 0,"b8, b9","MOGAIT, GAITABN",No,No,
b9-ivp-p-1012,1012,Alert,b9,I,MOGAIT,Plausibility,MOGAIT compared to GAITABN,"If GAITABN= 0, MOGAIT should = 0","If B8 Q5. GAITABN (Gait) = 0 (absent), then Q15a. MOGAIT (Gait disorder) should = 0 (no)",If GAITABN= 0 and MOGAIT not = 0,"b8, b9","MOGAIT, GAITABN",No,No,
