error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b9-fvp-m-001,001,Error,b9,F,FRMDATEB9,Missingness,FRMDATEB9 must be present,FRMDATEB9 cannot be blank,Q0a. FRMDATEB9 (B9 form date) cannot be blank ,If FRMDATEB9 = blank,,,Yes,No,
b9-fvp-c-002,002,Error,b9,F,FRMDATEB9,Conformity,FRMDATEB9 conforms,FRMDATEB9 must be a date,Q0a. FRMDATEB9 (B9 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB9 is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
b9-fvp-m-003,003,Error,b9,F,LANGB9,Missingness,LANGB9 must be present,LANGB9 cannot be blank,Q0c. LANGB9 (Language of B9 administration) cannot be blank,If LANGB9 = blank,,,Yes,Yes,
b9-fvp-c-004,004,Error,b9,F,LANGB9,Conformity,LANGB9 conforms,LANGB9 must be an integer between 1-2,Q0c. LANGB9 (Language of B9 administration) must be an integer between 1-2,If LANGB9 < 1 or LANGB9 > 2,,,Yes,Yes,
b9-fvp-m-005,005,Error,b9,F,MODEB9,Missingness,MODEB9 must be present,MODEB9 cannot be blank,Q0d. MODEB9 (B9 in person or remote) cannot be blank,If MODEB9 = blank,,,Yes,No,
b9-fvp-c-006,006,Error,b9,F,MODEB9,Conformity,MODEB9 conforms,MODEB9 must be an integer between 1-2,Q0d. MODEB9 (B9 in person or remote) must be an integer between 1-2,If MODEB9 < 1 or MODEB9 > 2,,,Yes,No,
b9-fvp-m-007,007,Error,b9,F,RMREASB9,Missingness,RMREASB9 conditionally present,"If MODEB9 = 2, RMREASB9 cannot be blank",If Q0d. MODEB9 (B9 in person or remote) = 2 (Remote) then Q0d1. RMREASB9 (Reason for remote B9) cannot be blank,If MODEB9 = 2 and RMREASB9 = blank,,"MODEB9, RMREASB9",Yes,No,
b9-fvp-m-008,008,Error,b9,F,RMREASB9,Missingness,RMREASB9 conditionally blank,"If MODEB9 = 1, RMREASB9 must be blank",If Q0d. MODEB9 (B9 in person or remote) = 1 (In-person) then Q0d1. RMREASB9 (Reason for remote B9) must be blank,If MODEB9 = 1 and RMREASB9 not = blank,,"MODEB9, RMREASB9",Yes,No,
b9-fvp-c-009,009,Error,b9,F,RMREASB9,Conformity,RMREASB9 conforms,RMREASB9 must be an integer between 1-5,Q0d1. RMREASB9 (Reason for remote B9) must be an integer between 1-5,If RMREASB9 < 1 or RMREASB9 > 5,,,Yes,No,
b9-fvp-m-010,010,Error,b9,F,RMMODEB9,Missingness,RMMODEB9 conditionally present,"If MODEB9 = 2, RMMODEB9 cannot be blank",If Q0d. MODEB9 (B9 in person or remote) = 2 (Remote) then Q0d1a. RMMODEB9 (Mode of remote B9 administration) cannot be blank,If MODEB9 = 2 and RMMODEB9 = blank,,"MODEB9, RMMODEB9",Yes,No,
