Form ,Version,Gate_question_variable,Variable,TT_code
B9,v4,DECCLIN,"DECCLCOG, COGMEM, COGORI, COGJUDG, COGLANG, COGVIS, COGATTN, COGFLUC, COGOTHR, COGMODE, DECCLBE, BEAPATHY, BEDEP, BEANX, BEEUPH, BEIRRIT, BEAGIT, BEVHALL, BEVPATT, BEVWELL, BEAHALL, BEAHSIMP, BEAHCOMP, BEDEL, BEAGGRS, BEDISIN, BEPERCH, BEEMPATH, BEOBCOM, BEANGER, BESUBAB, BEREM, BEREMCONF, BEOTHR, BEMODE, DECCLMOT, MOGAIT, MOFALLS, MOSLOW, MOTREM, MOLIMB, MOFACE, MOSPEECH, MOMODE, MOMOPARK, MOMOALS","If DECCLIN = 0 then all of DECCLCOG, COGMEM, COGORI, COGJUDG, COGLANG, COGVIS, COGATTN, COGFLUC, COGOTHR, COGMODE, DECCLBE, BEAPATHY, BEDEP, BEANX, BEEUPH, BEIRRIT, BEAGIT, BEVHALL, BEVPATT, BEVWELL, BEAHALL, BEAHSIMP, BEAHCOMP, BEDEL, BEAGGRS, BEDISIN, BEPERCH, BEEMPATH, BEOBCOM, BEANGER, BESUBAB, BEREM, BEREMCONF, BEOTHR, BEMODE, DECCLMOT, MOGAIT, MOFALLS, MOSLOW, MOTREM, MOLIMB, MOFACE, MOSPEECH, MOMODE, MOMOPARK, MOMOALS should = 0 (No)"
B9,"v1-2, 4",DECCLIN,"COURSE, FRSTCHG",If DECCLIN = 0 then COURSE and FRSTCHG should = 8
B9,v3-4,DECCLCOG,"COGMEM, COGORI, COGJUDG, COGLANG, COGVIS, COGATTN, COGFLUC, COGOTHR, COGMODE","If DECCLCOG = 0, then COGMEM, COGORI, COGJUDG, COGLANG, COGVIS, COGATTN, COGFLUC, COGOTHR, COGMODE should = 0 "
B9,v4,DECCLBE,"BEAPATHY, BEDEP, BEANX, BEEUPH, BEIRRIT, BEAGIT, BEVHALL, BEVPATT, BEVWELL, BEAHALL, BEAHSIMP, BEAHCOMP, BEDEL, BEAGGRS, BEDISIN, BEPERCH, BEEMPATH, BEOBCOM, BEANGER, BESUBAB, ALCUSE, SEDUSE, OPIATEUSE, COCAINEUSE, CANNABUSE, OTHSUBUSE, BEREM, BEREMCONF, BEOTHR, BEMODE","If DECCLBE = 0, then BEAPATHY, BEDEP, BEANX, BEEUPH, BEIRRIT, BEAGIT, BEVHALL, BEVPATT, BEVWELL, BEAHALL, BEAHSIMP, BEAHCOMP, BEDEL, BEAGGRS, BEDISIN, BEPERCH, BEEMPATH, BEOBCOM, BEANGER, BESUBAB, ALCUSE, SEDUSE, OPIATEUSE, COCAINEUSE, CANNABUSE, OTHSUBUSE, BEREM, BEREMCONF, BEOTHR, BEMODE should = 0"
B9,v4,DECCLMOT,"MOGAIT, MOFALLS, MOSLOW, MOTREM, MOLIMB, MOFACE, MOSPEECH, MOMODE, MOMOPARK, MOMOALS","If DECCLMOT = 0, then MOGAIT, MOFALLS, MOSLOW, MOTREM, MOLIMB, MOFACE, MOSPEECH, MOMODE, MOMOPARK, MOMOALS should = 0"
B9,v1-4,,COGOTHRX,If COGOTHRX is blank then COGOTHRX should remain blank
B9,v1-4,,COGMODEX,If COGMODEX is blank then COGMODEX should remain blank
B9,v4,,OTHSUBUSEX,If OTHSUBUSEX is blank then OTHSUBUSEX should remain blank
B9,v1-4,,BEOTHRX,If BEOTHRX is blank then BEOTHRX should remain blank
B9,v1-4,,BEMODEX,If BEMODEX is blank then BEMODEX should remain blank
B9,v1-4,,MOMODEX,If MOMODEX is blank then MOMODEX should remain blank 
B9,v4,,BEHAGE,"If BEHAGE = 777, then BEHAGE = value from previous visit"
B9,v4,,PSYCHAGE,"If PSYCHAGE = 777, then PSYCHAGE = value from previous visit"
B9,v4,,PERCHAGE,"If PERCHAGE = 777, then PERCHAGE = value from previous visit"
B9,v3-4,,BEREMAGO,"If BEREMAGO = 777, then BEREMAGO = value from previous visit"
B9,v4,,MOTORAGE,"If MOTORAGE = 777, then MOTORAGE = value from previous visit"
B9,v4,,FRSTCHG,"If FRSTCHG = 0, then FRSTCHG = value from previous visit"
B9,v4,BESUBAB,ALCUSE,"If BESUBAB=1 and ALCUSE is blank, then ALCUSE should=0"
B9,v4,BESUBAB,SEDUSE,"If BESUBAB=1 and SEDUSE is blank, then SEDUSE should=0"
B9,v4,BESUBAB,OPIATEUSE,"If BESUBAB=1 and OPIATEUSE is blank, then OPIATEUSE should=0"
B9,v4,BESUBAB,COCAINEUSE,"If BESUBAB=1 and COCAINEUSE is blank, then COCAINEUSE should=0"
B9,v4,BESUBAB,CANNABUSE,"If BESUBAB=1 and CANNABUSE is blank, then CANNABUSE should=0"
B9,v4,BESUBAB,OTHSUBUSE,"If BESUBAB=1 and OTHSUBUSE is blank, then OTHSUBUSE should=0"
