Form,Packet,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?"
B9,IVP,1. Does the participant report a decline in any cognitive domain (relative to stable baseline prior to onset of current syndrome)?,DECCOG,Yes,"0-1,8"
B9,IVP,2. Does the participant report a decline in any motor domain (relative to stable baseline prior to onset of current syndrome)?,DECMOT,Yes,"0-1,8"
B9,IVP,3. Does the participant report the development of any significant neuropsychiatric/behavioral symptoms (relative to stable baseline prior to onset of current syndrome)?,PSYCHSYM,Yes,"0-1, 8"
B9,IVP,4. Does the co-participant report a decline in any cognitive domain (relative to stable baseline prior to onset of current syndrome)?,DECCOGIN,Yes,"0-1,8"
B9,IVP,5. Does the co-participant report a change in any motor domain (relative to stable baseline prior to onset of current syndrome)?,DECMOTIN,Yes,"0-1,8"
B9,IVP,6. Does the co-participant report the development of any significant neuropsychiatric/behavioral symptoms (relative to stable baseline prior to onset of current syndrome)?,PSYCHSYMIN,Yes,"0-1,8"
B9,IVP,"7. Has the participant had declines in any cognitive domain, behavioral domain, or neuropsychiatric/behavioral symptoms?",DECCLIN,Yes,0-1
B9,IVP,"8. Based on the clinician’s judgment, is the participant currently experiencing meaningful impairment in cognition?",DECCLCOG,No,0-1
B9,IVP,9a. Indicate whether the participant currently is meaningfully impaired in memory.,COGMEM,No,"0-1, 9"
B9,IVP,9b. Indicate whether the participant currently is meaningfully impaired in orientation.,COGORI,No,"0-1, 9"
B9,IVP,"9c.Indicate whether the participant currently is meaningfully impaired in executive function (judgment, planning, and problem-solving)",COGJUDG,No,"0-1, 9"
B9,IVP,9d. Indicate whether the participant currently is meaningfully impaired in language,COGLANG,No,"0-1, 9"
B9,IVP,9e. Indicate whether the participant currently is meaningfully impaired in visuospatial function,COGVIS,No,"0-1, 9"
B9,IVP,9f. Indicate whether the participant currently is meaningfully impaired in attention/concentration,COGATTN,No,"0-1, 9"
B9,IVP,9g. Indicate whether the participant currently has fluctuating cognition,COGFLUC,No,"0-1, 9"
B9,IVP,9h. Other cognitive impairment,COGOTHR,No,0-1
B9,IVP,9h1. Specify other cognitive domains,COGOTHRX,No,Any numbers or characters
B9,IVP,"9i. If any of the cognitive-related behavioral symptoms in Q9a-Q9h are present, at what age did they begin?",COGAGE,No,9-110
B9,IVP,10. Indicate the mode of onset for the most prominent cognitive problem that is causing the participant's complaints and/or affecting the participant's function.,COGMODE,No,"1-4, 99"
B9,IVP,10a. Specify other mode of onset of cognitive symptoms,COGMODEX,No,Any numbers or characters
B9,IVP,"11. Based on the clinician’s judgment, is the participant currently experiencing any kind of behavioral symptoms?",DECCLBE,No,0-1
B9,IVP,"12a. Participant currently manifests meaningful change in behavior — Apathy, withdrawal",BEAPATHY,No,"0-1, 9"
B9,IVP,12b. Participant currently manifests meaningful change in behavior — Depressed mood,BEDEP,No,"0-1, 9"
B9,IVP,12c. Participant currently manifests meaningful change in behavior — Anxiety,BEANX,No,"0-1, 9"
B9,IVP,12d. Participant currently manifests meaningful change in behavior - Euphoria,BEEUPH,No,"0-1, 9"
B9,IVP,12e. Participant currently manifests meaningful change in behavior — Irritability,BEIRRIT,No,"0-1, 9"
B9,IVP,12f. Participant currently manifests meaningful change in behavior — Agitation,BEAGIT,No,"0-1, 9"
B9,IVP,"12g. If any of the mood-related behavioral symptoms in Q12a-Q12f are present, at what age did they begin?",BEHAGE,No,9-110
B9,IVP,12h. Participant currently manifests meaningful change in behavior — Psychosis — Visual hallucinations,BEVHALL,No,"0-1, 9"
B9,IVP,"12h1. IF YES, do their hallucinations include patterns that are not definite objects, such as pixelation of flat uniform surfaces?",BEVPATT,No,"0-1, 9"
B9,IVP,"12h2. IF YES, do their hallucinations include well formed and detailed images of objects or people, either as independent images or as part of other objects?",BEVWELL,No,"0-1, 9"
B9,IVP,12i. Participant currently manifests meaningful change in behavior — Psychosis — Auditory hallucinations,BEAHALL,No,"0-1, 9"
B9,IVP,"12i1. IF YES, do the auditory hallucinations include simple sounds like knocks or other simple sounds?",BEAHSIMP,No,"0-1, 9"
B9,IVP,"12i2. IF YES, do the auditory hallucinations include complex sounds like voices speaking words, or music?",BEAHCOMP,No,"0-1, 9"
B9,IVP,"12j. Participant currently manifests meaningful change in behavior — Psychosis — Abnormal, false, or delusional beliefs",BEDEL,No,"0-1, 9"
B9,IVP,12k. Participant currently manifests meaningful change in behavior — Aggression,BEAGGRS,No,"0-1, 9"
B9,IVP,"12l. If any of the psychosis and impulse control-related behavioral symptoms in Q12h-Q12k are present, at what age did they begin?",PSYCHAGE,No,9-110
B9,IVP,12m. Participant currently manifests meaningful change in behavior — Disinhibition,BEDISIN,No,"0-1, 9"
B9,IVP,12n. Participant currently manifests meaningful change in behavior — Personality change,BEPERCH,No,"0-1, 9"
B9,IVP,12o. Participant currently manifests meaningful change in behavior — Loss of empathy,BEEMPATH,No,"0-1, 9"
B9,IVP,12p. Participant currently manifests meaningful change in behavior — Obsessions/compulsions,BEOBCOM,No,"0-1, 9"
B9,IVP,12q. Participant currently manifests meaningful change in behavior — Explosive anger,BEANGER,No,"0-1, 9"
