Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACOMP,MOCACOMP cannot be blank,MOCACOMP cannot be blank,Q1a. MOCACOMP (MoCA administered) cannot be blank,If MOCACOMP=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCACOMP,MOCACOMP conforms,MOCACOMP must be between 0 and 1,Q1a. MOCACOMP (MoCA administered) must be between 0 and 1,If MOCACOMP<0 or MOCACOMP>1,,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREAS,MOCAREAS conditionally present,If MOCACOMP is 0 then MOCAREAS cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1a1. MOCAREAS (reason not adminstered) cannot be blank,If MOCACOMP=0 and MOCAREAS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREAS,MOCAREAS conforms,If MOCACOMP is 0 then MOCAREAS must be between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1a1. MOCAREAS (reason not adminstered) must be between 95 and 98,If MOCACOMP=0 and (MOCAREAS<95 or MOCAREAS>98),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAREAS,MOCAREAS conditionally blank,If MOCACOMP is 1 then MOCAREAS must be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1a1. MOCAREAS (reason not administered) must be blank,If MOCACOMP=1 and MOCAREAS is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALOC,MOCALOC conditionally present,If MOCACOMP is 1 then MOCALOC cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1b. MOCALOC (MoCA location) cannot be blank,If MOCACOMP=1 and MOCALOC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALOC,MOCALOC conforms,If MOCACOMP is 1 then MOCALOC must be between 1 and 3,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1b. MOCALOC (MoCA location) must be between 1 and 3,If MOCACOMP=1 and (MOCALOC<1 or MOCALOC>3),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALOC,MOCALOC conditionally blank,If MOCACOMP is 0 then MOCALOC must be blank,If Q1a. MOCACOMP (MoCA adminstered) is 0 then Q1b. MOCALOC (MoCA location)  must be blank,If MOCACOMP=0 and MOCALOC is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALAN,MOCALAN conditionally present,If MOCACOMP is 1 then MOCALAN must be present,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1c. MOCALAN (MoCA language) cannot be blank,If MOCACOMP=1 and MOCALAN=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALAN,MOCALAN conforms,If MOCACOMP is 1 then MOCALAN must be between 1 and 3,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1c. MOCALAN (MoCA language) must be between 1 and 3,If MOCACOMP=1 and (MOCALAN<1 or MOCALAN>3),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALAN,MOCALAN conditionally blank,If MOCACOMP is 0 then MOCALAN must be blank,If Q1a. MOCACOMP (MoCA adminstered) is 0 then Q1c. MOCALAN (MoCA language)  must be blank,If MOCACOMP=0 and MOCALAN is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCALANX,MOCALANX conditionally present,If MOCALAN is 3 then MOCALANX cannot be blank,If Q1c. MOCALAN (MoCA language) is 3 then Q1c1. MOCALANX (MoCA language other) cannot be blank,If MOCALAN=3 and MOCALANX=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
