error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c2-ivp-m-001,1,Error,c2,I,FRMDATEC2C2T,Missingness,FRMDATEC2C2T must be present,FRMDATEC2C2T cannot be blank,Q0a. FRMDATEC2C2T (C2 form date) cannot be blank,If FRMDATEC2C2T=blank,,,Yes,No,
c2-ivp-c-002,2,Error,c2,I,FRMDATEC2C2T,Conformity,FRMDATEC2C2T conforms,FRMDATEC2C2T must be a date,Q0a. FRMDATEXX (C2 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC2C2T is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
c2-ivp-m-003,3,Error,c2,I,LANGC2C2T,Missingness,LANGC2C2T must be present,LANGC2C2T cannot be blank,Q0c. LANGC2C2T (Language of C2 administration) cannot be blank,If LANGC2C2T=blank,,,Yes,Yes,
c2-ivp-c-004,4,Error,c2,I,LANGC2C2T,Conformity,LANGC2C2T conforms,LANGC2C2T must be an integer between 1-2,Q0c. LANGC2C2T (Language of C2 administration) must be an integer between 1-2,If LANGC2C2T<1 or LANGC2C2T>2,,,Yes,Yes,
c2-ivp-m-005,5,Error,c2,I,MODEC2C2T,Missingness,MODEC2C2T must be present,MODEC2C2T cannot be blank,Q0d. MODEC2C2T (C2 in person or remote) cannot be blank,If MODEC2C2T=blank,,,Yes,No,
c2-ivp-c-006,6,Error,c2,I,MODEC2C2T,Conformity,MODEC2C2T conforms,MODEC2C2T must be an integer between 1-2,Q0d. MODEC2C2T (C2 in person or remote) must be an integer between 1-2,If MODEC2C2T < 1 or MODEC2C2T > 2,,,Yes,No,
c2-ivp-m-007,7,Error,c2,I,RMREASC2C2T,Missingness,RMREASC2C2T conditionally present,"If MODEC2C2T= 2, RMREASC2C2T cannot be blank",If Q0d. MODEC2C2T (C2 in person or remote) = 2 (Remote) then Q0d1. RMREASC2C2T (Reason for remote C2) cannot be blank,If MODEC2C2T = 2 and RMREASC2C2T = blank,,"MODEC2CT, RMREASC2CT",Yes,No,
c2-ivp-m-008,8,Error,c2,I,RMREASC2C2T,Missingness,RMREASC2C2T conditionally absent,"If MODEC2C2T = 1, RMREASC2C2T must be blank",If Q0d. MODEC2C2T (C2 in person or remote) = 1 (In-person) then Q0d1. RMREASC2C2T (Reason for remote C2) must be blank,If MODEC2C2T = 1 and RMREASC2C2T not = blank,,"MODEC2CT, RMREASC2CT",Yes,No,
c2-ivp-c-009,9,Error,c2,I,RMREASC2C2T,Conformity,RMREASC2C2T conforms,RMREASC2C2T must be an integer between 1-5,Q0d1. RMREASC2C2T (Reason for remote C2) must be an integer between 1-5,If RMREASC2C2T < 1 or RMREASC2C2T > 5,,,Yes,No,
c2-ivp-m-010,10,Error,c2,I,RMMODEC2C2T,Missingness,RMMODEC2C2T conditionally present,"If MODEC2C2T = 2, RMMODEC2C2T cannot be blank",If Q0d. MODEC2C2T (C2 in person or remote) = 2 (Remote) then Q0d1a. RMMODEC2C2T (Mode of remote C2 administration) cannot be blank,If MODEC2C2T = 2 and RMMODEC2C2T = blank,,"MODEC2CT, RMMODEC2CT",Yes,No,
c2-ivp-m-011,11,Error,c2,I,RMMODEC2C2T,Missingness,RMMODEC2C2T conditionally absent,"If MODEC2C2T = 1, RMMODEC2C2T must be blank",If Q0d. MODEC2C2T (C2 in person or remote) = 1 (In-person) then Q0d1a. RMMODEC2C2T (Mode of remote C2 administration) must be blank,If MODEC2C2T = 1 and RMMODEC2C2T not = blank,,"MODEC2CT, RMMODEC2CT",Yes,No,
c2-ivp-c-012,12,Error,c2,I,RMMODEC2C2T,Conformity,RMMODEC2C2T conforms,RMMODEC2C2T must be 2,Q0d1a. RMMODEC2C2T (Mode of remote C2/C2T administration) must be 2,If RMMODEC2C2T ne 2,,,Yes,No,
c2-ivp-m-013,13,Error,c2,I,MOCACOMP,Missingness,MOCACOMP cannot be blank,MOCACOMP cannot be blank,Q1a. MOCACOMP (MoCA administered) cannot be blank,If MOCACOMP=blank,,,Yes,,
c2-ivp-c-014,14,Error,c2,I,MOCACOMP,Conformity,MOCACOMP conforms,MOCACOMP must be between 0 and 1,Q1a. MOCACOMP (MoCA administered) must be between 0 and 1,If MOCACOMP<0 or MOCACOMP>1,,,Yes,,
c2-ivp-m-015,15,Error,c2,I,MOCAREAS,Missingness,MOCAREAS conditionally present,If MOCACOMP is 0 then MOCAREAS cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1a1. MOCAREAS (reason not adminstered) cannot be blank,If MOCACOMP=0 and MOCAREAS=blank,,"MOCACOMP, MOCAREAS",Yes,,
c2-ivp-c-016,16,Error,c2,I,MOCAREAS,Conformity,MOCAREAS conforms,MOCAREAS must be between 95 and 98,Q1a1. MOCAREAS (reason not adminstered) must be between 95 and 98,If (MOCAREAS<95 or MOCAREAS>98),,"MOCACOMP, MOCAREAS",Yes,,
c2-ivp-m-017,17,Error,c2,I,MOCAREAS,Missingness,MOCAREAS conditionally blank,If MOCACOMP is 1 then MOCAREAS must be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1a1. MOCAREAS (reason not administered) must be blank,If MOCACOMP=1 and MOCAREAS is not blank,,,Yes,,
c2-ivp-m-018,18,Error,c2,I,MOCALOC,Missingness,MOCALOC conditionally present,If MOCACOMP is 1 then MOCALOC cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1b. MOCALOC (MoCA location) cannot be blank,If MOCACOMP=1 and MOCALOC=blank,,,Yes,,
c2-ivp-c-019,19,Error,c2,I,MOCALOC,Conformity,MOCALOC conforms,MOCALOC must be between 1 and 3,Q1b. MOCALOC (MoCA location) must be between 1 and 3,If (MOCALOC<1 or MOCALOC>3),,,Yes,,
c2-ivp-m-020,20,Error,c2,I,MOCALOC,Missingness,MOCALOC conditionally blank,If MOCACOMP is 0 then MOCALOC must be blank,If Q1a. MOCACOMP (MoCA adminstered) is 0 then Q1b. MOCALOC (MoCA location)  must be blank,If MOCACOMP=0 and MOCALOC is not blank,,"MOCACOMP, MOCALOC",Yes,,
c2-ivp-m-021,21,Error,c2,I,MOCALAN,Missingness,MOCALAN conditionally present,If MOCACOMP is 1 then MOCALAN must be present,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1c. MOCALAN (MoCA language) cannot be blank,If MOCACOMP=1 and MOCALAN=blank,,"MOCACOMP, MOCALOC",Yes,,
c2-ivp-c-022,22,Error,c2,I,MOCALAN,Conformity,MOCALAN conforms,MOCALAN must be between 1 and 3,Q1c. MOCALAN (MoCA language) must be between 1 and 3,If (MOCALAN<1 or MOCALAN>3),,,Yes,,
c2-ivp-m-023,23,Error,c2,I,MOCALAN,Missingness,MOCALAN conditionally blank,If MOCACOMP is 0 then MOCALAN must be blank,If Q1a. MOCACOMP (MoCA adminstered) is 0 then Q1c. MOCALAN (MoCA language)  must be blank,If MOCACOMP=0 and MOCALAN is not blank,,"MOCACOMP, MOCALAN",Yes,,
