error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c2-ivp-p-1001,1001,Alert,c2,I,MOCALOC,Plausibility,MOCALOC compared to MODEC2C2T,If MOCALOC is 2 then MODEC2C2T should not = 1,If Q1b. MOCALOC (MOCA location) is 2 then Q0d. MODEC2C2T (form mode) should not = 1,MOCALOC=2 and MODEC2C2T=1,,"MOCALOC, MODEC2C2T",,,
c2-ivp-p-1002,1002,Alert,c2,I,MOCALOC,Plausibility,MOCALOC compared to MODEC2C2T,"If MOCALOC in 1,3 then MODEC2C2T should not = 2",If Q1b. MOCALOC (MOCA location) is 1 or 3 then Q0d. MODEC2C2T (form mode) should not = 2,"MOCALOC=1,3 and MODEC2C2T=2",,"MOCALOC, MODEC2C2T",,,
c2-ivp-p-1003,1003,Alert,c2,I,MOCALAN,Plausibility,MOCALAN compared to LANGC2C2T,If MOCALAN is 2 then LANGC2C2T should = 2,If Q1c. MOCALAN (language of MOCA) is 2 then Q0c. LANGC2C2T (form language) should = 2,MOCALAN=2 and LANGC2C2T ne 2,,"MOCALAN, LANGC2C2T",,,
c2-ivp-p-1004,1004,Alert,c2,I,NPSYCLOC,Plausibility,NPSYCLOC compared to MODEC2C2T,If NPSYCLOC is 2 then MODEC2C2T should not = 1,If Q2a. NPSYCLOC (other tests location) is 2 then Q0d. MODEC2C2T (form mode) should not = 1,NPSYCLOC=2 and MODEC2C2T=1,,"NPSYCLOC, MODEC2C2T",,,
c2-ivp-p-1005,1005,Alert,c2,I,NPSYCLOC,Plausibility,NPSYCLOC compared to MODEC2C2T,"If NPSYCLOC in 1,3 then MODEC2C2T should not = 2",If Q2a. NPSYCLOC (other tests location) is 1 or 3 then Q0d. MODEC2C2T (form mode) should not = 2,"NPSYCLOC=1,2 and MODEC2C2T=2",,"NPSYCLOC, MODEC2C2T",,,
c2-ivp-p-1006,1006,Alert,c2,I,NPSYLAN,Plausibility,NPSYLAN compared to LANGC2C2T,If NPSYLAN is 2 then LANGC2C2T should = 2,If Q2b1. NPSYLAN (other tests language) is 2 then Q0c. LANGC2C2T (form language) should = 2,NPSYLAN=2 and LANGC2C2T ne 2,,"NPSYLAN, LANGC2C2T",,,
c2-ivp-p-1007,1007,Alert,c2,I,MOCAHEAR,Plausibility,MOCAHEAR compared to RESPHEAR,If MOCAHEAR is 1 then RESPHEAR should = 1,If Q1e. MOCAHEAR (MOCA hearing issue) is 1 then Q18b1. RESPHEAR (validity - hearing issue) should = 1,MOCAHEAR=1 and RESPHEAR ne 1,,"MOCAHEAR, RESPHEAR",,,
c2-ivp-p-1008,1008,Alert,c2,I,COGSTAT,Plausibility,COGSTAT compared to CDRGLOB,If COGSTAT is 1 or 2 then CDRGLOB should be <2,If Q17a. COGSTAT (overall appraisal) is 1 or 2 then B4 Q8. CDRGLOB (CDR global score) should be <2,"COGSTAT=1,2 and CDRGLOB in  2,3","B4, C2","COGSTAT, CDRGLOB",,,
c2-ivp-p-1010,1010,Error,c2,I,UDSVERTN,Plausibility,UDSVERTN is the total of subquestions,"If UDSVERFC not 95-98 and UDSVERLC not 95-98, UDSVERTN must be the total of UDSVERFC and UDSVERLC","If Q11a. UDSVERFC not 95-98 and Q11d. UDSVERLC not 95-98, Q11g. UDSVERTN must be the total of UDSVERFC and UDSVERLC",UDSVERFC <= 40 and UDSVERLC <=40 and UDSVERTN not = UDSVERFC + UDSVERLC,,"UDSVERFC, UDSVERLC, UDSVERTN",,,
c2-ivp-p-1011,1011,Error,c2,I,UDSVERTE,Plausibility,UDSVERTE is the total of subquestions,"If UDSVERFN is between 0 and 15  and UDSVERLR is between 0 and 15, then UDSVERTE must be the total of UDSVERFN and UDSVERLR","If Q11b. UDSVERFN (f-words repeated) is between 0 and 15 and Q11e. UDSVERLR (L-words repeated) is between 0 and 15, then Q11h. UDSVERTE must be the total of Q11b. UDSVERFN and Q11e. UDSVERLR",UDSVERFN >=0 and UDSVERFN <=15 and UDSVERLR >= 0 and UDSVERLR <=15 and UDSVERTE not = UDSVERFN + UDSVERLR,,"UDSVERFN, UDSVERLR, UDSVERTE",,,
c2-ivp-p-1012,1012,Error,c2,I,UDSVERTI,Plausibility,UDSVERTI is the total of subquestions,"If UDSVERNF is between 0 and 15  and UDSVERLN is between 0 and 15, then UDSVERTI must be the total of UDSVERNF and UDSVERLN","If Q11c. UDSVERNF (F-words rule violations) is between 0 and 15 and Q11f. UDSVERLN (L-words rule violations) is between 0 and 15, then Q11i. UDSVERTI must be the total of Q11c. UDSVERNF and Q11f. UDSVERLN",UDSVERNF >=0 and UDSVERNF <=15 and UDSVERLN >=0 and UDSVERLN <=15 and UDSVERTI not = UDSVERNF + UDSVERLN,,"UDSVERNF, UDSVERLN, UDSVERTI",,,
