error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
C2T-ivp-m-001,1,Error,C2T,I,FRMDATEC2C2T,Missingness,FRMDATEC2C2T must be present,FRMDATEC2C2T cannot be blank,Q0a. FRMDATEC2C2T (C2T form date) cannot be blank ,If FRMDATEC2C2T = blank,,,Yes,No,
C2T-ivp-c-002,2,Error,C2T,I,FRMDATEC2C2T,Conformity,FRMDATEC2C2T conforms,FRMDATEC2C2T must be a date,Q0a. FRMDATEC2C2T (C2T form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC2C2T is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
C2T-ivp-m-003,3,Error,C2T,I,LANGC2C2T,Missingness,LANGC2C2T must be present,LANGC2C2T cannot be blank,Q0c. LANGC2C2T (Language of C2T administration) cannot be blank,If LANGC2C2T = blank,,,Yes,Yes,
C2T-ivp-c-004,4,Error,C2T,I,LANGC2C2T,Conformity,LANGC2C2T conforms,LANGC2C2T must be an integer between 1-2,Q0c. LANGC2C2T (Language of C2T administration) must be an integer between 1-2,If LANGC2C2T < 1 or LANGC2C2T > 2,,,Yes,Yes,
C2T-ivp-m-005,5,Error,C2T,I,MODEC2C2T,Missingness,MODEC2C2T must be present,MODEC2C2T cannot be blank,Q0d. MODEC2C2T (C2T in person or remote) cannot be blank,If MODEC2C2T = blank,,,Yes,No,
C2T-ivp-c-006,6,Error,C2T,I,MODEC2C2T,Conformity,MODEC2C2T conforms,MODEC2C2T must be = 2,Q0d. MODEC2C2T (C2T in person or remote) must be an integer = 2,If MODEC2C2T < 2 or MODEC2C2T > 2,,,Yes,No,
C2T-ivp-m-007,7,Error,C2T,I,RMREASC2C2T,Missingness,RMREASC2C2T conditionally present,"If MODEC2C2T = 2, RMREASC2C2T cannot be blank",If Q0d. MODEC2C2T (C2T in person or remote) = 2 (Remote) then Q0d1. RMREASC2C2T (Reason for remote C2T) cannot be blank,If MODEC2C2T = 2 and RMREASC2C2T = blank,,,Yes,No,
C2T-ivp-c-009,8,Error,C2T,I,RMREASC2C2T,Conformity,RMREASC2C2T conforms,RMREASC2C2T must be an integer between 1-5,Q0d1. RMREASC2C2T (Reason for remote C2T) must be an integer between 1 and 5,If RMREASC2C2T < 1or RMREASC2C2T > 5,,,Yes,No,
C2T-ivp-m-010,9,Error,C2T,I,RMMODEC2C2T,Missingness,RMMODEC2C2T conditionally present,"If MODEC2C2T = 2, RMMODEC2C2T cannot be blank",If Q0d. MODEC2C2T (C2T in person or remote) = 2 (Remote) then Q0d1a. RMMODEC2C2T (Mode of remote C2T administration) cannot be blank,If MODEC2C2T = 2 and RMMODEC2C2T = blank,,,Yes,No,
C2T-ivp-c-012,10,Error,C2T,I,RMMODEC2C2T,Conformity,RMMODEC2C2T conforms,RMMODEC2C2T must be an integer = 1,Q0d1a. RMMODEC2C2T (Mode of remote C2T administration) must be an integer = 1,If RMMODEC2C2T < 1 or RMMODEC2C2T > 1,,,Yes,No,
C2T-ivp-m-011,11,Error,C2T,I,MOCACOMP,Missingness,MOCACOMP cannot be blank,MOCACOMP cannot be blank,Q1a. MOCACOMP (MoCA administered) cannot be blank,If MOCACOMP=blank,,,Yes,,
C2T-ivp-c-012,12,Error,C2T,I,MOCACOMP,Conformity,MOCACOMP conforms,MOCACOMP must be between 0 and 1,Q1a. MOCACOMP (MoCA administered) must be between 0 and 1,If MOCACOMP<0 or MOCACOMP>1,,,Yes,,
C2T-ivp-m-013,13,Error,C2T,I,MOCAREAS,Missingness,MOCAREAS conditionally present,If MOCACOMP is 0 then MOCAREAS cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1a1. MOCAREAS (reason not adminstered) cannot be blank,If MOCACOMP=0 and MOCAREAS=blank,,,Yes,,
C2T-ivp-c-014,14,Error,C2T,I,MOCAREAS,Conformity,MOCAREAS conforms,If MOCACOMP is 0 then MOCAREAS must be between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1a1. MOCAREAS (reason not adminstered) must be between 95 and 98,If MOCACOMP=0 and (MOCAREAS<95 or MOCAREAS>98),,,Yes,,
C2T-ivp-m-015,15,Error,C2T,I,MOCAREAS,Missingness,MOCAREAS conditionally blank,If MOCACOMP is 1 then MOCAREAS must be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1a1. MOCAREAS (reason not administered) must be blank,If MOCACOMP=1 and MOCAREAS is not blank,,,Yes,,
C2T-ivp-m-016,16,Error,C2T,I,MOCALAN,Missingness,MOCALAN conditionally present,If MOCACOMP is 1 then MOCALAN must be present,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1b. MOCALAN (MoCA language) cannot be blank,If MOCACOMP=1 and MOCALAN=blank,,,Yes,,
