error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c2t-ivp-p-1001,1001,Alert,c2t,I,MOCALAN,Plausibility,MOCALAN compared to LANGC2C2T,If MOCALAN is 2 then LANGC2C2T should = 2,If Q1b. MOCALAN (language of MOCA) is 2 then Q0c. LANGC2C2T (form language) should = 2,MOCALAN=2 and LANGC2C2T ne 2,,"MOCALAN, LANGC2C2T",,,
c2t-ivp-p-1002,1002,Alert,c2t,I,NPSYLAN,Plausibility,NPSYLAN compared to LANGC2C2T,If NPSYLAN is 2 then LANGC2C2T should = 2,If Q2a. NPSYLAN (other tests language) is 2 then Q0c. LANGC2C2T (form language) should = 2,NPSYLAN=2 and LANGC2C2T ne 2,,"NPSYLAN, LANGC2C2T",,,
c2t-ivp-p-1003,1003,Alert,c2t,I,MOCAHEAR,Plausibility,MOCAHEAR compared to RESPHEAR,If MOCAHEAR is 1 then RESPHEAR should = 1,If Q1c. MOCAHEAR (MOCA hearing issue) is 1 then Q16b1. RESPHEAR (validity - hearing issue) should = 1,MOCAHEAR=1 and RESPHEAR ne 1,,"MOCAHEAR, RESPHEAR",,,
c2t-ivp-p-1004,1004,Alert,c2t,I,COGSTAT,Plausibility,COGSTAT compared to CDRGLOB,If COGSTAT is 1 or 2 then CDRGLOB should be <2,If Q15a. COGSTAT (overall appraisal) is 1 or 2 then B4 Q8. CDRGLOB (CDR global score) should be <2,"COGSTAT=1,2 and CDRGLOB=2,3","B4, C2T","COGSTAT, CDRGLOB",,,
c2t-ivp-p-1006,1006,Error,c2t,I,UDSVERTN,Plausibility,UDSVERTN is the total of subquestions,"If UDSVERFC not 95-98 and UDSVERLC not 95-98, UDSVERTN must be the total of UDSVERFC and UDSVERLC","If Q12a. UDSVERFC not 95-98 and Q12d. UDSVERLC not 95-98, Q12g. UDSVERTN must be the total of UDSVERFC and UDSVERLC",UDSVERFC <= 40 and UDSVERLC <=40 and UDSVERTN not = UDSVERFC + UDSVERLC,,"UDSVERFC, UDSVERLC, UDSVERTN",,,
c2t-ivp-p-1007,1007,Error,c2t,I,UDSVERTE,Plausibility,UDSVERTE is the total of subquestions,"If UDSVERFN is between 0 and 15  and UDSVERLR is between 0 and 15, then UDSVERTE must be the total of UDSVERFN and UDSVERLR","If Q12b. UDSVERFN (f-words repeated) is between 0 and 15 and Q12e. UDSVERLR (L-words repeated) is between 0 and 15, then Q12h. UDSVERTE must be the total of Q12b. UDSVERFN and Q12e. UDSVERLR",UDSVERFN >=0 and UDSVERFN <=15 and UDSVERLR >= 0 and UDSVERLR <=15 and UDSVERTE not = UDSVERFN + UDSVERLR,,"UDSVERFN, UDSVERLR, UDSVERTE",,,
c2t-ivp-p-1008,1008,Error,c2t,I,UDSVERTI,Plausibility,UDSVERTI is the total of subquestions,"If UDSVERNF is between 0 and 15  and UDSVERLN is between 0 and 15, then UDSVERTI must be the total of UDSVERNF and UDSVERLN","If Q12c. UDSVERNF (F-words rule violations) is between 0 and 15 and Q12f. UDSVERLN (L-words rule violations) is between 0 and 15, then Q12i. UDSVERTI must be the total of Q12c. UDSVERNF and Q12f. UDSVERLN",UDSVERNF >=0 and UDSVERNF <=15 and UDSVERLN >=0 and UDSVERLN <=15 and UDSVERTI not = UDSVERNF + UDSVERLN,,"UDSVERNF, UDSVERLN, UDSVERTI",,,
c2t-ivp-p-1009,1009,Error,c2t,I,MOCBTOTS,Plausibility,MOCBTOTS is the total of subquestions,"MOCBTOTS is the total of (MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT)","If all subquestions are completed, MOCBTOTS is the total of (MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT)","MOCADIGI <= 2 and MOCALETT <=1 and MOCASER7 <=3 and MOCAREPE <=2 and MOCAFLUE <=1 and MOCAABST <=2 and MOCARECN <=5 and MOCAORDT <=1 and MOCAORMO <=1 and MOCAORYR <=1 and MOCAORDY <=1 and MOCAORPL <=1 and MOCAORCT <=1 and MOCBTOTS ne total of total of (MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT)",,"MOCBTOTS, MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT",,,
c2t-ivp-p-1010,1010,Alert,c2t,I,MOCALAN,Plausibility,MOCALAN compared to LANGC2C2T,If MOCALAN is 1 or 3 then LANGC2C2T should not = 2,If Q1b. MOCALAN (language of MOCA) is 1 or 3 then Q0c. LANGC2C2T (form language) should not = 2,MOCALAN=1 or 3 and LANGC2C2T = 2,,"MOCALAN, LANGC2C2T",,,
c2t-ivp-p-1011,1011,Alert,c2t,I,NPSYLAN,Plausibility,NPSYLAN compared to LANGC2C2T,If NPSYLAN is 1 or 3 then LANGC2C2T should not = 2,If Q2a. NPSYLAN (other tests language) is 1 or 3 then Q0c. LANGC2C2T (form language) should not = 2,NPSYLAN=1 or 3 and LANGC2C2T = 2,,"NPSYLAN, LANGC2C2T",,,
