form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
c2t,I,0a. C2/C2T Neuropsychological Battery Test Scores - Form date,FRMDATEC2C2T,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
c2t,I,0b. C2/C2T Neuropsychological Battery Test Scores - Examiner's initials,INITIALSC2C2T,No,text,,String,
c2t,I,0c. C2/C2T Neuropsychological Battery Test Scores - Language,LANGC2C2T,Always,Integers 1-2,"1, English|2, Spanish",Integer,
c2t,I,0d. C2/C2T Neuropsychological Battery Test Scores - In-person or remote?,MODEC2C2T,Always,Integer 2,"2, Remote",Integer,
c2t,I,"0d1. If 'C2/C2T Neuropsychological Battery Test Scores' form was completed remotely, specify reason",RMREASC2C2T,Always,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modec2c2t]='2'
c2t,I,0d1a. What modality was used to collect this remote 'C2/C2T Neuropsychological Battery Test Scores' form?,RMMODEC2C2T,Always,Integer 1,"1, Telephone",Integer,[modec2c2t]='2'
c2t,I,1a. Was any part of the MoCA administered?,MOCACOMP,Always,Integers 0-1,"0, No|1, Yes",Integer,
c2t,I,"1a1. Was any part of the MoCA administered? If No, enter reason code",MOCAREAS,Conditional (e.g. skip pattern),Integers 95-98,"95, Physical problem|96, Cognitive/behavior problem|97, Other problem|98, Verbal refusal",Integer,[mocacomp]='0'
c2t,I,1b. Language of MoCA administration:,MOCALAN,Conditional (e.g. skip pattern),Integers 1-3,"1, English|2, Spanish|3, Other",Integer,[mocacomp]='1'
c2t,I,1b1. Langauge of MoCA administration--Other: Specify,MOCALANX,Conditional (e.g. skip pattern),text,,String,[mocalan]='3'
c2t,I,1c. Participant was unable to complete one or more sections due to hearing impairment,MOCAHEAR,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mocacomp]='1'
c2t,I,1d. Total Raw Score -- Uncorrected,MOCBTOTS,Conditional (e.g. skip pattern),"Integers 0-22, 88","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|88, 88 = Item not administered",Integer,[mocacomp]='1'
c2t,I,1e. Attention -- Digits,MOCADIGI,Conditional (e.g. skip pattern),"Integers 0-2, 95-98","0, 0|1, 1|2, 2|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1f. Attention -- Letter A,MOCALETT,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1g. Attention -- Serial 7s,MOCASER7,Conditional (e.g. skip pattern),"Integers 0-3, 95-98","0, 0|1, 1|2, 2|3, 3|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1h. Language -- Repetition,MOCAREPE,Conditional (e.g. skip pattern),"Integers 0-2, 95-98","0, 0|1, 1|2, 2|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1i. Language -- Fluency,MOCAFLUE,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1j. Abstraction,MOCAABST,Conditional (e.g. skip pattern),"Integers 0-2, 95-98","0, 0|1, 1|2, 2|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1k. Delayed recall -- No cue,MOCARECN,Conditional (e.g. skip pattern),"Integers 0-5, 95-98","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1l. Delayed recall -- Category cue,MOCARECC,Conditional (e.g. skip pattern),"Integers 0-5, 88","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|88, 88 = Not applicable",Integer,[mocacomp]='1'
c2t,I,1m. Delayed recall -- Recognition,MOCARECR,Conditional (e.g. skip pattern),"Integers 0-5, 88","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|88, 88 = Not applicable",Integer,[mocacomp]='1'
c2t,I,1n. Orientation -- Date,MOCAORDT,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1o. Orientation -- Month,MOCAORMO,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1p. Orientation -- Year,MOCAORYR,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1q. Orientation -- Day,MOCAORDY,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1r. Orientation -- Place,MOCAORPL,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,1s. Orientation -- City,MOCAORCT,Conditional (e.g. skip pattern),"Integers 0-1, 95-98","0, 0|1, 1|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,[mocacomp]='1'
c2t,I,2a. Language of test administration:,NPSYLAN,Always,Integers 1-3,"1, English|2, Spanish|3, Other",Integer,
c2t,I,2a1. Language of test administration -- Other: Specify,NPSYLANX,Conditional (e.g. skip pattern),text,,String,[npsylan] = '3'
c2t,I,"3a. Total story units recalled, verbatim scoring",CRAFTVRS,Always,"Integers 0-44, 95-98","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|95, Physical problem|96, Cognitive/behavior problem|97, Other problem|98, Verbal refusal",Integer,
c2t,I,"3b. Total story units recalled, paraphrase scoring",CRAFTURS,Conditional (e.g. skip pattern),Integers 0-25,"0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25",Integer,[craftvrs]<90
c2t,I,4a. Number of correct trials,DIGFORCT,Always,"Integers 0-14, 95-98","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|95, 95 = Physical problem|96, 96 = Cognitive/behavior problem|97, 97 = Other problem|98, 98 = Verbal refusal",Integer,
c2t,I,4b. Longest span forward,DIGFORSL,Conditional (e.g. skip pattern),"Integers 0, 3-9","0, 0|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9",Integer,[digforct]<15
