status,Form ,v3 Form,Version,v4 IVP Q#,v4 FVP Q#,Variable,Variable Type,Short Descriptor,Data Type,Allowable Codes,Description/derivation,TT code
new,d1a,d1,4-Jan,"4b, 6a","4b, 6a",NACCMCIM,NACC derived variable,MCI domain affected -memory,Numeric longitudinal,"0 = No
1 = Yes
8 = Not diagnosed with MCI","Participants with MCI who were indicated as being affected in the memory domain have NACCMCIM= 1. Participants with MCI who are not affected in the memory domain have NACCMCIM = 0. Participants who do not have MCI (have normal cognition, dementia, or impaired, not MCI) have NACCMCIM= 8.","v1-3: 
If MCIAMEM=1 or MCIAPLUS=1 then NACCMCIM=1;
If MCIAMEM=0 and MCIAPLUS=0 then NACCMCIM=0;
Else if MCIAMEM is (0 or blank) and MCIAPLUS is (0 or blank) and  MCINON1 is (0 or blank) and MCINON2 is (0 or blank) then NACCMCIM =8

v4:
If MCI=1 and CDOMMEM=1 then NACCMCIM=1;
If MCI=1 and CDOMMEM is blank then NACCMCIM=0;
Else if MCI is blank or 0 then NACCMCIM =8"
new,d1a,d1,4,"4b, 6g","4b, 6g",NACCMCIAPX,NACC derived variable,MCI domain affected - apraxia,Numeric longitudinal,"0 = No
1 = Yes
8 = Not diagnosed with MCI
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","Participants with MCI who were indicated as being affected in the apraxia domain have NACCMCIAPX= 1. Participants with MCI who are not affected in the apraxia domain have NACCMCIAPX= 0. Participants who do not have MCI (have normal cognition, dementia, or impaired, not MCI) have NACCMCIAPX= 8.","v1-3: -4

v4:
If MCI=1 and CDOMAPRAX=1 then NACCMCIAPX=1;
If MCI=1 and CDOMAPRAX is blank then NACCMCIAPX=0;
Else if MCI is blank or 0 then NACCMCIAPX=8"
new,d1a,d1,4-Jan,"UDSv1: 19
UDSv2: 20
UDSv3: 26
UDSv4: 10, 11","UDSv1: 19
UDSv2: 20
UDSv3: 26
UDSv4: 10, 11",NACCDEPD,NACC derived variable,Non-neurodegenerative or non-CVD conditions affecting cognitive impairment - Depression (v1-4),Numeric longitudinal,"0 = No
1 = Yes
8 = Diagnosis of normal cognition","In v4, this variable is derived from the variables MAJDEPDX and OTHDEPDX, which are restricted to major depressive disorder or other depressive disorder diagnoses meeting DSM-5-TR criteria. In v1-3, this variable is derived using the variable DEP which assesses depression as an etiologic diagnosis. To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.

Note that in UDSv4 participants with normal cognition do not get assessed for depression on Form D1a. Refer to the NACCDEP variable from Form A5/D2 (collected using mainly particiapant and co-participant report) to determine whether a participant with normal cognition has depression. ","v1-3:
If NORMCOG=0 and DEP=1 then NACCDEPD=1;
If NORMCOG=0 and DEP is (0 or blank) then NACCDEPD=0;
Else if NORMCOG=1 then NACCDEPD=8

v4:
If NORMCOG=0 and (MAJDEPDX or OTHDEPDX=1) then NACCDEPD=1;
If NORMCOG=0 and (MAJDEPDX is blank and OTHDEPDX is blank) then NACCDEPD=0;
Else if NORMCOG=1 then NACCDEPD=8"
new,d1a,d1,4-Jan,"UDSv1: 19a
UDSv2: 20a
UDSv3: 26a
UDSv4: 10a, 11a","UDSv1: 19a
UDSv2: 20a
UDSv3: 26a
UDSv4: 10a, 11a",NACCDEPDIF,NACC derived variable,"Primary, contributing, or non-contributing cause of cognitive impairment - Depression (v1-4)",Numeric longitudinal,"1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no depression diagnosis
8 = Diagnosis of normal cognition","In v4, this variable is derived from the variables MAJDEPDX and OTHDEPDX, which are restricted to major depressive disorder or other depressive disorder diagnoses meeting DSM-5-TR criteria. In v1-3, this variable is derived using the variable DEP which assesses depression as an etiologic diagnosis. Participants who are cognitively impaired without depression have NACCDEPDIF = 7. Unimpaired participants are not assessed for primary, contributing, or non-contributing cause of cognitive impairment and will have NACCDEPDIF = 8. To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.

Note that in UDSv4 participants with normal cognition do not get assessed for depression on Form D1a. Refer to the NACCDEP variable from Form A5/D2 (collected using mainly particiapant and co-participant report) to determine whether a participant with normal cognition has depression.","v1-3:
If NORMCOG=0 and DEPIF in (1-3) then NACCDEPDIF=DEPIF;
If NORMCOG=0 and DEP is (0 or blank) then NACCDEPDIF=7;
Else if NORMCOG=1 then NACCDEPDIF=8

v4:
If NORMCOG=0 and MAJDEPDXIF in (1-3) and OTHDEPDX in (1-3) then NACCDEPDIF= the max value of MAJDEPDXIF and OTHDEPDX;
If NORMCOG=0 and MAJDEPDX is blank and OTHDEPDX is blank then NACCDEPDIF=7;
Else if NORMCOG=1 then NACCDEPD=8"
new,d1a,d1,4-Jan,"UDSv1: 25
UDSv2: 26
UDSv3: 20
UDSv4: 19","UDSv1: 25
UDSv2: 26
UDSv3: 20
UDSv4: 19",NACCTBIDX,NACC derived variable,Non-neurodegenerative or non-CVD conditions affecting cognitive impairment - Traumatic brain injury (TBI) (v1-4),Numeric longitudinal,"0 = No
1 = Yes
8 = Diagnosis of normal cognition","In v4, this variable is derived from the variable TBIDX which assesses TBI as a non-neurodegenerative or non-CVD condition affecting cognitive impairment. In v1-3, this variable is derived using the variable BRNINJ which assesses TBI as an etiologic diagnosis. TBI as an etiologic diagonsis was defined using the Menon criteria in in UDS v3, which is no longer used in UDS v4. For UDS visits conducted using v4 of the UDS forms and therefore the most current criteria, please refer to the CTE and CTEIF variables in Form D1b for etiologic diagnosis. To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.

Note that in UDSv4 participants with normal cognition do not get assessed for traumatic brain injury on Form D1a. Refer to the NACCTBI variable on Form A5/D2 (collected using mainly particiapant and co-participant report) to determine whether a participant with normal cognition has traumatic brain injury.","v1-3:
If NORMCOG=0 and BRNINJ=1 then NACCTBIDX=1;
If NORMCOG=0 and BRNINJ is (0 or blank) then NACCTBIDX=0;
Else if NORMCOG=1 then NACCTBIDX=8

v4:
If NORMCOG=0 and TBIDX=1 then NACCTBIDX=1;
If NORMCOG=0 and TBIDX is blank then NACCTBIDX=0;
Else if NORMCOG=1 then NACCTBIDX=8"
new,d1a,d1,4-Jan,"UDSv1: 25a
UDSv2: 26a
UDSv3: 20a
UDSv4: 19a","UDSv1: 25a
UDSv2: 26a
UDSv3: 20a
UDSv4: 19a",NACCTBIDXIF,NACC derived variable,"Primary, contributing, or non-contributing cause of cognitive impairment - Traumatic brain injury (TBI) (v1-4)",Numeric longitudinal,"1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no TBI
8 = Diagnosis of normal cognition","In v4, this variable is derived from the variable TBIDXIF which assesses TBI as a non-neurodegenerative or non-CVD condition affecting cognitive impairment. In v1-3, this variable is derived using the variable BRNINJIF which assesses TBI as an etiologic diagnosis. TBI as an etiologic diagonsis was defined using the Menon criteria in in UDS v3, which is no longer used in UDS v4. For UDS visits conducted using v4 of the UDS forms and therefore the most current criteria, please refer to the CTE and CTEIF variables in Form D1b for etiologic diagnosis. 

Participants who are cognitively impaired without TBI have NACCTBIDXIF = 7. Unimpaired participants are not assessed for primary, contributing, or non-contributing cause of cognitive impairment and will have NACCTBIDXIF = 8. To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.

Note that in UDSv4 participants with normal cognition do not get assessed for TBI on Form D1a. Refer to the NACCTBI variable from Form A5/D2 (collected using mainly particiapant and co-participant report) to determine whether a participant with normal cognition has traumatic brain injury.","v1-3:
If NORMCOG=0 and BRNINJIF in (1-3) then NACCTBIDXIF=BRNINJIF ;
If NORMCOG=0 and BRNINJIF is (0 or blank) then NACCTBIDXIF=7;
Else if NORMCOG=1 then NACCTBIDXIF=8

v4:
If NORMCOG=0 and TBIDXIF in (1-3) then NACCTBIDXIF=TBIDXIF ;
If NORMCOG=0 and TBIDX is blank and TBIDXIF is blank then NACCTBIDXIF=7;
Else if NORMCOG=1 then NACCTBIDXIF=8"
existing,d1a,d1,4-Jan,"2, 3, 4b, 5b","2, 3, 4b, 5b",NACCUDSD,NACC derived variable,Cognitive status at UDS visit,Numeric longitudinal,"1 = Normal cognition
2 = Impaired-not-MCI
3 = MCI
4 = Dementia",The participant’s cognitive status is determined at every visit. Participants with a clinical diagnosis of normal cognition have NACCUDSD = 1. Participants with either amnestic or non-amnestic MCI have NACCUDSD= 3 and those with a diagnosis of dementia have NACCUDSD = 4. Participants who are cognitively impaired but who do not meet the criteria for MCI have NACCUDSD = 2.,"v1-3: no change from current code

v4:
If NORMCOG=1 then NACCUDSD=1;
If IMPNOMCI=1 then NACCUDSD=2;
If MCI=1 then NACCUDSD=3;
If DEMENTED=1 then NACCUDSD=4"
existing,d1a,d1,4-Jan,"2, 8, 8d","2, 8, 8d",NACCPPA,NACC derived variable,Clinical syndrome - Primary progressive aphasia (PPA),Numeric longitudinal,"0 = No
1 = Yes
7 = Cognitively impaired but no predominant clinical syndrome 
8 = No diagnosis of cognitive or behavioral impairment","Please note that the use of the term PPA in the context of the continuum of MCI and dementia has never been explicitly addressed by experts in the field, so that in UDS v1.2 – 2 and v3, participants meeting criteria for PPA could be assigned syndromic diagnoses of either MCI or dementia. The NACCPPA variable combines participants diagnosed with PPA having any level of cognitive impairment (Impaired-not-MCI, MCI, or dementia). To determine whether the participant was cognitively impaired, not MCI, or had MCI or dementia, refer to the NACCUDSD variable.  

Please note that in UDS v1.2 and v2 PPA was assessed as a suspected underlying etiologic diagnosis (see PPAPH and PPAPHIF). In UDS v3 and v4, PPA is no longer collected as an etiologic diagnosis, but instead as a clinical syndrome. 

Participants with cognitive or behavioral impairment (MCI, dementia, MBI) and primary progressive aphasia (PPA) syndrome have NACCPPA = 1. Participants with cognitive or behavioral impairment but without PPA syndrome have NACCPPA = 0. Participants who are cognitively impaired but do not have clinical syndrome present have NACCPPA = 7. Participants without cognitive or behavioral impairment have NACCPPA = 8. 

Note that in UDS v4, clinicians should use clinical information and cognitive/neuropsychological testing to fill out the predominant clinical syndrome, ideally without reference to biomarker data (which is incorporated into the Etiological Diagnoses section in Form D1b). This is not always possible and thus Q9 allows centers to record when biomarker data is known and may have influenced the clinical diagnosis (see SYNINFCLIN, SYNINFCTST, SYNINFBIOM).  ","v1-3: no change from current code

v4:
If PPASYN=1 then NACCPPA=1;
If NORMCOG=0 and PREDOMSYN=1 and PPASYN is blank, then NACCPPA =0;
If NORMCOG=0 and PREDOMSYN=0 and PPASYN is blank, then NACCPPA =7;
Else if NORMCOG=1 then NACCPPA =8"
existing,d1a,d1,4-Mar,8d1,8d1,NACCPPAG,NACC derived variable,Clinical syndrome - Primary progressive aphasia (PPA) subtype according to the criteria outlined by Gorno-Tempini et al. 2011,Numeric longitudinal,"1 = Meets criteria for semantic PPA
2 = Meets criteria for logopenic PPA
3 = Meets criteria for nonfluent/agrammatic PPA
4 = PPA other/not otherwise specified
5 = Primary progressive apraxia of speech
7 = Cognitively impaired but no primary progressive aphasia (PPA) syndrome
8 = No diagnosis of cognitive or behavioral impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","Participants with a PPA dementia syndrome but who were assessed using UDS v1.2 or v2 (PPA subtype were not assessed according to the Gorno-Tempini criteria in UDS v1.2 – v2) will have NACCPPAG = -4. Please note that some participants assessed with UDS v2 also had an FTLD Module completed at that visit; the FTLD Module data can be requested from NACC for these participants to obtain their PPA subtype as defined by the Gorno-Tempini criteria.

Please note that only in UDS v1.2 and v2 could clinicians indicate that a participant had MCI with a suspected underlying etiologic diagnosis of PPA (PPAPHIF). These participants can be identified by referring to the MCI (NACCTMCI) and PPA (PPAPHIF) variables, and their PPA subtype can be determined by referring to the NACCPPAG variable. In UDS v3, PPA subtype is no longer collected for participants with MCI.","v1-3: no change from current code

v4:
If NORMCOG=0 and PREDOMSYN=1 and PPASYN is blank, then NACCPPAG=7;
If NORMCOG=1 and PPASYN is blank, then NACCPPAG=8;
Else NACCPPAG=PPASYNT"
existing,,d1,2-Jan,na,na,NACCPPME,NACC derived variable,Primary progressive aphasia (PPA) subtype according to older criteria outlined by Mesulam et al (2001 and 2003),Numeric longitudinal,"1 = Meets criteria for progressive nonfluent PPA
2 = Meets criteria for semantic dementia - anomia plus word comprehension
3 = Meets criteria for semantic dementia - agnostic variant
4 = PPA other/not otherwise specified (logopenic, anomic, transcortical, word deafness, syntactic comprehension, motor speech disorder)
6 = Participant had MCI but missing information on presence / absence of PPA
7 = Participant was cognitively impaired but did not have PPA
8 = No cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","Participants with MCI or Impaired-not-MCI but who are missing information on whether it was related to PPA or not have NACCPPME = 6. Participants without cognitive impairment (Impaired-not-MCI, MCI, or dementia) and participants with cognitive impairment but without a PPA syndrome have NACCPPME = 8 and NACCPPME = 7, respectively. Participants with a PPA dementia syndrome but who were assessed using UDS v3 or v4 have NACCPPME = -4 (PPA subtype were not assessed according to the Mesulam criteria; refer to NACCPPAG instead). Please note that some participants assessed with UDS v2 also had an FTLD Module completed at that visit; the FTLD Module data can be requested for these participants to obtain their PPA subtype as defined by the Gorno-Tempini criteria.","v1-2: no change from current code

v3-4: -4"
