form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,carry_forward
d1a,F,0a. D1a Clinical Diagnosis - Form date,FRMDATED1A,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,no
d1a,F,0b. D1a Clinical Diagnosis - Examiner's initials,INITIALSD1A,No,text,,String,,no
d1a,F,0c. D1a Clinical Diagnosis - Language,LANGD1A,Always,Integers 1-2,"1, English|2, Spanish",Integer,,no
d1a,F,1. Diagnosis method-responses in this form are based on diagnosis by a:,DXMETHOD,Always,Integers 1-3,"1, Single clinician|2, Formal consensus panel|3, Other <i>(e.g., Two or more clinicians or other informal group)</i>",Integer,,no
d1a,F,2. Does the participant have unimpaired cognition & behavior ,NORMCOG,Always,Integers 0-1,"0, No|1, Yes",Integer,,no
d1a,F,2a. Does the participant report 1) significant concerns about changes in cognition AND 2) no neuropsychological evidence of decline AND 3) no functional decline?,SCD,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[normcog]='1',no
d1a,F,"2b. As a clinician, are you confident that the subjective cognitive decline is clinically meaningful?",SCDDXCONF,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[scd]='1',no
d1a,F,3. Does the participant meet criteria for dementia?,DEMENTED,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[normcog] ='0',no
d1a,F,4a1. MCI criteria - Clinical concern about decline in cognition compared to participant's prior level of lifelong or usual cognitive function,MCICRITCLN,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '0',no
d1a,F,"4a2. MCI criteria - Impairment in one or more cognitive domains, compared to participant's estimated prior level of lifelong or usual cognitive function, or supported by objective longitudinal neuropsychological evidence of decline",MCICRITIMP,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '0',no
d1a,F,4a3. MCI criteria - Largely preserved functional independence OR functional dependence that is not related to cognitive decline,MCICRITFUN,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '0',no
d1a,F,4b. Does the participant meet criteria for MCI (amnestic or non-amnestic)?,MCI,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[demented] = '0',no
d1a,F,"5a1. Cognitively impaired, not MCI reason - Evidence of functional impairment (e.g., CDR SB>0 and/or FAS>0), but available cognitive testing is judged to be normal",IMPNOMCIFU,Conditional (e.g. skip pattern),1 or blank,,Integer,[mci]='0',no
d1a,F,"5a2. Cognitively impaired, not MCI reason - Cognitive testing is abnormal but no clinical concern or functional decline (e.g., CDR SB=0 and FAS=0)",IMPNOMCICG,Conditional (e.g. skip pattern),1 or blank,,Integer,[mci]='0',no
d1a,F,"5a3. Cognitively impaired, not MCI reason - Longstanding cognitive difficulties, not representing a change from their usual function",IMPNOMCLCD,Conditional (e.g. skip pattern),1 or blank,,Integer,[mci]='0',no
d1a,F,"5a4. Cognitively impaired, not MCI reason - Other",IMPNOMCIO,Conditional (e.g. skip pattern),1 or blank,,Integer,[mci]='0',no
d1a,F,"5a4a. Cognitively impaired, not MCI reason - Other (specify)",IMPNOMCIOX,Conditional (e.g. skip pattern),text,,String,[impnomcio] = '1',no
d1a,F,"5b. Cognitively impaired, not MCI",IMPNOMCI,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mci]='0',no
d1a,F,6a. Dementia and MCI affected domains - Memory,CDOMMEM,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,6b. Dementia and MCI affected domains - Language ,CDOMLANG,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,6c. Dementia and MCI affected domains - Attention,CDOMATTN,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,6d. Dementia and MCI affected domains - Executive ,CDOMEXEC,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,6e. Dementia and MCI affected domains - Visuospatial ,CDOMVISU,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,6f. Dementia and MCI affected domains - Behavioral ,CDOMBEH,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,6g. Dementia and MCI affected domains - Apraxia ,CDOMAPRAX,Conditional (e.g. skip pattern),1 or blank,,Integer,[demented] = '1' or [mci]='1',no
d1a,F,7. Does the participant meet criteria for MBI,MBI,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[normcog] ='0',no
d1a,F,7a. MBI affected domains - Motivation,BDOMMOT,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mbi] = '1',no
d1a,F,7b. MBI affected domains - Affective regulation,BDOMAFREG,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mbi] = '1',no
d1a,F,7c. MBI affected domains - Impulse control,BDOMIMP,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mbi] = '1',no
d1a,F,7d. MBI affected domains - Social appropriateness,BDOMSOCIAL,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mbi] = '1',no
d1a,F,7e. MBI affected domains - Thought content/perception,BDOMTHTS,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[mbi] = '1',no
d1a,F,8. Is there a predominant clinical syndrome?,PREDOMSYN,Conditional (e.g. skip pattern),Integers 0-1,"0, No|1, Yes",Integer,[normcog] ='0',no
d1a,F,8a. Amnestic predominant syndrome,AMNDEM,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8b. Dysexecutive predominant syndrome,DYEXECSYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8c. Primary visual presentation (such as posterior cortical atrophy (PCA) syndrome),PCA,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8d. Primary progressive aphasia (PPA) syndrome,PPASYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8d1. Primary progressive aphasia (PPA) syndrome - type,PPASYNT,Conditional (e.g. skip pattern),Integers 1-5,"1, Semantic PPA|2, Logopenic PPA|3, Nonfluent/agrammatic PPA|4, PPA other/not otherwise specified|5, Primary progressive apraxia of speech",Integer,[ppasyn] = '1',no
d1a,F,8e. Behavioral variant frontotemporal (bvFTD) syndrome,FTDSYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8f. Lewy body syndrome,LBDSYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8f1. Lewy body syndrome - type,LBDSYNT,Conditional (e.g. skip pattern),Integers 1-3,"1, Dementia with Lewy bodies|2, Parkinson's disease|3, Parkinson's disease dementia syndrome",Integer,[lbdsyn] = 1,no
d1a,F,"8g. Non-amnestic multidomain syndrome, not PCA, PPA, bvFT, or DLB syndrome",NAMNDEM,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8h. Primary supranuclear palsy (PSP) syndrome,PSPSYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8h1. Primary supranuclear palsy (PSP) syndrome - type,PSPSYNT,Conditional (e.g. skip pattern),Integers 1-2,"1, Richardson's syndrome criteria|2, Non-Richardson's",Integer,[pspsyn] = 1,no
d1a,F,8i. Traumatic encephalopathy syndrome,CTESYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8j. Corticobasal syndrome (CBS),CBSSYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8k. Multiple system atrophy (MSA) syndrome,MSASYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8k1. Multiple system atrophy (MSA) syndrome - type,MSASYNT,Conditional (e.g. skip pattern),Integers 1-3,"1, MSA-predominant cerebellar ataxia (MSA-C)|2, MSA-predominant Parkinsonism (MSA-P)|3, MSA-predominant dysautonomia",Integer,[msasyn] = 1,no
d1a,F,8l. Other syndrome,OTHSYN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,8l1. Other syndrome (specify),OTHSYNX,Conditional (e.g. skip pattern),text,,String,[othsyn] = 1,no
d1a,F,"9a. Indicate the source(s) of information used to assign the clinical syndrome - Clinical information (history, CDR)",SYNINFCLIN,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,9b. Indicate the source(s) of information used to assign the clinical syndrome - Cognitive testing,SYNINFCTST,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,"9c. Indicate the source(s) of information used to assign the clinical syndrome -   Biomarkers (MRI, PET, CSF, plasma)",SYNINFBIOM,Conditional (e.g. skip pattern),1 or blank,,Integer,[predomsyn]='1',no
d1a,F,10. Major depressive disorder (present),MAJDEPDX,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[normcog] ='0',no
d1a,F,10a. Major depressive disorder (primary/contributing/non-contributing),MAJDEPDIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[majdepdx]='1',no
d1a,F,11. Other specified depressive disorder (present),OTHDEPDX,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[normcog] ='0',no
d1a,F,11a. Other specified depressive disorder (primary/contributing/non-contributing),OTHDEPDIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[othdepdx]='1',no
d1a,F,12. Bipolar disorder (present),BIPOLDX,Conditional (e.g. skip pattern),"0, 1 or blank","1, Present",Integer,[normcog] ='0',no
d1a,F,12a. Bipolar disorder (primary/contributing/non-contributing),BIPOLDIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[bipoldx]='1',no
d1a,F,13. Schizophrenia or other psychotic disorder (present),SCHIZOP,Conditional (e.g. skip pattern),"0, 1 or blank","1, Present",Integer,[normcog] ='0',no
d1a,F,13a. Schizophrenia or other psychotic disorder (primary/contributing/non-contributing),SCHIZOIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[schizop]='1',no
d1a,F,14. Anxiety disorder (present),ANXIET,Conditional (e.g. skip pattern),"0, 1 or blank","1, Present",Integer,[normcog] ='0',no
d1a,F,14a. Anxiety disorder (primary/contributing/non-contributing),ANXIETIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[anxiet]='1',no
d1a,F,14b. Generalized Anxiety Disorder,GENANX,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[anxiet]='1',no
d1a,F,14c. Panic Disorder,PANICDISDX,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[anxiet]='1',no
d1a,F,14d. Obsessive-compulsive disorder (OCD),OCDDX,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[anxiet]='1',no
d1a,F,14e. Other anxiety disorder,OTHANXD,Conditional (e.g. skip pattern),1 or blank,"1, Present",Integer,[anxiet]='1',no
d1a,F,14e1. Other anxiety disorder (specify),OTHANXDX,Conditional (e.g. skip pattern),text,,String,[othanxd]='1',no
d1a,F,15. Post-traumatic stress disorder (PTSD) (present),PTSDDX,Conditional (e.g. skip pattern),"0, 1 or blank","1, Present",Integer,[normcog] ='0',no
d1a,F,15a. Post-traumatic stress disorder (PTSD) (primary/contributing/non-contributing),PTSDDXIF,Conditional (e.g. skip pattern),Integers 1-3,"1, Primary|2, Contributing|3, Non-contributing",Integer,[ptsddx]='1',no
