error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1a-i4vp-p-1001,1001,Error,d1a,I4,MCI ,Plausibility,If all MCI criteria met then MCI must be present,If (MCICRITCLN=1 and MCICRITIMP=1 and MCICRITFUN=1) then MCI must equal 1,If (Q4a1. MCICRITCLN (MCI criteria - Clinical concern about decline in cognition)=1 (Criteria met) and Q4a2. MCICRITIMP (MCI criteria - Impairment in one or more cognitive domains)=1 (Criteria met) and Q4a3. MCICRITFUN (MCI criteria - Preserved functional independence OR functional dependence not related to cog decline)=1 (Criteria met)) then Q4b. MCI  (MCI (amnestic or non-amnestic)?) must equal 1 (Yes),If (MCICRITCLN=1 and MCICRITIMP=1 and MCICRITFUN=1) and MCI ne 1,,"MCICRITCLN, MCICRITIMP, MCICRITFUN, MCI",No,No,
d1a-i4vp-p-1002,1002,Error,d1a,I4,MCI ,Plausibility,If less than 3 MCI criteria met then MCI must be absent,If (MCICRITCLN ne 1 or MCICRITIMP ne 1 or MCICRITFUN ne 1) then MCI must equal 0,If (Q4a1. MCICRITCLN (MCI criteria - Clinical concern about decline in cognition) ne 1 (Criteria not met) or Q4a2. MCICRITIMP (MCI criteria - Impairment in one or more cognitive domains) ne 1 (Criteria not met) or Q4a3. MCICRITFUN (MCI criteria - Preserved functional independence OR functional dependence not related to cog decline) ne 1 (Criteria not met)) then Q4b. MCI  (MCI (amnestic or non-amnestic)?) must equal 0 (No),If (MCICRITCLN ne 1 and MCICRITIMP ne 1 and MCICRITFUN ne 1) and MCI ne 0,,"MCICRITCLN, MCICRITIMP, MCICRITFUN, MCI",No,No,
d1a-i4vp-p-1003,1003,Error,d1a,I4,IMPNOMCI,Plausibility,If any IMPNOCI criteria met then IMPNOMCI must be present,If (IMPNOMCIFU=1 or IMPNOMCICG=1 or IMPNOMCLCD=1 or IMPNOMCIO=1) then IMPNOMCI should equal 1,"If Q5a1. IMPNOMCIFU (Cognitively impaired, not MCI reason - Evidence of functional impairment, but normal cognitive testing)=1 (Criteria met) or Q5a2. IMPNOMCICG (Cognitively impaired, not MCI reason - Abnormal cognitive testing but no clinical concern)=1 (Criteria met) or Q5a3. IMPNOMCLCD (Cognitively impaired, not MCI reason - Longstanding cognitive difficulties)=1 (Criteria met) or Q5a4. IMPNOMCIO (Cognitively impaired, not MCI reason - Other)=1 (Criteria met)) then Q5b. IMPNOMCI (Cognitively impaired, not MCI?) should equal 1 (Yes)",If (IMPNOMCIFU=1 or IMPNOMCICG=1 or IMPNOMCLCD=1 or IMPNOMCIO=1) and IMPNOMCI ne 1,,"IMPNOMCIFU, IMPNOMCICG, IMPNOMCLCD, IMPNOMCIO, IMPNOMCI",No,No,
d1a-i4vp-p-1004,1004,Alert,d1a,I4,IMPNOMCI,Plausibility,If only some MCI criteria met then IMPNOMCI should be present,If ((MCICRITCLN=1 and MCICRITIMP ne 1 and MCICRITFUN ne 1) or (MCICRITCLN ne 1 and MCICRITIMP=1 and MCICRITFUN ne 1) or (MCICRITCLN=1 and MCICRITIMP=1 and MCICRITFUN ne 1) or (MCICRITCLN ne 1 and MCICRITIMP=1 and MCICRITFUN=1) or (MCICRITCLN=1 and MCICRITIMP ne 1 and MCICRITFUN=1)) then IMPNOMCI should equal 1,"If only some MCI criteria met ((Q4a1. MCICRITCLN=1 and Q4a2. MCICRITIMP ne 1 and Q4a3. MCICRITFUN ne 1) or (Q4a1. MCICRITCLN ne 1 and Q4a2. MCICRITIMP=1 and Q4a3. MCICRITFUN ne 1) or (Q4a1. MCICRITCLN=1 and Q4a2. MCICRITIMP=1 and Q4a3. MCICRITFUN ne 1) or (Q4a1. MCICRITCLN ne 1 and Q4a2. MCICRITIMP=1 and Q4a3. MCICRITFUN=1) or (Q4a1. MCICRITCLN=1 and Q4a2. MCICRITIMP ne 1 and Q4a3. MCICRITFUN=1)) then Q5b. IMPNOMCI (Cognitively impaired, not MCI?) should equal 1 (Yes)",If ((MCICRITCLN=1 and MCICRITIMP ne 1 and MCICRITFUN ne 1) or (MCICRITCLN ne 1 and MCICRITIMP=1 and MCICRITFUN ne 1) or (MCICRITCLN=1 and MCICRITIMP=1 and MCICRITFUN ne 1) or (MCICRITCLN ne 1 and MCICRITIMP=1 and MCICRITFUN=1) or (MCICRITCLN=1 and MCICRITIMP ne 1 and MCICRITFUN=1)) and IMPNOMCI ne 1,,"MCICRITFUN, MCICRITCLN, MCICRITIMP, IMPNOMCI",No,No,
d1a-i4vp-p-1005,1005,Alert,d1a,I4,IMPNOMCI,Plausibility,If only the third MCI criteria is met then IMPNOMCI must be absent,If (MCICRITFUN=1 and MCICRITCLN ne 1 and MCICRITIMP ne 1) then IMPNOMCI must equal 0,"If (Q4a3. MCICRITFUN (MCI criteria - Preserved functional independence OR functional dependence not related to cog decline)=1 (Criteria met) and Q4a1. MCICRITCLN (MCI criteria - Clinical concern about decline in cognition) ne 1 (Criteria not met) and Q4a2. MCICRITIMP (MCI criteria - Impairment in one or more cognitive domains) ne 1 (Criteria not met)) then Q5b. IMPNOMCI (Cognitively impaired, not MCI?) must equal 0 (No)",If (MCICRITFUN=1 and MCICRITCLN ne 1 and MCICRITIMP ne 1) and IMPNOMCI ne 0,,"MCICRITFUN, MCICRITCLN, MCICRITIMP, IMPNOMCI",No,No,
d1a-i4vp-p-1006,1006,Alert,d1a,I4,NORMCOG,Plausibility,Cognitive diagnoses on D1a align with determination on C2/C2T,"If COGSTAT in (1,2) then NORMCOG should equal 1","If Form C2/C2T COGSTAT (overall appraisal) in (1,2) (Better than normal for age or normal for age), then Q2. NORMCOG (Unimpaired cognition & behavior?) should equal 1 (Yes)","If COGSTAT in (1,2) and NORMCOG ne 1","d1a, c2, c2t","COGSTAT, NORMCOG",No,No,
d1a-i4vp-p-1007,1007,Alert,d1a,I4,NORMCOG,Plausibility,Cognitive diagnoses on D1a align with MoCA scores on C2,If RMMODEC2C2T=2 or blank and MOCATOTS <4 then NORMCOG should not equal 1,If Form C2 Q1f. MOCATOTS (uncorrected MoCA total score) <4 then Q2. NORMCOG (Unimpaired cognition & behavior?) should not equal 1 (Yes),If RMMODEC2C2T=2 or blank and MOCATOTS <4 and NORMCOG=1,"d1a, c2","NORMCOG, MOCATOTS",No,No,
d1a-i4vp-p-1008,1008,Alert,d1a,I4,NORMCOG,Plausibility,Cognitive diagnoses on D1a align with MoCA scores on C2T,If RMMODEC2C2T=1 and MOCBTOTS <4 then NORMCOG should not equal 1,If Form C2T Q1d. MOCBTOTS (uncorrected MoCA blind total score) <4 then Q2. NORMCOG (Unimpaired cognition & behavior?) should not equal 1 (Yes),If RMMODEC2C2T=1 and MOCBTOTS <4 and NORMCOG=1,"d1a, c2t","NORMCOG, MOCBTOTS",No,No,
d1a-i4vp-p-1009,1009,Alert,d1a,I4,NORMCOG,Plausibility,Normal diagnosis on D1a aligns with DECCLCOG & DECCLBE on B9,If NORMCOG=1 then DECCLCOG & DECCLBE should equal 0,If Q2. NORMCOG (Unimpaired cognition & behavior?)=1 (Yes) then Form B9 Q8. DECCLCOG (Impaired cognition per clinician) and Form B9 Q11. DECCLBE (Participant experiencing behavioral symptoms per clinician) should equal 0 (No),If NORMCOG=1 and (DECCLCOG ne 0 and DECCLBE ne 0),"b9, d1a","NORMCOG, DECCLIN",,,
d1a-i4vp-p-1010,1010,Alert,d1a,I4,NORMCOG,Plausibility,Normal diagnosis on D1a aligns with DECCLCOG & DECCLBE on B9,If NORMCOG=0 then DECCLCOG or DECCLBE should equal 1,If Q2. NORMCOG (Unimpaired cognition & behavior?)=0 (No) then either Form B9 Q8. DECCLCOG (Impaired cognition per clinician) or Form B9 Q11. DECCLBE (Participant experiencing behavioral symptoms per clinician) should equal 1 (Yes),If NORMCOG=0 and (DECCLCOG=1 or DECCLBE=1),"b9, d1a","NORMCOG, DECCLIN",,,
d1a-i4vp-p-1011,1011,Alert,d1a,I4,DEMENTED,Plausibility,Dementia diagnosis aligns with the previous UDSv3 visit,If DEMENTED[UDSv3]=1 then NORMCOG should not equal 1,"If UDSv3 Q3. DEMENTED (Dementia?)=1 (Yes) at the previous UDS visit, then Q2. NORMCOG (Unimpaired cognition & behavior?) should not equal 1 (Yes)",If DEMENTED[UDSv3]=1 and NORMCOG=1,"d1a, d1[UDSv3]","DEMENTED, NORMCOG",,,
