error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1a-ivp-m-001,001,Error,d1a,I,FRMDATED1A,Missingness,FRMDATED1A must be present,FRMDATED1A cannot be blank,Q0a. FRMDATED1A (D1a form date) cannot be blank ,If FRMDATED1A = blank,,,Yes,No,
d1a-ivp-c-002,002,Error,d1a,I,FRMDATED1A,Conformity,FRMDATED1A conforms,FRMDATED1A must be a date,Q0a. FRMDATED1A (D1a form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATED1A is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
d1a-ivp-m-003,003,Error,d1a,I,LANGD1A,Missingness,LANGD1A must be present,LANGD1A cannot be blank,Q0c. LANGD1A (Language of D1a administration) cannot be blank,If LANGD1A = blank,,,Yes,Yes,
d1a-ivp-c-004,004,Error,d1a,I,LANGD1A,Conformity,LANGD1A conforms,LANGD1A must be an integer between 1-2,Q0c. LANGD1A (Language of D1a administration) must be an integer between 1-2,If LANGD1A < 1 or LANGD1A > 2,,,Yes,Yes,
d1a-ivp-m-005,005,Error,d1a,I,DXMETHOD,Missingness,DXMETHOD must be present,DXMETHOD cannot be blank,Q1. DXMETHOD (Diagnosis method) cannot be blank,If DXMETHOD=blank,,,Yes,Yes,
d1a-ivp-c-006,006,Error,d1a,I,DXMETHOD,Conformity,DXMETHOD conforms,DXMETHOD must be an integer between 1-3,Q1. DXMETHOD (Diagnosis method) must be an integer between 1 and 3,If DXMETHOD <1 or DXMETHOD >3,,,Yes,Yes,
d1a-ivp-m-007,007,Error,d1a,I,NORMCOG,Missingness,NORMCOG must be present,NORMCOG cannot be blank,Q2. NORMCOG (Unimpaired cognition & behavior?) cannot be blank,If NORMCOG=blank,,,Yes,Yes,
d1a-ivp-c-008,008,Error,d1a,I,NORMCOG,Conformity,NORMCOG conforms,NORMCOG must be an integer between 0-1,Q2. NORMCOG (Unimpaired cognition & behavior?) must be an integer between 0 and 1,If NORMCOG <0 or NORMCOG >1,,,Yes,Yes,
d1a-ivp-m-009,009,Error,d1a,I,SCD,Missingness,SCD conditionally present,If NORMCOG=1 then SCD cannot be blank,If Q2. NORMCOG (Unimpaired cognition & behavior?)=1 (Yes) then Q2a. SCD (Subjective cognitive decline?) cannot be blank,If NORMCOG=1 and SCD=blank,,"NORMCOG, SCD",Yes,No,
d1a-ivp-m-010,010,Error,d1a,I,SCD,Missingness,SCD conditionally blank,If NORMCOG=0 then SCD must be blank,If Q2. NORMCOG (Unimpaired cognition & behavior?)=0 (No) then Q2a. SCD (Subjective cognitive decline?) must be blank,If NORMCOG=0 and SCD is not blank,,"NORMCOG, SCD",Yes,No,
d1a-ivp-c-011,011,Error,d1a,I,SCD,Conformity,SCD conforms,SCD must be an integer between 0-1,Q2a. SCD (Subjective cognitive decline?) must be an integer between 0 and 1,If SCD <0 or SCD >1,,,Yes,No,
d1a-ivp-m-012,012,Error,d1a,I,SCDDXCONF,Missingness,SCDDXCONF conditionally present,If SCD=1 then SCDDXCONF cannot be blank,If Q2a. SCD (Subjective cognitive decline?)=1 (Yes) then Q2b. SCDDXCONF (Is the subjective cognitive decline clinically meaningful?) cannot be blank,If SCD=1 and SCDDXCONF=blank,,"SCD, SCDDXCONF",Yes,No,
d1a-ivp-m-013,013,Error,d1a,I,SCDDXCONF,Missingness,SCDDXCONF conditionally blank,If SCD ne 1 then SCDDXCONF must be blank,If Q2a. SCD (Subjective cognitive decline?) not = 1 then Q2b. SCDDXCONF (Is the subjective cognitive decline clinically meaningful?) must be blank,If SCD ne 1 and SCDDXCONF is not blank,,"SCD, SCDDXCONF",Yes,No,
d1a-ivp-m-014,014,Error,d1a,I,SCDDXCONF,Conformity,SCDDXCONF conforms,SCDDXCONF must be an integer between 0-1,Q2b. SCDDXCONF (Is the subjective cognitive decline clinically meaningful?) must be an integer between 0 and 1,If SCDDXCONF <0 or SCDDXCONF >1,,,Yes,No,
d1a-ivp-m-015,015,Error,d1a,I,DEMENTED,Missingness,DEMENTED conditionally present,If NORMCOG=0 then DEMENTED cannot be blank,If Q2. NORMCOG (Unimpaired cognition & behavior?)=0 (No) then Q3. DEMENTED (Dementia?) cannot be blank,If NORMCOG=0 and DEMENTED=blank,,"NORMCOG, DEMENTED",Yes,Yes,
