"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
d1a_header,d1a_clinical_syndrome,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 144.546px;"" border=""1""> <tbody> <tr style=""height: 24.1818px;""> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">Form date:</span></td> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">{frmdated1a:icons}</span></td> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">Examiner's initials:</span></td> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">{initialsd1a:icons}</span></td> </tr> <tr style=""height: 57.0682px;""> <td style=""width: 25.0515%; height: 57.0682px;""><span style=""font-weight: normal;"">Language: </span></td> <td style=""height: 57.0682px; width: 75.1544%;"" colspan=""3""><span style=""font-weight: normal;"">{langd1a:icons}</span></td> </tr> <tr style=""height: 63.2955px;""> <td style=""width: 25.0515%; height: 63.2955px;""><span style=""font-weight: normal;"">Mode: </span></td> <td style=""width: 25.0515%; height: 63.2955px;""><span style=""font-weight: normal;"">{moded1a:icons}</span></td> <td style=""width: 25.0515%; height: 63.2955px;""> <p><span style=""font-weight: normal;"">{rmreasd1a_desc}<br />{rmreasd1a:icons}</span></p> </td> <td style=""width: 25.0515%; height: 63.2955px;""> <p><span style=""font-weight: normal;"">{rmmoded1a_desc}<br /></span><span style=""font-weight: normal;"">{rmmoded1a:icons}</span></p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
frmdated1a,d1a_clinical_syndrome,,text,"0a. D1a Clinical Diagnosis - Form date",,,date_mdy,,,,,y,,,,,
initialsd1a,d1a_clinical_syndrome,,text,"0b. D1a Clinical Diagnosis - Examiner's Initials",,,,,,,,,,,,,
langd1a,d1a_clinical_syndrome,,radio,"0c. D1a Clinical Diagnosis - Language","1, English | 2, Spanish",,,,,,,y,,,,,
moded1a,d1a_clinical_syndrome,,radio,"0d. D1a Clinical Diagnosis - In-person or remote?","1, In-person | 2, Remote",,,,,,,y,,,,,
rmreasd1a,d1a_clinical_syndrome,,radio,"0d1. If 'D1a Clinical Diagnosis'  form was completed remotely, specify reason","1, Too cognitively impaired | 2, Too physically impaired | 3, Homebound or nursing home | 4, Refused in-person visit | 5, Other",,,,,,[moded1a]='2',y,,,,,
rmreasd1a_desc,d1a_clinical_syndrome,,descriptive,"Select the reason why this form was completed remotely:",,,,,,,[moded1a]='2',,,,,,
rmmoded1a,d1a_clinical_syndrome,,radio,"0d1a. What modality was used to collect this remote 'D1a Clinical Diagnosis' form?","1, Telephone | 2, Video",,,,,,[moded1a]='2',y,,,,,
rmmoded1a_desc,d1a_clinical_syndrome,,descriptive,"Select the modality used to collect this form remotely:",,,,,,,[moded1a]='2',,,,,,
d1a_instr,d1a_clinical_syndrome,,descriptive,"<div class=""rich-text-field-label""><p><em>INSTRUCTIONS:</em> <em><span style=""font-weight: normal;"">This form is to be completed by the clinician. For additional clarification and examples, see the</span></em> UDS Coding Guidebook<em><span style=""font-weight: normal;""> for </span></em>Form D1a<em><span style=""font-weight: normal;"">. Select only <span style=""text-decoration: underline;"">one</span> answer per question unless otherwise specified.</span></em></p></div>",,,,,,,,,,,,,
