form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,carry_forward
d1b,F,0a. D1b Biomarker and Etiological Diagnosis - Form date,FRMDATED1B,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,no
d1b,F,0b. D1b Biomarker and Etiological Diagnosis - Examiner's initials,INITIALSD1B,No,text,,String,,no
d1b,F,0c. D1b Biomarker and Etiological Diagnosis - Language,LANGD1B,Always,Integers 1-2,"1, English|2, Spanish",Integer,,no
d1b,F,1. Were any biomarker results used to support the current etiological diagnosis?,BIOMARKDX,Always,Integers 0-1,"0, No|1, Yes",Integer,,yes
d1b,F,2. Fluid Biomarkers - Were fluid biomarkers used for assessing the etiological diagnosis?,FLUIDBIOM,Conditional (e.g. skip pattern),Integers 0-3,"0, No|1, Yes, only blood-based biomarkers were used|2, Yes, only CSF-based biomarkers were used|3, Yes, both blood- and CSF-based biomarkers were used",Integer,[biomarkdx]=1,yes
d1b,F,3a. Blood-based biomarkers - Consistent with AD,BLOODAD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3,yes
d1b,F,3b. Blood-based biomarkers - Consistent with FTLD,BLOODFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3,yes
d1b,F,3c. Blood-based biomarkers - Consistent with LBD,BLOODLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3,yes
d1b,F,3d. Blood-based biomarkers - Consistent with other etiology,BLOODOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3,yes
d1b,F,3d1. Blood-based biomarkers - Consistent with other etiology (specify),BLOODOTHX,Conditional (e.g. skip pattern),Any text,,String,[bloodoth]='0' or [bloodoth]='1' or [bloodoth]='9',yes
d1b,F,4a. CSF-based biomarkers - Consistent with AD,CSFAD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3,yes
d1b,F,4b. CSF-based biomarkers - Consistent with FTLD,CSFFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3,yes
d1b,F,4c. CSF-based biomarkers - Consistent with LBD,CSFLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3,yes
d1b,F,4d. CSF-based biomarkers - Consistent with other etiology,CSFOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3,yes
d1b,F,4d1. CSF-based biomarkers - Consistent with other etiology (specify),CSFOTHX,Conditional (e.g. skip pattern),Any text,,String,[csfoth]='0' or [csfoth]='1' or [csfoth]='9',yes
d1b,F,5. Imaging - Was imaging used for assessing etiological diagnosis?,IMAGINGDX,Conditional (e.g. skip pattern),Integers 0-3,"0, No|1, Yes, only PET/SPECT imaging was used|2, Yes, only MR imaging was used|3, Yes, both PET/SPECT and MR imaging were used",Integer,[biomarkdx]='1',yes
d1b,F,6a. Tracer-based PET - Were tracer-based PET measures used in assessing an etiological diagnosis?,PETDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[biomarkdx]='1' and ([imagingdx]='1' or [imagingdx]='3'),yes
d1b,F,6a1. Elevated amyloid,AMYLPET,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8 | Not assessed | 9, Indeterminate",Integer,[petdx]=1 or [petdx]=2,yes
d1b,F,6a2. Elevated tau pathology,TAUPET,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8 | Not assessed | 9, Indeterminate",Integer,[petdx]=1 or [petdx]=2,yes
d1b,F,6b. FDG PET - Was FDG PET data or information used to support an etiological diagnosis?,FDGPETDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[imagingdx]='1' or [imagingdx]='3',yes
d1b,F,6b1. FDG PET - Consistent with AD,FDGAD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2,yes
d1b,F,6b2. FDG PET - Consistent with FTLD,FDGFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2,yes
d1b,F,6b3. FDG PET - Consistent with LBD,FDGLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2,yes
d1b,F,6b4. FDG PET - Consistent with other etiology,FDGOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[fdgpetdx]=1 or [fdgpetdx]=2,yes
d1b,F,6b4a. FDG PET - Consistent with other etiology (specify),FDGOTHX,Conditional (e.g. skip pattern),Any text,,String,[fdgoth]='0' or [fdgoth]='1' or [fdgoth]='9',yes
d1b,F,6c. Dopamine Transporter (DAT) Scan - Was DAT Scan data or information used to support an etiological diagnosis?,DATSCANDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[biomarkdx]='1' and ([imagingdx]='1' or [imagingdx]='3'),yes
d1b,F,6d. Other tracer-based imaging - Were other tracer-based imaging used to support an etiological diagnosis?,TRACOTHDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[biomarkdx]='1' and ([imagingdx]='1' or [imagingdx]='3'),yes
d1b,F,6d1a. Other tracer-based imaging - Were other tracer-based imaging used to support an etiological diagnosis? (specify),TRACOTHDXX,Conditional (e.g. skip pattern),Any text,,String,[tracothdx]='1' or [tracothdx]='2',yes
d1b,F,6d1. Other tracer-based imaging - Consistent with AD,TRACERAD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2',yes
d1b,F,6d2. Other tracer-based imaging - Consistent with FTLD,TRACERFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2',yes
d1b,F,6d3. Other tracer-based imaging - Consistent with LBD,TRACERLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2',yes
d1b,F,6d4. Other tracer-based imaging - Consistent with other etiology,TRACEROTH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[tracothdx]='1' or [tracothdx]='2',yes
d1b,F,6d4a. Other tracer-based imaging - Consistent with other etiology (specify),TRACEROTHX,Conditional (e.g. skip pattern),Any text,,String,[traceroth]='0' or [traceroth]='1' or [traceroth]='9',yes
d1b,F,"7a. Structural Imaging (i.e., MRI or CT) - Was structural imaging data or information used to support an etiological diagnosis?",STRUCTDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[imagingdx]=2 or [imagingdx]=3,yes
d1b,F,7a1. Atrophy pattern conistent with AD,STRUCTAD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structdx]='1' or [structdx]='2',yes
d1b,F,7a2. Atrophy pattern consistent with FTLD,STRUCTFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structdx]='1' or [structdx]='2',yes
d1b,F,7a3. Consistent with cerebrovascular disease (CVD),STRUCTCVD,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structdx]='1' or [structdx]='2',yes
d1b,F,7a3a. Large vessel infarct(s),IMAGLINF,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structcvd]='1',yes
d1b,F,7a3b. Lacunar infarct(s),IMAGLAC,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structcvd]='1',yes
d1b,F,7a3c. Macrohemorrhage(s),IMAGMACH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structcvd]='1',yes
d1b,F,7a3d. Microhemorrhage(s),IMAGMICH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structcvd]='1',yes
d1b,F,7a3e. White-matter hyperintensity ,IMAGWMH,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, Not consistent|1, Yes, consistent|8 | Not assessed | 9, Indeterminate",Integer,[structcvd]='1',yes
