error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1b-i4vp-p-1001,1001,Alert,d1b,I4,ALZDIS,Plausibility,ALZDIS compared to AD biomarkers,"If BLOODAD or CSFAD or FDGAD or TRACERAD or STRUCTAD or BIOMAD1 or BIOMAD2 or BIOMAD3 = 1, ALZDIS should =1","If Q3a. BLOODAD (Blood-based biomarkers - Consistent with AD) =1 or Q4a. CSFAD (CSF-based biomarkers - Consistent with AD) =1 or Q6b1. FDGAD (FDG PET - Consistent with AD) =1 or Q6d1. TRACERAD (Other tracer-based imaging - Consistent with AD) =1 or Q7a1. STRUCTAD (Atrophy pattern conistent with AD) =1 or Q8a. BIOMAD1 (Other biomarker modality - Consistent with AD) =1 or Q9a. BIOMAD2 (Other biomarker modality - Consistent with AD) =1 or Q10a. BIOMAD3 (Other biomarker modality - Consistent with AD) =1, then Q12. ALZDIS (Alzheimer's disease) should = 1",If (BLOODAD or CSFAD or FDGAD or TRACERAD or STRUCTAD or BIOMAD1 or BIOMAD2 or BIOMAD3) = 1 and ALZDIS not =1,,"BLOODAD, CSFAD, FDGAD, TRACERAD, STRUCTAD, BIOMAD1, BIOMAD2, BIOMAD3, ALZDIS ",No,No,
d1b-i4vp-p-1002,1002,Alert,d1b,I4,LBDIS,Plausibility,LBDIS compared to LBD biomarkers,"If BLOODLBD or CSFLBD or FDGLBD or TRACERLBD or BIOMLBD1 or BIOMLBD2 or BIOMLBD3, LBDIS should = 1","If Q3c. BLOODLBD (Blood-based biomarkers - Consistent with LBD) =1 or Q4c. CSFLBD (CSF-based biomarkers - Consistent with LBD) =1 or Q6b3. FDGLBD (FDG PET - Consistent with LBD) =1 or Q6d3. TRACERLBD (Other tracer-based imaging - Consistent with LBD) =1 or Q8c. BIOMLBD1 (Other biomarker modality - Consistent with LBD) =1 or Q9c. BIOMLBD2 (Other biomarker modality - Consistent with LBD) =1 or Q10c. BIOMLBD3 (Other biomarker modality - Consistent with LBD) =1, then Q13. LBDIS (Lewy body disease) should = 1",If (BLOODLBD or CSFLBD or FDGLBD or TRACERLBD or BIOMLBD1 or BIOMLBD2 or BIOMLBD3) =1 and LBDIS not = 1,,"BLOODLBD, CSFLBD, FDGLBD, TRACERLBD, BIOMLBD1, BIOMLBD2, BIOMLBD3, LBDIS",No,No,
d1b-i4vp-p-1003,1003,Alert,d1b,I4,FTLD,Plausibility,FTLD compared to FTLD biomarkers,"If BLOODFTLD or CSFFTLD or FDGFTLD or TRACERFTLD or STRUCTFTLD or BIOMFTLD1 or BIOMFTLD2 or BIOMFTLD3 = 1, FTLD should = 1","If Q3b. BLOODFTLD (Blood-based biomarkers - Consistent with FTLD) =1 or Q4b. CSFFTLD (CSF-based biomarkers - Consistent with FTLD) =1 or Q6b2. FDGFTLD (FDG PET - Consistent with FTLD) =1 or Q6d2. TRACERFTLD (Other tracer-based imaging - Consistent with FTLD) =1 or Q7a2. STRUCTFTLD (Atrophy pattern consistent with FTLD) =1 or Q8b. BIOMFTLD1 (Other biomarker modality - Consistent with FTLD) =1 or Q9b. BIOMFTLD2 (Other biomarker modality - Consistent with FTLD) =1 or Q10b. BIOMFTLD3 (Other biomarker modality - Consistent with FTLD) =1, then Q14. FTLD (Frontotemporal lobar degeneration) should = 1",If (BLOODFTLD or CSFFTLD or FDGFTLD or TRACERFTLD or STRUCTFTLD or BIOMFTLD1 or BIOMFTLD2 or BIOMFTLD3) = 1 and FTLD not = 1,,"BLOODFTLD, CSFFTLD, FDGFTLD, TRACERFTLD, STRUCTFTLD, BIOMFTLD1, BIOMFTLD2, BIOMFTLD3, FTLD",No,No,
d1b-i4vp-p-1004,1004,Alert,d1b,I4,CVD,Plausibility,CVD compared to CVD biomarkers,"If STRUCTCVD=1, CVD should = 1",If Q7a3. STRUCTCVD (Consistent with cerebrovascular disease (CVD)) =1 then Q15. CVD (Vascular brain injury) should = 1,If STRUCTCVD=1 and CVD not = 1,,"STRUCTCVD, CVD ",No,No,
d1b-i4vp-p-1005,1005,Alert,d1b,I4,CSFAD,Plausibility,CSFAD compared to previous visit,"If AMYLCSF[UDSv3] or CSFTAU[UDSv3] = 1, then CSFAD should =1","If Q6b. AMYLCSF (abnormally low amyloid CSF) or Q6f. CSFTAU (abnormally elevated CSF tau or ptau) at previous visit = 1, then Q4a. CSFAD (CSF-based biomarkers - Consistent with AD) should =1",If AMYLCSF[UDSv3] or CSFTAU[UDSv3] = 1 and CSFAD not =1,"d1b, d1[UDSv3]","AMYLCSF[UDSv3], CSFTAU[UDSv3], CSFAD",,,
d1b-i4vp-p-1006,1006,Alert,d1b,I4,AMYLPET,Plausibility,AMYLPET compared to previous visit,"If AMYLPET[UDSv3] = 1, then AMYLPET should =1","If Q6a. AMYLPET (abnormal amyloid PET) at previous visit = 1, then Q6a1. AMYLPET (Elevated amyloid) should =1",If AMYLPET[UDSv3] = 1 and AMYLPET not =1,"d1b, d1[UDSv3]","AMYLPET[UDSv3], AMYLPET",,,
d1b-i4vp-p-1007,1007,Alert,d1b,I4,TAUPET,Plausibility,TAUPET compared to previous visit,"If TAUPETAD[UDSv3] = 1, then TAUPET should =1","If Q6e. TAUPETAD (Tau PET evidence for AD) at previous visit = 1, then Q6a2. TAUPET (Elevated tau pathology) should =1",If TAUPETAD[UDSv3] = 1 and TAUPET not =1,"d1b, d1[UDSv3]","TAUPETAD[UDSv3], TAUPET",,,
d1b-i4vp-p-1008,1008,Alert,d1b,I4,FDGAD,Plausibility,FDGAD compared to previous visit,"If FDGAD[UDSv3] = 1, then FDGAD should =1","If Q6c. FDGAD (FDG-PET pattern of AD) at previous visit = 1, then Q6b1. FDGAD (FDG PET - Consistent with AD should =1",If FDGAD[UDSv3] = 1 and FDGAD not =1,"d1b, d1[UDSv3]","FDGAD[UDSv3], FDGAD",,,
d1b-i4vp-p-1009,1009,Alert,d1b,I4,DATSCANDX,Plausibility,DATSCANDX compared to previous visit,"If DATSCAN[UDSv3]  = 1, then DATSCANDX should =1","If Q6j. DATSCAN (DATscan) at previous visit = 1, then Q6c. DATSCANDX (Was DAT Scan data or information used to support an etiological diagnosis?) should =1",If DATSCAN[UDSv3] = 1 and DATSCANDX not =1,"d1b, d1[UDSv3]","DATSCAN[UDSv3], DATSCANDX",,,
d1b-i4vp-p-1010,1010,Alert,d1b,I4,IMAGLINF,Plausibility,IMAGLINF compared to previous visit,"If IMAGLINF[UDSv3]  = 1, then IMAGLINF should =1","If Q7a. IMAGLINF (large vessel infarct) at previous visit = 1, then Q7a3a. IMAGLINF (Large vessel infarct(s)) should =1",If IMAGLINF[UDSv3] = 1 and IMAGLINF not =1,"d1b, d1[UDSv3]","IMAGLINF[UDSv3], IMAGLINF",,,
d1b-i4vp-p-1011,1011,Alert,d1b,I4,IMAGMACH,Plausibility,IMAGMACH compared to previous visit,"If IMAGMACH[UDSv3]  = 1, then IMAGMACH should =1","If Q7c. IMAGMACH (macrohemorrhage) at previous visit = 1, then Q7a3c. IMAGMACH (Macrohemorrhage(s)) should =1",If IMAGMACH[UDSv3] = 1 and IMAGMACH not =1,"d1b, d1[UDSv3]","IMAGMACH[UDSv3], IMAGMACH",,,
d1b-i4vp-p-1012,1012,Alert,d1b,I4,IMAGMICH,Plausibility,IMAGMICH compared to previous visit,"If IMAGMICH[UDSv3]  = 1, then IMAGMICH should =1","If Q7d.  IMAGMICH (microhemorrhage) at previous visit = 1, then Q7a3d. IMAGMICH (Microhemorrhage(s)) should =1",If IMAGMICH[UDSv3] = 1 and IMAGMICH not =1,"d1b, d1[UDSv3]","IMAGMICH[UDSv3], IMAGMICH",,,
d1b-i4vp-p-1013,1013,Alert,d1b,I4,IMAGWMH,Plausibility,IMAGWMH compared to previous visit,"If IMAGMWMH[UDSv3] or IMAGEWMH[UDSv3]  = 1, then IMAGWMH should =1","If Q7e. IMAGMWMH (moderate white matter hyperintensities) or Q7f.  IMAGEWMH (extensive white matter hyperintensities) at previous visit = 1, then Q7a3e. IMAGWMH (White-matter hyperintensity) should =1",If IMAGMWMH[UDSv3] or IMAGEWMH[UDSv3] = 1 and IMAGWMH not =1,"d1b, d1[UDSv3]","IMAGMWMH[UDSv3], IMAGEWMH[UDSv3], IMAGWMH",,,
d1b-i4vp-p-1014,1014,Alert,d1b,I4,AUTDOMMUT,Plausibility,AUTDOMMUT compared to previous visit,"If ADMUT[UDSv3]  or FTLDMUT[UDSv3]  or OTHMUT[UDSv3]  = 1, then AUTDOMMUT should =1","If Q8. ADMUT (dominantly inherited AD mutation) or Q9. FTLDMUT (dominantly inherited FTLD mutation) or Q10. OTHMUT (hereditary mutation other than an AD or FTLD mutation) at previous visit = 1, then Q11. AUTDOMMUT (Is there an autosomal dominant pathogenic variant to support an etiological diagnosis?) should =1",If ADMUT[UDSv3] or FTLDMUT[UDSv3] or OTHMUT[UDSv3] = 1 and AUTDOMMUT not =1,"d1b, d1[UDSv3]","ADMUT[UDSv3], FTLDMUT[UDSv3], OTHMUT[UDSv3], AUTDOMMUT",,,
