error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1b-ivp-m-001,001,Error,d1b,I,FRMDATED1B,Missingness,FRMDATED1B must be present,FRMDATED1B cannot be blank,Q0a. FRMDATED1B (D1b form date) cannot be blank ,If FRMDATED1B = blank,,,Yes,No,
d1b-ivp-c-002,002,Error,d1b,I,FRMDATED1B,Conformity,FRMDATED1B conforms,FRMDATED1B must be a date,Q0a. FRMDATED1B (D1b form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATED1B is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
d1b-ivp-m-003,003,Error,d1b,I,LANGD1B,Missingness,LANGD1B must be present,LANGD1B cannot be blank,Q0c. LANGD1B (Language of D1b administration) cannot be blank,If LANGD1B = blank,,,Yes,Yes,
d1b-ivp-c-004,004,Error,d1b,I,LANGD1B,Conformity,LANGD1B conforms,LANGD1B must be an integer between 1-2,Q0c. LANGD1B (Language of D1b administration) must be an integer between 1-2,If LANGD1B < 1 or LANGD1B > 2,,,Yes,Yes,
d1b-ivp-m-005,005,Error,d1b,I,BIOMARKDX,Missingness,BIOMARKDX must be present,BIOMARKDX cannot be blank,Q1. BIOMARKDX (Were any biomarker results used?) cannot be blank,If BIOMARKDX=blank, , ,Yes,No,
d1b-ivp-c-006,006,Error,d1b,I,BIOMARKDX,Conformity,BIOMARKDX conforms,BIOMARKDX must be an integer between 0 and 1,Q1. BIOMARKDX (Were any biomarker results used?) must be an integer between 0 and 1,If BIOMARKDX <0 or BIOMARKDX>1, , ,Yes,No,
d1b-ivp-m-007,007,Error,d1b,I,FLUIDBIOM,Missingness,FLUIDBIOM conditionally present,"If BIOMARKDX =1, FLUIDBIOM cannot be blank","If Q1. BIOMARKDX (Were any biomarker results used?) =1, Q2. FLUIDBIOM (Were fluid biomarkers used for assessing the etiological diagnosis?) cannot be blank",If BIOMARKDX =1 and FLUIDBIOM=blank, ,"BIOMARKDX, FLUIDBIOM",Yes,No,
d1b-ivp-m-008,008,Error,d1b,I,FLUIDBIOM,Missingness,FLUIDBIOM conditionally missing,"If BIOMARKDX =0, FLUIDBIOM must be blank","If Q1. BIOMARKDX (Were any biomarker results used?) =0, Q2. FLUIDBIOM (Were fluid biomarkers used for assessing the etiological diagnosis?) must be blank",If BIOMARKDX =0 and FLUIDBIOM not blank, ,"BIOMARKDX, FLUIDBIOM",Yes,No,
d1b-ivp-c-009,009,Error,d1b,I,FLUIDBIOM,Conformity,FLUIDBIOM conforms,FLUIDBIOM must be an integer between 0 and 3,Q2. FLUIDBIOM (Were fluid biomarkers used for assessing the etiological diagnosis?) must be an integer between 0 and 3,If FLUIDBIOM <0 or FLUIDBIOM>3, , ,Yes,No,
d1b-ivp-m-010,010,Error,d1b,I,BLOODAD,Missingness,BLOODAD conditionally present,"If FLUIDBIOM =1 or 3, BLOODAD cannot be blank","If Q2. FLUIDBIOM (Were fluid biomarkers used for assessing the etiological diagnosis?) =1 or 3, Q3a. BLOODAD (Blood-based biomarkers - Consistent with AD) cannot be blank",If FLUIDBIOM =1 or 3 and BLOODAD=blank, ,"FLUIDBIOM, BLOODAD",Yes,No,
