form_name,packet,question,var_name,missingness,conformity,resonse_labels,data_type,branching_logic
d1b,I,0a. D1b Biomarker and Etiological Diagnosis - Form date,FRMDATED1B,Always,mm/dd/yyyy,,Date,
d1b,I,0b. D1b Biomarker and Etiological Diagnosis - Examiner's initials,INITIALSD1B,No,text,,String,
d1b,I,0c. D1b Biomarker and Etiological Diagnosis - Language,LANGD1B,Always,Integers 1-2,"1, English|2, Spanish",Integer,
d1b,I,0d. D1b Biomarker and Etiological Diagnosis - In-person or remote?,MODED1B,Always,Integers 1-2,"1, In-person|2, Remote",Integer,
d1b,I,"0d1. If 'D1b Biomarker and Etiological Diagnosis' form was completed remotely, specify reason",RMREASD1B,Condtional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[moded1b]='2'
d1b,I,0d1a. What modality was used to collect this remote 'D1b Biomarker and Etiological Diagnosis' form?,RMMODED1B,Condtional,Integers 1-2,"1, Telephone|2, Video",Integer,[moded1b]='2'
d1b,I,1. Were any biomarker results used to support the current etiological diagnosis?,BIOMARKDX,Always,0 or 1,"0, No|1, Yes",Integer,
d1b,I,2. Fluid Biomarkers - Were fluid biomarkers used for assessing the etiological diagnosis?,FLUIDBIOM,Conditional (e.g. skip pattern),Integers 0-3,"0, No|1, Yes, only blood-based biomarkers were used|2, Yes, only CSF-based biomarkers were used|3, Yes, both blood- and CSF-based biomarkers were used",Integer,[biomarkdx]=1
d1b,I,3a. Blood-based biomarkers - Consistent with AD,BLOODAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3
d1b,I,3b. Blood-based biomarkers - Consistent with FTLD,BLOODFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3
d1b,I,3c. Blood-based biomarkers - Consistent with LBD,BLOODLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3
d1b,I,3d. Blood-based biomarkers - Consistent with other etiology,BLOODOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=1 or [fluidbiom]=3
d1b,I,3d1. Blood-based biomarkers - Consistent with other etiology (specify),BLOODOTHX,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,4a. CSF-based biomarkers - Consistent with AD,CSFAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3
d1b,I,4b. CSF-based biomarkers - Consistent with FTLD,CSFFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3
d1b,I,4c. CSF-based biomarkers - Consistent with LBD,CSFLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3
d1b,I,4d. CSF-based biomarkers - Consistent with other etiology,CSFOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[fluidbiom]=2 or [fluidbiom]=3
d1b,I,4d1. CSF-based biomarkers - Consistent with other etiology (specify),CSFOTHX,Conditional (e.g. skip pattern),Any text,,String,
d1b,I,5. Imaging - Was imaging used for assessing etiological diagnosis?,IMAGINGDX,Conditional (e.g. skip pattern),Integers 0-3,"0, No|1, Yes, only PET/SPECT imaging was used|2, Yes, only MR imaging was used|3, Yes, both PET/SPECT and MR imaging were used",Integer,[biomarkdx]='1'
d1b,I,6a. Tracer-based PET - Were tracer-based PET measures used in assessing an etiological diagnosis?,PETDX,Conditional (e.g. skip pattern),Integers 0-2,"0, No|1, Yes, results were normal or abnormal|2, Yes, results were indeterminate",Integer,[biomarkdx]='1' and ([imagingdx]='1' or [imagingdx]='3')
d1b,I,6a1. Elevated amyloid,AMYLPET,Conditional (e.g. skip pattern),"Integers 0, 1, 9","0, No|1, Yes|9, Indeterminate",Integer,[petdx]=1 or [petdx]=2
