Form,Packet,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?"
D1b,IVP,1. Were any biomarker results used to support the current etiological diagnosis?,BIOMARKDX,Always,0 or 1
D1b,IVP,2. Fluid Biomarkers - Were fluid biomarkers used for assessing the etiological diagnosis?,FLUIDBIOM,Conditional (e.g. skip pattern),Integers 0-3
D1b,IVP,3a. Blood-based biomarkers - Consistent with AD,BLOODAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,3b. Blood-based biomarkers - Consistent with FTLD,BLOODFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,3c. Blood-based biomarkers - Consistent with LBD,BLOODLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,3d. Blood-based biomarkers - Consistent with other etiology,BLOODOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,3d1. Blood-based biomarkers - Consistent with other etiology (specify),BLOODOTHX,Conditional (e.g. skip pattern),Any text
D1b,IVP,4a. CSF-based biomarkers - Consistent with AD,CSFAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,4b. CSF-based biomarkers - Consistent with FTLD,CSFFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,4c. CSF-based biomarkers - Consistent with LBD,CSFLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,4d. CSF-based biomarkers - Consistent with other etiology,CSFOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,4d1. CSF-based biomarkers - Consistent with other etiology (specify),CSFOTHX,Conditional (e.g. skip pattern),Any text
D1b,IVP,5. Imaging - Was imaging used for assessing etiological diagnosis?,IMAGINGDX,Conditional (e.g. skip pattern),Integers 0-3
D1b,IVP,6a. Tracer-based PET - Were tracer-based PET measures used in assessing an etiological diagnosis?,PETDX,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,6a1. Elevated amyloid,AMYLPET,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6a2. Elevated tau pathology,TAUPET,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6b. FDG PET - Was FDG PET data or information used to support an etiological diagnosis?,FDGPETDX,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,6b1. FDG PET - Consistent with AD,FDGAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6b2. FDG PET - Consistent with FTLD,FDGFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6b3. FDG PET - Consistent with LBD,FDGLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6b4. FDG PET - Consistent with other etiology,FDGOTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6b4a. FDG PET - Consistent with other etiology (specify),FDGOTHX,Conditional (e.g. skip pattern),Any text
D1b,IVP,6c. Dopamine Transporter (DAT) Scan - Was DAT Scan data or information used to support an etiological diagnosis?,DATSCANDX,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,6d. Other tracer-based imaging - Were other tracer-based imaging used to support an etiological diagnosis?,TRACOTHDX,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,6d1a. Other tracer-based imaging - Were other tracer-based imaging used to support an etiological diagnosis? (specify),TRACOTHDXX,Conditional (e.g. skip pattern),Any text
D1b,IVP,6d1. Other tracer-based imaging - Consistent with AD,TRACERAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6d2. Other tracer-based imaging - Consistent with FTLD,TRACERFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6d3. Other tracer-based imaging - Consistent with LBD,TRACERLBD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6d4. Other tracer-based imaging - Consistent with other etiology,TRACEROTH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,6d4a. Other tracer-based imaging - Consistent with other etiology (specify),TRACEROTHX,Conditional (e.g. skip pattern),Any text
D1b,IVP,"7a. Structural Imaging (i.e., MRI or CT) - Was structural imaging data or information used to support an etiological diagnosis?",STRUCTDX,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,7a1. Atrophy pattern conistent with AD,STRUCTAD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a2. Atrophy pattern consistent with FTLD,STRUCTFTLD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3. Consistent with cerebrovascular disease (CVD),STRUCTCVD,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3a. Large vessel infarct(s),IMAGLINF,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3b. Lacunar infarct(s),IMAGLAC,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3c. Macrohemorrhage(s),IMAGMACH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3d. Microhemorrhage(s),IMAGMICH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3e. Moderate white-matter hyperintensity (CHS score 5-6),IMAGMWMH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,7a3f. Extensive white-matter hyperinensity (CHS score 7-8+),IMAGEWMH,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,8. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis?,OTHBIOM1,Conditional (e.g. skip pattern),Integers 0-2
D1b,IVP,8a1. Other biomarker modality - Was another biomarker modality used to support an etiological diagnosis? (specify),OTHBIOMX1,Conditional (e.g. skip pattern),Any text
D1b,IVP,8a. Other biomarker modality - Consistent with AD,BIOMAD1,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,8b. Other biomarker modality - Consistent with FTLD,BIOMFTLD1,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,8c. Other biomarker modality - Consistent with LBD,BIOMLBD1,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,8d. Other biomarker modality - Consistent with other etiology,BIOMOTH1,Conditional (e.g. skip pattern),"Integers 0, 1, 9"
D1b,IVP,8d1. Other biomarker modality - Consistent with other etiology (specify),BIOMOTHX1,Conditional (e.g. skip pattern),Any text
