"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
d1b_header,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 144.546px;"" border=""1""> <tbody> <tr style=""height: 24.1818px;""> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">Form date:</span></td> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">{frmdated1b:icons}</span></td> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">Examiner's initials:</span></td> <td style=""width: 25.0515%; height: 24.1818px;""><span style=""font-weight: normal;"">{initialsd1b:icons}</span></td> </tr> <tr style=""height: 57.0682px;""> <td style=""width: 25.0515%; height: 57.0682px;""><span style=""font-weight: normal;"">Language: </span></td> <td style=""height: 57.0682px; width: 75.1544%;"" colspan=""3""><span style=""font-weight: normal;"">{langd1b:icons}</span></td> </tr> <tr style=""height: 63.2955px;""> <td style=""width: 25.0515%; height: 63.2955px;""><span style=""font-weight: normal;"">Mode: </span></td> <td style=""width: 25.0515%; height: 63.2955px;""><span style=""font-weight: normal;"">{moded1b:icons}</span></td> <td style=""width: 25.0515%; height: 63.2955px;""> <p><span style=""font-weight: normal;"">{rmreasd1b_desc}</span><br /><span style=""font-weight: normal;"">{rmreasd1b:icons}</span></p> </td> <td style=""width: 25.0515%; height: 63.2955px;""> <p><span style=""font-weight: normal;"">{rmmoded1b_desc}</span><br /><span style=""font-weight: normal;"">{rmmoded1b:icons}</span></p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
frmdated1b,d1b_biomarkers_used_to_support_etiological_diagnos,,text,"0a. D1b Biomarker and Etiological Diagnosis - Form date",,,date_mdy,,,,,y,,,,,
initialsd1b,d1b_biomarkers_used_to_support_etiological_diagnos,,text,"0b. D1b Biomarker and Etiological Diagnosis - Examiner's initials",,,,,,,,,,,,,
langd1b,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"0c. D1b Biomarker and Etiological Diagnosis - Language","1, English | 2, Spanish",,,,,,,y,,,,,
moded1b,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"0d. D1b Biomarker and Etiological Diagnosis - In-person or remote?","1, In-person | 2, Remote",,,,,,,y,,,,,
rmreasd1b_desc,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"Select the reason why this form was completed remotely:",,,,,,,[moded1b]='2',,,,,,
rmreasd1b,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"0d1. If 'D1b Biomarker and Etiological Diagnosis' form was completed remotely, specify reason","1, Too cognitively impaired | 2, Too physically impaired | 3, Homebound or nursing home | 4, Refused in-person visit | 5, Other",,,,,,[moded1b]='2',y,,,,,
rmmoded1b_desc,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"Select the modality used to collect this form remotely:",,,,,,,[moded1b]='2',,,,,,
rmmoded1b,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"0d1a. What modality was used to collect this remote 'D1b Biomarker and Etiological Diagnosis' form?","1, Telephone | 2, Video",,,,,,[moded1b]='2',y,,,,,
ivp_d1b_instructions,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><p><em>INSTRUCTIONS</em><span style=""font-weight: normal;""><em>: This form is to be completed by the clinician for all participants, including cognitively unimpaired. For additional clarification and examples, see </em></span>UDS Coding Guidebook<span style=""font-weight: normal;""><em> for </em></span>Form D1b<span style=""font-weight: normal;""><em>. Select only <span style=""text-decoration: underline;"">one</span> box per question.</em></span></p></div>",,,,,,,,,,,,,
d1b_section01,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.051%; background-color: #c2e0f4;"" border=""1""> <tbody> <tr> <td style=""width: 5.79843%;"">1. </td> <td style=""width: 70.5411%;"">Were any biomarker results used to support the current etiological diagnosis?<br /><em>(Consider any biomarker results from any time that may be clinically relevant)</em></td> <td style=""width: 23.7895%;"">{biomarkdx:icons}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
biomarkdx,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"<div class=""rich-text-field-label""><p>1. Were any biomarker results used to support the current etiological diagnosis?<br /><em>(Consider any biomarker results from any time that may be clinically relevant)</em></p></div>","0, No | 1, Yes",,,,,,,y,,,,,
d1b_section1,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9717%; background-color: #236FA1; border-style: none;"" border=""1""> <tbody> <tr> <td style=""width: 99.9151%; background-color: #065395; border-color: #065395; border-style: none;""><span style=""color: #ffffff;"">Section 1 - Biomarkers and imaging</span></td> </tr> </tbody> </table></div>",,,,,,,[biomarkdx]=1,,,,,,
ivp_d1b_instructions_2,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""font-weight: normal;"">Complete this section if any of the following biomarker measures were used to </span><span style=""text-decoration: underline;"">support or exclude</span><span style=""font-weight: normal;""> a presumed etiological diagnosis, including unimpaired individuals who have biomarker characterization. Please complete the checklist below for each data source available and the related questions for each supporting data. Then complete </span>Section 2: Etiological Diagnosis.<span style=""font-weight: normal;""> This section is not intended to capture actual data values or register sample availability; instead this section's purpose is to record what information was used by the clinician (or at consensus) to inform an etiological diagnosis.</span></p> <p> </p></div>",,,,,,,[biomarkdx]=1,,,,,,
d1b_section1a,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.051%; background-color: #3598db;"" border=""1""> <tbody> <tr> <td style=""width: 99.821%; background-color: #3598db; border-color: #3598db;""><span style=""color: #ffffff;"">Fluids</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.051%;"" border=""1""> <tbody> <tr style=""background-color: #c2e0f4;""> <td style=""width: 6.2227%;"">2.</td> <td style=""width: 54.0534%;"">Fluid Biomarkers - <span style=""font-weight: normal;"">Were fluid biomarkers used for assessing the etiological diagnosis?</span></td> <td style=""width: 39.5701%;"">{fluidbiom:icons}</td> </tr> </tbody> </table></div>",,,,,,,[biomarkdx]=1,,,,,,
fluidbiom,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">2. </span>Fluid Biomarkers<span style=""font-weight: normal;""> - Were fluid biomarkers used for assessing the etiological diagnosis?</span></p></div>","0, No | 1, Yes, only blood-based biomarkers were used | 2, Yes, only CSF-based biomarkers were used | 3, Yes, both blood- and CSF-based biomarkers were used",,,,,,[biomarkdx]=1,y,,,,,
ivp_d1b_instructions_3,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""font-weight: normal;"">Please use the following questions to indicate the results of the fluid biomarker test(s) used by the clinican (or at consensus) to determine the etiological diagnosis at this visit.</span></p> <p><span style=""font-weight: normal;"">If a fluid biomarker was used to exclude an etiological diagnosis, select </span>0=No<span style=""font-weight: normal;"">. If a fluid biomarker was found to be consistent with a diagnosis, select </span>1=Yes<span style=""font-weight: normal;"">. If a fluid biomarker was found to be indeterminate, select </span>9<span style=""font-weight: normal;"">. In cases where one or more of the etiologies listed were not assessed using fluid biomarkers, leave the row blank and this will default to </span>Not Applicable<span style=""font-weight: normal;""> in the NACC database.</span></p> <p> </p></div>",,,,,,,"[fluidbiom]='1' or [fluidbiom]='2' or [fluidbiom]='3'",,,,,,
d1b_section1a_2,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.051%; background-color: #3598db;"" border=""1""> <tbody> <tr> <td style=""width: 99.821%; background-color: #3598db; border-color: #3598db;""><span style=""color: #ffffff;"">3. Blood-based biomarkers</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.051%; background-color: #c2e0f4;"" border=""1""> <tbody> <tr> <td style=""width: 11.0312%; background-color: #c2e0f4;"">3a.</td> <td style=""width: 56.2591%;"">Consistent with AD</td> <td style=""width: 32.6973%;"">{bloodad:icons}</td> </tr> <tr> <td style=""width: 11.0312%;"">3b.</td> <td style=""width: 56.2591%;"">Consistent with FTLD</td> <td style=""width: 32.6973%;"">{bloodftld:icons}</td> </tr> <tr> <td style=""width: 11.0312%;"">3c.</td> <td style=""width: 56.2591%;"">Consistent with LBD</td> <td style=""width: 32.6973%;"">{bloodlbd:icons}</td> </tr> <tr> <td style=""width: 11.0312%;"">3d.</td> <td style=""width: 56.2591%;""> <p>Consistent with other etiology</p> <p>{bloodothx:icons}</p> </td> <td style=""width: 32.6973%;"">{bloodoth:icons}</td> </tr> </tbody> </table></div>",,,,,,,"[fluidbiom]=1 or [fluidbiom]=3",,,,,,
bloodad,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">3a. Consistent with AD</span></p></div>","0, No | 1, Yes | 9, Indeterminate",,,,,,"[fluidbiom]=1 or [fluidbiom]=3",,,,,,
bloodftld,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">3b. Consistent with FTLD</span></p></div>","0, No | 1, Yes | 9, Indeterminate",,,,,,"[fluidbiom]=1 or [fluidbiom]=3",,,,,,
bloodlbd,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">3c. Consistent with LBD</span></p></div>","0, No | 1, Yes | 9, Indeterminate",,,,,,"[fluidbiom]=1 or [fluidbiom]=3",,,,,,
bloodoth,d1b_biomarkers_used_to_support_etiological_diagnos,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">3d. Consistent with other etiology </span>(SPECIFY)<span style=""font-weight: normal;"">: {bloodothx}</span></p></div>","0, No | 1, Yes | 9, Indeterminate",,,,,,"[fluidbiom]=1 or [fluidbiom]=3",,,,,,
bloodothx,d1b_biomarkers_used_to_support_etiological_diagnos,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">3d1. Consistent with other etiology </span>(SPECIFY)<span style=""font-weight: normal;"">:</span></p></div>",,,,,,,"[bloodoth]<>""""",y,,,,," @PLACEHOLDER='SPECIFY'"
fbio_warning1,d1b_biomarkers_used_to_support_etiological_diagnos,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.051%;"" border=""1""> <tbody> <tr> <td style=""width: 99.821%; background-color: #e03e2d; border-color: #e03e2d;""><span style=""color: #ffffff;"">WARNING: You indicated that blood-based biomakers were used to assess the etiological diagnosis, but did not indicate at least one etiology that was excluded, confirmed, or indeterminate by blood-based biomarkers (questions 3a-3d are blank). At least one of these etiologies should be selected.</span></td> </tr> </tbody> </table></div>",,,,,,,"([fluidbiom]=1 or [fluidbiom]=3) and ([bloodad]="""" and [bloodftld]="""" and [bloodlbd]="""" and [bloodoth]="""")",,,,,,
