error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b1a-ivp-m-001,001,Error,b1a,F,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank,If PACKET = blank,,,,,
b1a-ivp-c-002,002,Error,b1a,F,PACKET,Conformity,PACKET conforms,PACKET must be a character F,Q0a. PACKET (Packet code) must be a character F,"If PACKET ne F",,,,,
b1a-ivp-m-003,003,Error,b1a,F,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0b. FORMVER (Form version number) cannot be blank,If FORMVER = blank,,,,,
b1a-ivp-c-004,004,Error,b1a,F,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 3,Q0b. FORMVER (Form version number) must equal 3,If FORMVER ne 3,,,,,
b1a-ivp-m-005,005,Error,b1a,F,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0c. ADCID (ADCID) cannot be blank,If ADCID = blank,,,,,
b1a-ivp-c-006,006,Error,b1a,F,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0c. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,,,
b1a-ivp-m-007,007,Error,b1a,F,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
b1a-ivp-m-008,008,Error ,b1a,F,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Q0e. VISITDATE (UDSv3 Visit date) cannot be blank,If VISITDATE = blank,,,,,
b1a-ivp-c-009,009,Error ,b1a,F,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0e. VISITDATE (UDSv3 Visit date) must be a date in the format mm/dd/yyyy or yyyy/mm/dd,If VISITDATE not in mm/dd/yyyy or yyyy/mm/dd format,,,,,
b1a-ivp-m-010,010,Error ,b1a,F,BPSYSL,Missingness,BPSYSL must be present,BPSYSL cannot be blank,Q1a1. BPSYSL (Systolic blood pressure left arm) cannot be blank,If  BPSYSL = blank,,,,,
b1a-ivp-c-011,011,Error ,b1a,F,BPSYSL,Conformity,BPSYSL conforms,BPSYSL must be an integer between 70-230 or = 888,Q1a1. BPSYSL (Systolic blood pressure left arm) must be an integer between 70-230 or 888,If BPSYSL < 70 or BPSYSL > 230 (and ne 888),,,,,
b1a-ivp-m-012,012,Error ,b1a,F,BPSYSR,Missingness,BPSYSR must be present,BPSYSR cannot be blank,Q1b1. BPSYSR (Systolic blood pressure right arm) cannot be blank,If BPSYSR = blank,,,,,
b1a-ivp-c-013,013,Error ,b1a,F,BPSYSR,Conformity,BPSYSR conforms,BPSYSR must be an integer between 70-230 or = 888,Q1b1. BPSYSR (Systolic blood pressure right arm) must be an integer between 70-230 or 888,If BPSYSR < 70 or BPSYSR > 230 (and ne 888),,,,,
b1a-ivp-m-014,014,Error ,b1a,F,BPDIASL,Missingness,BPDIASL must be present,BPDIASL cannot be blank,Q1a2. BPDIASL (Diastolic blood pressure left arm) cannot be blank,If BPDIASL = blank,,,,,
b1a-ivp-c-015,015,Error ,b1a,F,BPDIASL,Conformity,BPDIASL conforms,BPDIASL must be an integer between 30-140 or = 888,Q1a2. BPDIASL (Diastolic blood pressure left arm) must be an integer between 30-140 or 888,If BPDIASL < 30 or BPDIASL > 140 (and ne 888),,,,,
b1a-ivp-m-016,016,Error ,b1a,F,BPDIASR,Missingness,BPDIASR must be present,BPDIASR cannot be blank,Q1b2. BPDIASR (Diastolic blood pressure right arm) cannot be blank,If BPDIASR = blank,,,,,
b1a-ivp-c-017,017,Error ,b1a,F,BPDIASR,Conformity,BPDIASR conforms,BPDIASR must be an integer between 30-140 or = 888,Q1b2. BPDIASR (Diastolic blood pressure right arm) must be an integer between 30-140 or 888,If BPDIASR < 30 or BPDIASR > 140 (and ne 888),,,,,
b1a-ivp-m-018,018,Error ,b1a,F,BPDEVICE,Missingness,BPDEVICE must be present,BPDEVICE cannot be blank,Q2. BPDEVICE (Blood pressure measured by approved device) cannot be blank,If BPDEVICE = blank,,,,,
b1a-ivp-c-019,019,Error ,b1a,F,BPDEVICE,Conformity,BPDEVICE conforms,BPDEVICE must be an integer between 0-1 or = 9,"Q2. BPDEVICE (Blood pressure measured by approved device) must be an integer between 0-1, 9",If BPDEVICE < 0 or BPDEVICE > 1 (and ne 9),,,,,
b1a-ivp-m-020,020,Error ,b1a,F,VISITNUM,Missingness,VISITNUM must be present,VISITNUM cannot be blank,Q0h. VISITNUM (visit number) cannot be blank,IF VISITNUM=blank,,,,,
b1a-ivp-m-021,021,Error ,b1a,F,FRMDATEB1A,Missingness,FRMDATEB1A must be present,FRMDATEB1A cannot be blank,Q0f. FRMDATEB1A (0f. B1a Blood Pressure Addendum - Form date) cannot be blank,If FRMDATEB1A = blank,,,,,
b1a-ivp-c-022,022,Error ,b1a,F,FRMDATEB1A,Conformity,FRMDATEB1A conforms,FRMDATEB1A must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0f. FRMDATEB1A (0f. B1a Blood Pressure Addendum - Form date) must be a date in the format mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB1A not in mm/dd/yyyy or yyyy/mm/dd format,,,,,
